Rank,Wave,Bucket,Film_Title,Film_Director_Name,Year,Country,Demand,Density,Priority
1,1,Contemporary curation,Before Midnight,Richard Linklater,2013,USA,4,5,22
2,1,Popular/genre depth,1917,Sam Mendes,2019,UK,5,4,22
3,1,Contemporary curation,Dunkirk,Christopher Nolan,2017,UK,5,4,22
4,1,Popular/genre depth,The Dark Knight Rises,Christopher Nolan,2012,USA,5,4,22
5,1,Popular/genre depth,12 Years a Slave,Steve McQueen,2013,UK,4,5,21
6,1,Canon backfill,Mother,Bong Joon Ho,2009,South Korea,4,5,21
7,1,Contemporary curation,Before Sunset,Richard Linklater,2004,USA,4,5,21
8,1,Contemporary curation,Rushmore,Wes Anderson,1998,USA,4,5,21
9,1,Contemporary curation,Malcolm X,Spike Lee,1992,USA,4,5,21
10,1,Canon backfill,The Birds,Alfred Hitchcock,1963,USA,4,5,21
11,1,Popular/genre depth,Star Wars: The Last Jedi,Rian Johnson,2017,USA,5,4,21
12,1,Contemporary curation,The Prestige,Christopher Nolan,2006,USA,5,4,21
13,1,Popular/genre depth,The Hurt Locker,Kathryn Bigelow,2008,USA,4,5,20
14,1,Contemporary curation,Eddington,Ari Aster,2025,USA,4,4,19
15,1,Popular/genre depth,Nosferatu,Robert Eggers,2024,USA,4,4,19
16,1,Contemporary curation,Killers of the Flower Moon,Martin Scorsese,2023,USA,4,4,19
17,1,Contemporary curation,The Northman,Robert Eggers,2022,USA,4,4,19
18,1,Contemporary curation,BlacKkKlansman,Spike Lee,2018,USA,4,4,19
19,1,Contemporary curation,Isle of Dogs,Wes Anderson,2018,USA,4,4,19
20,1,Canon backfill,Walk Up,Hong Sang-soo,2022,South Korea,3,5,18
21,1,Canon backfill,In Front of Your Face,Hong Sang-soo,2021,South Korea,3,5,18
22,1,Canon backfill,Grass,Hong Sang-soo,2018,South Korea,3,5,18
23,1,Contemporary curation,If Beale Street Could Talk,Barry Jenkins,2018,USA,3,5,18
24,1,Popular/genre depth,Bring Her Back,Danny Philippou,2025,Australia,4,4,18
25,1,Popular/genre depth,Weapons,Zach Cregger,2025,USA,4,4,18
26,1,Popular/genre depth,Look Back,Kiyotaka Oshiyama,2024,Japan,4,4,18
27,1,Contemporary curation,All Quiet on the Western Front,Edward Berger,2022,Germany,4,4,18
28,1,Popular/genre depth,Barbarian,Zach Cregger,2022,USA,4,4,18
29,1,Popular/genre depth,The Invisible Man,Leigh Whannell,2020,USA,4,4,18
30,1,Popular/genre depth,Apollo 11,Todd Douglas Miller,2019,USA,4,4,18
31,1,Contemporary curation,Eighth Grade,Bo Burnham,2018,USA,4,4,18
32,1,Contemporary curation,A Dangerous Method,David Cronenberg,2011,Canada,4,4,18
33,1,Contemporary curation,Shutter Island,Martin Scorsese,2010,USA,4,4,18
34,1,Contemporary curation,No Other Land,Basel Adra,2024,Palestine,3,5,17
35,1,Popular/genre depth,20 Days in Mariupol,Mstyslav Chernov,2023,Ukraine,3,5,17
36,1,Popular/genre depth,All the Beauty and the Bloodshed,Laura Poitras,2022,USA,3,5,17
37,1,Canon backfill,Undine,Christian Petzold,2020,Germany,3,5,17
38,1,Popular/genre depth,For Sama,Waad Al-Kateab,2019,Syria,3,5,17
39,1,Canon backfill,Synonyms,Nadav Lapid,2019,Israel,3,5,17
40,1,Canon backfill,3 Faces,Jafar Panahi,2018,Iran,3,5,17
41,1,Canon backfill,Dogman,Matteo Garrone,2018,Italy,3,5,17
42,1,Contemporary curation,Leave No Trace,Debra Granik,2018,USA,3,5,17
43,1,Canon backfill,Claire's Camera,Hong Sang-soo,2017,South Korea,3,5,17
44,1,Canon backfill,The Day After,Hong Sang-soo,2017,South Korea,3,5,17
45,1,Contemporary curation,Paterson,Jim Jarmusch,2016,USA,3,5,17
46,1,Contemporary curation,Silence,Martin Scorsese,2016,USA,3,5,17
47,1,Canon backfill,Louder Than Bombs,Joachim Trier,2015,Norway,3,5,17
48,1,Contemporary curation,"Two Days, One Night",Jean-Pierre Dardenne,2014,Belgium,3,5,17
49,1,Canon backfill,In Another Country,Hong Sang-soo,2012,South Korea,3,5,17
50,1,Canon backfill,Like Someone in Love,Abbas Kiarostami,2012,Japan,3,5,17
51,1,Canon backfill,Alps,Yorgos Lanthimos,2011,Greece,3,5,17
52,1,Canon backfill,"Oslo, August 31st",Joachim Trier,2011,Norway,3,5,17
53,1,Canon backfill,Play,Ruben Ostlund,2011,Sweden,3,5,17
54,1,Contemporary curation,Tomboy,Celine Sciamma,2011,France,3,5,17
55,1,Canon backfill,Certified Copy,Abbas Kiarostami,2010,France,3,5,17
56,1,Contemporary curation,The Death of Stalin,Armando Iannucci,2017,UK,4,4,17
57,1,Popular/genre depth,Hell or High Water,David Mackenzie,2016,USA,4,4,17
58,1,Popular/genre depth,Sing Street,John Carney,2016,Ireland,4,4,17
59,1,Popular/genre depth,Amy,Asif Kapadia,2015,UK,4,4,17
60,1,Popular/genre depth,The Raid 2,Gareth Evans,2014,Indonesia,4,4,17
61,1,Popular/genre depth,When Marnie Was There,Hiromasa Yonebayashi,2014,Japan,4,4,17
62,1,Contemporary curation,Blue Is the Warmest Color,Abdellatif Kechiche,2013,France,4,4,17
63,1,Popular/genre depth,New World,Park Hoon-jung,2013,South Korea,4,4,17
64,1,Popular/genre depth,Looper,Rian Johnson,2012,USA,4,4,17
65,1,Popular/genre depth,Prometheus,Ridley Scott,2012,USA,4,4,17
66,1,Contemporary curation,The Place Beyond the Pines,Derek Cianfrance,2012,USA,4,4,17
67,1,Popular/genre depth,Zero Dark Thirty,Kathryn Bigelow,2012,USA,4,4,17
68,1,Popular/genre depth,Exit Through the Gift Shop,Banksy,2010,UK,4,4,17
69,1,Contemporary curation,Polytechnique,Denis Villeneuve,2009,Canada,4,4,17
70,1,Popular/genre depth,5 Centimeters per Second,Makoto Shinkai,2007,Japan,4,4,17
71,1,Contemporary curation,The Darjeeling Limited,Wes Anderson,2007,USA,4,4,17
72,1,Popular/genre depth,A Bittersweet Life,Kim Jee-woon,2005,South Korea,4,4,17
73,1,Contemporary curation,The Life Aquatic with Steve Zissou,Wes Anderson,2004,USA,4,4,17
74,1,Contemporary curation,Gangs of New York,Martin Scorsese,2002,USA,4,4,17
75,1,Contemporary curation,Spider,David Cronenberg,2002,Canada,4,4,17
76,1,Canon backfill,Joint Security Area,Park Chan-wook,2000,South Korea,4,4,17
77,1,Contemporary curation,"O Brother, Where Art Thou?",Joel Coen,2000,USA,4,4,17
78,1,Contemporary curation,Traffic,Steven Soderbergh,2000,USA,4,4,17
79,1,Contemporary curation,Bringing Out the Dead,Martin Scorsese,1999,USA,4,4,17
80,1,Contemporary curation,The Virgin Suicides,Sofia Coppola,1999,USA,4,4,17
81,1,Contemporary curation,Following,Christopher Nolan,1998,UK,4,4,17
82,1,Contemporary curation,Amistad,Steven Spielberg,1997,USA,4,4,17
83,1,Contemporary curation,Hard Eight,Paul Thomas Anderson,1996,USA,4,4,17
84,1,Contemporary curation,The Flower of My Secret,Pedro Almodovar,1995,Spain,4,4,17
85,1,Contemporary curation,The Hudsucker Proxy,Joel Coen,1994,USA,4,4,17
86,1,Contemporary curation,The Age of Innocence,Martin Scorsese,1993,USA,4,4,17
87,1,Contemporary curation,High Heels,Pedro Almodovar,1991,Spain,4,4,17
88,1,Contemporary curation,Tie Me Up! Tie Me Down!,Pedro Almodovar,1989,Spain,4,4,17
89,1,Contemporary curation,Matador,Pedro Almodovar,1986,Spain,4,4,17
90,1,Contemporary curation,After Hours,Martin Scorsese,1985,USA,4,4,17
91,1,Contemporary curation,The Elephant Man,David Lynch,1980,USA,4,4,17
92,1,Contemporary curation,Alice Doesn't Live Here Anymore,Martin Scorsese,1974,USA,4,4,17
93,1,Contemporary curation,Duel,Steven Spielberg,1971,USA,4,4,17
94,1,Canon backfill,Spartacus,Stanley Kubrick,1960,USA,4,4,17
95,1,Popular/genre depth,Demon Slayer: Infinity Castle,Haruo Sotozaki,2025,Japan,5,3,17
96,1,Popular/genre depth,KPop Demon Hunters,Maggie Kang,2025,USA,5,3,17
97,1,Popular/genre depth,Thunderbolts,Jake Schreier,2025,USA,5,3,17
98,1,Popular/genre depth,Alien: Romulus,Fede Alvarez,2024,USA,5,3,17
99,1,Popular/genre depth,Deadpool & Wolverine,Shawn Levy,2024,USA,5,3,17
100,1,Popular/genre depth,Gladiator II,Ridley Scott,2024,USA,5,3,17
101,1,Popular/genre depth,Wicked,Jon M. Chu,2024,USA,5,3,17
102,1,Contemporary curation,Godzilla Minus One,Takashi Yamazaki,2023,Japan,5,3,17
103,1,Popular/genre depth,John Wick: Chapter 4,Chad Stahelski,2023,USA,5,3,17
104,1,Popular/genre depth,Mission: Impossible - Dead Reckoning Part One,Christopher McQuarrie,2023,USA,5,3,17
105,1,Popular/genre depth,The Super Mario Bros. Movie,Aaron Horvath,2023,USA,5,3,17
106,1,Popular/genre depth,Wonka,Paul King,2023,USA,5,3,17
107,1,Popular/genre depth,Avatar: The Way of Water,James Cameron,2022,USA,5,3,17
