Film_TMDB_ID,Film_Title,Film_Director_Name
,Before Midnight,Richard Linklater
,1917,Sam Mendes
,Dunkirk,Christopher Nolan
,The Dark Knight Rises,Christopher Nolan
,12 Years a Slave,Steve McQueen
,Mother,Bong Joon Ho
,Before Sunset,Richard Linklater
,Rushmore,Wes Anderson
,Malcolm X,Spike Lee
,The Birds,Alfred Hitchcock
,Star Wars: The Last Jedi,Rian Johnson
,The Prestige,Christopher Nolan
,The Hurt Locker,Kathryn Bigelow
,Eddington,Ari Aster
,Nosferatu,Robert Eggers
,Killers of the Flower Moon,Martin Scorsese
,The Northman,Robert Eggers
,BlacKkKlansman,Spike Lee
,Isle of Dogs,Wes Anderson
,Walk Up,Hong Sang-soo
,In Front of Your Face,Hong Sang-soo
,Grass,Hong Sang-soo
,If Beale Street Could Talk,Barry Jenkins
,Bring Her Back,Danny Philippou
,Weapons,Zach Cregger
,Look Back,Kiyotaka Oshiyama
,All Quiet on the Western Front,Edward Berger
,Barbarian,Zach Cregger
,The Invisible Man,Leigh Whannell
,Apollo 11,Todd Douglas Miller
,Eighth Grade,Bo Burnham
,A Dangerous Method,David Cronenberg
,Shutter Island,Martin Scorsese
,No Other Land,Basel Adra
,20 Days in Mariupol,Mstyslav Chernov
,All the Beauty and the Bloodshed,Laura Poitras
,Undine,Christian Petzold
,For Sama,Waad Al-Kateab
,Synonyms,Nadav Lapid
,3 Faces,Jafar Panahi
,Dogman,Matteo Garrone
,Leave No Trace,Debra Granik
,Claire's Camera,Hong Sang-soo
,The Day After,Hong Sang-soo
,Paterson,Jim Jarmusch
,Silence,Martin Scorsese
,Louder Than Bombs,Joachim Trier
,"Two Days, One Night",Jean-Pierre Dardenne
,In Another Country,Hong Sang-soo
,Like Someone in Love,Abbas Kiarostami
,Alps,Yorgos Lanthimos
,"Oslo, August 31st",Joachim Trier
,Play,Ruben Ostlund
,Tomboy,Celine Sciamma
,Certified Copy,Abbas Kiarostami
,The Death of Stalin,Armando Iannucci
,Hell or High Water,David Mackenzie
,Sing Street,John Carney
,Amy,Asif Kapadia
