Film_TMDB_ID,Film_Title,Film_Director_Name
13,Forrest Gump,Robert Zemeckis
14,American Beauty,Sam Mendes
18,The Fifth Element,Luc Besson
33,Unforgiven,Clint Eastwood
38,Eternal Sunshine of the Spotless Mind,Michel Gondry
55,Amores Perros,Alejandro González Iñárritu
59,A History of Violence,David Cronenberg
63,Twelve Monkeys,Terry Gilliam
64,Talk to Her,Pedro Almodóvar
68,Brazil,Terry Gilliam
76,Before Sunrise,Richard Linklater
77,Memento,Christopher Nolan
78,Blade Runner,Ridley Scott
81,Nausicaä of the Valley of the Wind,Hayao Miyazaki
85,Raiders of the Lost Ark,Steven Spielberg
89,Indiana Jones and the Last Crusade,Steven Spielberg
95,Armageddon,Michael Bay
97,Tron,Steven Lisberger
101,Léon: The Professional,Luc Besson
104,Run Lola Run,Tom Tykwer
105,Back to the Future,Robert Zemeckis
106,Predator,John McTiernan
108,Three Colors: Blue,Krzysztof Kieślowski
109,Three Colors: White,Krzysztof Kieślowski
110,Three Colors: Red,Krzysztof Kieślowski
111,Scarface,Brian De Palma
114,Pretty Woman,Garry Marshall
115,The Big Lebowski,Joel Coen
120,The Lord of the Rings: The Fellowship of the Ring,Peter Jackson
128,Princess Mononoke,Hayao Miyazaki
129,Spirited Away,Hayao Miyazaki
137,Groundhog Day,Harold Ramis
140,Bad Education,Pedro Almodóvar
142,Brokeback Mountain,Ang Lee
144,Wings of Desire,Wim Wenders
145,Breaking the Waves,Lars von Trier
146,"Crouching Tiger, Hidden Dragon",Ang Lee
149,Akira,Katsuhiro Otomo
153,Lost in Translation,Sofia Coppola
155,The Dark Knight,Christopher Nolan
161,Ocean's Eleven,Steven Soderbergh
162,Edward Scissorhands,Tim Burton
170,28 Days Later,Danny Boyle
176,Saw,James Wan
180,Minority Report,Steven Spielberg
194,Amélie,Jean-Pierre Jeunet
218,The Terminator,James Cameron
218,The Terminator,James Cameron
238,The Godfather,Francis Ford Coppola
240,The Godfather Part II,Francis Ford Coppola
267,Live Flesh,Pedro Almodóvar
268,Batman,Tim Burton
274,The Silence of the Lambs,Jonathan Demme
275,Fargo,Joel Coen
278,The Shawshank Redemption,Frank Darabont
279,Amadeus,Miloš Forman
280,Terminator 2: Judgment Day,James Cameron
290,Barton Fink,Joel Coen
302,Swimming Pool,François Ozon
311,Once Upon a Time in America,Sergio Leone
329,Jurassic Park,Steven Spielberg
334,Magnolia,Paul Thomas Anderson
377,A Nightmare on Elm Street,Wes Craven
378,Raising Arizona,Joel Coen
