a_slug,a_name,b_name,b_slug,relation,source
auteur-christos-nikou,Christos Nikou,Yorgos Lanthimos,auteur-yorgos-lanthimos,comparable,editorial
auteur-deniz-gamze-erguven,Deniz Gamze Ergüven,Sofia Coppola,,comparable,editorial
auteur-kornel-mundruczo,Kornél Mundruczó,Michael Haneke,auteur-michael-haneke,comparable,editorial
auteur-santiago-mitre,Santiago Mitre,Costa-Gavras,,comparable,editorial
auteur-maite-alberdi,Maite Alberdi,Frederick Wiseman,,comparable,editorial
auteur-bas-devos,Bas Devos,Kelly Reichardt,,comparable,editorial
auteur-alejandro-landes,Alejandro Landes,Werner Herzog,,comparable,editorial
auteur-laura-mora-ortega,Laura Mora Ortega,The Dardenne Brothers,auteur-dardenne-brothers,comparable,editorial
auteur-nawapol-thamrongrattanarit,Nawapol Thamrongrattanarit,Miranda July,,comparable,editorial
auteur-banjong-pisanthanakun,Banjong Pisanthanakun,M. Night Shyamalan,,comparable,editorial
auteur-joao-pedro-rodrigues,João Pedro Rodrigues,Apichatpong Weerasethakul,auteur-apichatpong-weerasethakul,comparable,editorial
auteur-sebastian-meise,Sebastian Meise,Steve McQueen,auteur-steve-mcqueen,comparable,editorial
auteur-maria-sodahl,Maria Sødahl,Nicole Holofcener,,comparable,editorial
auteur-hanna-bergholm,Hanna Bergholm,Julia Ducournau,auteur-julia-ducournau,comparable,editorial
auteur-samuel-maoz,Samuel Maoz,Ari Folman,auteur-ari-folman,comparable,editorial
auteur-erik-matti,Erik Matti,Park Chan-wook,auteur-park-chan-wook,comparable,editorial
auteur-sacha-polak,Sacha Polak,Andrea Arnold,auteur-andrea-arnold,comparable,editorial
auteur-nanouk-leopold,Nanouk Leopold,Maren Ade,auteur-maren-ade,comparable,editorial
auteur-alexandre-koberidze,Alexandre Koberidze,Jacques Rivette,,comparable,editorial
auteur-nana-ekvtimishvili,Nana Ekvtimishvili,Céline Sciamma,auteur-celine-sciamma,comparable,editorial
auteur-benedikt-erlingsson,Benedikt Erlingsson,Jean-Pierre Jeunet,,comparable,editorial
auteur-hlynur-palmason,Hlynur Pálmason,Carlos Reygadas,,comparable,editorial
auteur-valdimar-johannsson,Valdimar Jóhannsson,Robert Eggers,,comparable,editorial
auteur-iryna-tsilyk,Iryna Tsilyk,Kirsten Johnson,,comparable,editorial
auteur-aida-begic,Aida Begić,Ken Loach,,comparable,editorial
auteur-vaclav-marhoul,Václav Marhoul,Elem Klimov,,comparable,editorial
auteur-alain-gomis,Alain Gomis,Nuri Bilge Ceylan,auteur-nuri-bilge-ceylan,comparable,editorial
auteur-rima-das,Rima Das,Chloé Zhao,,comparable,editorial
auteur-maha-haj,Maha Haj,Elia Suleiman,auteur-elia-suleiman,comparable,editorial
auteur-cesar-diaz,César Díaz,Patricio Guzmán,,comparable,editorial
auteur-ziad-doueiri,Ziad Doueiri,Jacques Audiard,auteur-jacques-audiard,comparable,editorial
auteur-blerta-basholli,Blerta Basholli,The Dardenne Brothers,auteur-dardenne-brothers,comparable,editorial
auteur-mohamed-diab,Mohamed Diab,Paul Greengrass,,comparable,editorial
auteur-maryam-touzani,Maryam Touzani,Asghar Farhadi,auteur-asghar-farhadi,comparable,editorial
auteur-john-trengove,John Trengove,Claire Denis,,comparable,editorial
auteur-leyla-bouzid,Leila Bouzid,Céline Sciamma,auteur-celine-sciamma,comparable,editorial
auteur-karim-moussaoui,Karim Moussaoui,Olivier Assayas,,comparable,editorial
auteur-emir-baigazin,Emir Baigazin,Ulrich Seidl,,comparable,editorial
auteur-ash-mayfair,Ash Mayfair,Tran Anh Hung,,comparable,editorial
auteur-anthony-chen,Anthony Chen,Edward Yang,,comparable,editorial
auteur-boo-junfeng,Boo Junfeng,Alan J. Pakula,,comparable,editorial
auteur-amanda-nell-eu,Amanda Nell Eu,Apichatpong Weerasethakul,auteur-apichatpong-weerasethakul,comparable,editorial
auteur-kamila-andini,Kamila Andini,Naomi Kawase,,comparable,editorial
auteur-joko-anwar,Joko Anwar,James Wan,,comparable,editorial
auteur-cyril-schaublin,Cyril Schäublin,Roy Andersson,auteur-roy-andersson,comparable,editorial
auteur-srdan-golubovic,Srdan Golubović,Cristian Mungiu,auteur-cristian-mungiu,comparable,editorial
auteur-dalibor-matanic,Dalibor Matanić,Krzysztof Kieślowski,,comparable,editorial
auteur-sarunas-bartas,Šarūnas Bartas,Béla Tarr,,comparable,editorial
auteur-teona-strugar-mitevska,Teona Strugar Mitevska,Andrea Arnold,auteur-andrea-arnold,comparable,editorial
auteur-amjad-abu-alala,Amjad Abu Alala,Abderrahmane Sissako,,comparable,editorial
auteur-haifaa-al-mansour,Haifaa al-Mansour,Nadine Labaki,auteur-nadine-labaki,comparable,editorial
auteur-wanuri-kahiu,Wanuri Kahiu,Dee Rees,,comparable,editorial
auteur-akin-omotoso,Akin Omotoso,Spike Lee,,comparable,editorial
