list_slug,edition_year,film_title,film_year,result,rank,note,source
cannes-palme-dor,1939,Union Pacific,1939,won,,Grand Prix awarded retrospectively in 2002,wikipedia-enum
cannes-palme-dor,1946,The Battle of the Rails,1946,won,,shared,wikipedia-enum
cannes-palme-dor,1946,Brief Encounter,1945,won,,shared,wikipedia-enum
cannes-palme-dor,1946,Maria Candelaria,1944,won,,shared,wikipedia-enum
cannes-palme-dor,1946,Men Without Wings,1946,won,,shared,wikipedia-enum
cannes-palme-dor,1946,Neecha Nagar,1946,won,,shared,wikipedia-enum
cannes-palme-dor,1946,The Last Chance,1945,won,,shared,wikipedia-enum
cannes-palme-dor,1946,The Lost Weekend,1945,won,,shared,wikipedia-enum
cannes-palme-dor,1946,The Red Meadows,1945,won,,shared,wikipedia-enum
cannes-palme-dor,1946,Rome Open City,1945,won,,shared,wikipedia-enum
cannes-palme-dor,1946,The Turning Point,1945,won,,shared,wikipedia-enum
cannes-palme-dor,1946,Torment,1944,won,,shared,wikipedia-enum
cannes-palme-dor,1947,Antoine and Antoinette,1947,won,,Grand Prix,wikipedia-enum
cannes-palme-dor,1947,Crossfire,1947,won,,shared,wikipedia-enum
cannes-palme-dor,1947,Ziegfeld Follies,1945,won,,shared,wikipedia-enum
cannes-palme-dor,1947,The Damned,1947,won,,shared,wikipedia-enum
cannes-palme-dor,1949,The Third Man,1949,won,,Grand Prix,wikipedia-enum
cannes-palme-dor,1951,Miracle in Milan,1951,won,,shared,wikipedia-enum
cannes-palme-dor,1951,Miss Julie,1951,won,,shared,wikipedia-enum
cannes-palme-dor,1952,Othello,1951,won,,shared,wikipedia-enum
cannes-palme-dor,1952,Two Cents Worth of Hope,1952,won,,shared,wikipedia-enum
cannes-palme-dor,1953,The Wages of Fear,1953,won,,Grand Prix,wikipedia-enum
cannes-palme-dor,1954,Gate of Hell,1953,won,,Grand Prix,wikipedia-enum
cannes-palme-dor,1955,Marty,1955,won,,,wikipedia-enum
cannes-palme-dor,1956,The Silent World,1956,won,,,wikipedia-enum
cannes-palme-dor,1957,Friendly Persuasion,1956,won,,,wikipedia-enum
cannes-palme-dor,1958,The Cranes Are Flying,1957,won,,,wikipedia-enum
cannes-palme-dor,1959,Black Orpheus,1959,won,,,wikipedia-enum
cannes-palme-dor,1960,La Dolce Vita,1960,won,,,wikipedia-enum
cannes-palme-dor,1961,Viridiana,1961,won,,shared,wikipedia-enum
cannes-palme-dor,1961,The Long Absence,1961,won,,shared,wikipedia-enum
cannes-palme-dor,1962,The Given Word,1962,won,,,wikipedia-enum
cannes-palme-dor,1963,The Leopard,1963,won,,,wikipedia-enum
cannes-palme-dor,1964,The Umbrellas of Cherbourg,1964,won,,Grand Prix,wikipedia-enum
cannes-palme-dor,1965,The Knack and How to Get It,1965,won,,Grand Prix,wikipedia-enum
cannes-palme-dor,1966,A Man and a Woman,1966,won,,shared,wikipedia-enum
cannes-palme-dor,1966,The Birds the Bees and the Italians,1966,won,,shared,wikipedia-enum
cannes-palme-dor,1967,Blow-Up,1966,won,,Grand Prix,wikipedia-enum
cannes-palme-dor,1969,If....,1968,won,,Grand Prix,wikipedia-enum
cannes-palme-dor,1970,MASH,1970,won,,Grand Prix,wikipedia-enum
cannes-palme-dor,1971,The Go-Between,1971,won,,Grand Prix,wikipedia-enum
cannes-palme-dor,1972,The Mattei Affair,1972,won,,shared,wikipedia-enum
cannes-palme-dor,1972,The Working Class Goes to Heaven,1971,won,,shared,wikipedia-enum
cannes-palme-dor,1973,The Hireling,1973,won,,shared,wikipedia-enum
cannes-palme-dor,1973,Scarecrow,1973,won,,shared,wikipedia-enum
cannes-palme-dor,1974,The Conversation,1974,won,,Grand Prix,wikipedia-enum
cannes-palme-dor,1975,Chronicle of the Years of Fire,1975,won,,,wikipedia-enum
cannes-palme-dor,1976,Taxi Driver,1976,won,,,wikipedia-enum
cannes-palme-dor,1977,Padre Padrone,1977,won,,,wikipedia-enum
cannes-palme-dor,1978,The Tree of Wooden Clogs,1978,won,,,wikipedia-enum
cannes-palme-dor,1979,Apocalypse Now,1979,won,,shared,wikipedia-enum
cannes-palme-dor,1979,The Tin Drum,1979,won,,shared,wikipedia-enum
cannes-palme-dor,1980,All That Jazz,1979,won,,shared,wikipedia-enum
cannes-palme-dor,1980,Kagemusha,1980,won,,shared,wikipedia-enum
cannes-palme-dor,1981,Man of Iron,1981,won,,,wikipedia-enum
cannes-palme-dor,1982,Missing,1982,won,,shared,wikipedia-enum
