slug,name,country,also_country,wikidata,birth_year,group,authority_weight,source,notes
auteur-bong-joon-ho,Bong Joon-ho,kr,,Q495980,1969,G1,0.92,wikidata,
auteur-park-chan-wook,Park Chan-wook,kr,,Q315484,1963,G1,0.92,wikidata,
auteur-lee-chang-dong,Lee Chang-dong,kr,,Q239656,1954,G1,0.92,wikidata,
auteur-hirokazu-kore-eda,Hirokazu Kore-eda,jp,,Q740758,1962,G1,0.92,wikidata,
auteur-jia-zhangke,Jia Zhangke,cn,,Q461079,1970,G1,0.92,wikidata,
auteur-hou-hsiao-hsien,Hou Hsiao-hsien,tw,,Q435626,1947,G1,0.92,wikidata,born in mainland China
auteur-tsai-ming-liang,Tsai Ming-liang,tw,my,Q698710,1957,G1,0.92,wikidata,Malaysian-Taiwanese
auteur-apichatpong-weerasethakul,Apichatpong Weerasethakul,th,,Q445198,1970,G1,0.92,wikidata,
auteur-ryusuke-hamaguchi,Ryusuke Hamaguchi,jp,,Q17220313,1978,G2,0.82,wikidata,
auteur-lav-diaz,Lav Diaz,ph,,Q129619,1958,G2,0.82,wikidata,
auteur-kiyoshi-kurosawa,Kiyoshi Kurosawa,jp,,Q53834,1955,G3,0.70,wikidata,
auteur-bi-gan,Bi Gan,cn,,Q24833063,1989,G3,0.70,wikidata,
auteur-wang-bing,Wang Bing,cn,,Q3566046,1967,G3,0.70,wikidata,
auteur-chung-mong-hong,Chung Mong-hong,tw,,Q15903922,1965,G4,0.55,wikidata,
auteur-brillante-mendoza,Brillante Mendoza,ph,,Q917051,1960,G4,0.55,wikidata,
auteur-nawapol-thamrongrattanarit,Nawapol Thamrongrattanarit,th,,Q16306669,1984,G5,0.40,wikidata,
auteur-banjong-pisanthanakun,Banjong Pisanthanakun,th,,Q636817,1979,G5,0.40,wikidata,
auteur-erik-matti,Erik Matti,ph,,Q5388719,1970,G5,0.40,wikidata,"birth_year corrected from 1971 to 1970"
auteur-ash-mayfair,Ash Mayfair,vn,,Q98556458,1985,G5,0.40,wikidata,
auteur-anthony-chen,Anthony Chen,sg,,Q14593421,1984,G5,0.40,wikidata,
auteur-boo-junfeng,Boo Junfeng,sg,,Q4942742,1983,G5,0.40,wikidata,
auteur-amanda-nell-eu,Amanda Nell Eu,my,,Q123504894,1980,G5,0.40,wikidata,
auteur-kamila-andini,Kamila Andini,id,,Q3663579,1986,G5,0.40,wikidata,
auteur-joko-anwar,Joko Anwar,id,,Q11036795,1976,G5,0.40,wikidata,
auteur-asghar-farhadi,Asghar Farhadi,ir,,Q334242,1972,G1,0.92,wikidata,
auteur-jafar-panahi,Jafar Panahi,ir,,Q31637,1960,G2,0.82,wikidata,
auteur-nadine-labaki,Nadine Labaki,lb,,Q266539,1974,G2,0.82,wikidata,
auteur-elia-suleiman,Elia Suleiman,ps,,Q577569,1960,G2,0.82,wikidata,"holds israeli passport, identifies palestinian"
auteur-haifaa-al-mansour,Haifaa al-Mansour,sa,,Q386131,1974,G2,0.82,wikidata,
auteur-mohammad-rasoulof,Mohammad Rasoulof,ir,,Q981853,1972,G3,0.70,wikidata,in exile in germany
auteur-ari-folman,Ari Folman,il,,Q653645,1962,G3,0.70,wikidata,
auteur-nadav-lapid,Nadav Lapid,il,,Q7060835,1975,G3,0.70,wikidata,
