name,country,birth_year,group,comparable_to,key_films,status
Christos Nikou,gr,1984,G5,Yorgos Lanthimos,Apples (2020),Greek Weird Wave; absurdist but gentler/melancholic
Deniz Gamze Ergüven,tr,1978,G5,Sofia Coppola,Mustang (2015),Oscar-nominated debut; female-centric Turkish cinema
Kornél Mundruczó,hu,1975,G5,Michael Haneke,White God (2014); Pieces of a Woman (2020),Cannes regular; allegorical political/social turmoil
Santiago Mitre,ar,1980,G5,Costa-Gavras,Paulina (2015); The Summit (2017); Argentina 1985 (2022),Political thriller + character drama; Oscar-nominated
Maite Alberdi,cl,1983,G5,Frederick Wiseman,The Mole Agent (2020); The Eternal Memory (2023),Chile's leading female documentarian; observational
Bas Devos,be,1983,G5,Kelly Reichardt,Ghost Tropic (2019); Here (2023),Minimalist meditative Belgian auteur
Alejandro Landes,co,1980,G5,Werner Herzog,Porfirio (2011); Monos (2019),Visceral immersive Colombian new wave
Laura Mora Ortega,co,1981,G5,The Dardenne Brothers,Killing Jesus (2017); The Kings of the World (2022),Raw empathetic street-youth; San Sebastián top prize
Nawapol Thamrongrattanarit,th,1984,G5,Miranda July,"Mary Is Happy, Mary Is Happy (2013); Heart Attack (2015); Fast & Feel Love (2022)",Quirky meta-narrative Thai indie
Banjong Pisanthanakun,th,1979,G5,M. Night Shyamalan,Shutter (2004); Pee Mak (2013); The Medium (2021),Thailand's top commercial horror director
João Pedro Rodrigues,pt,1966,G5,Apichatpong Weerasethakul,O Fantasma (2000); To Die Like a Man (2009); The Ornithologist (2016),Portuguese avant-garde; dreamlike queer cinema
Sebastian Meise,at,1977,G5,Steve McQueen,Still Life (2011); Great Freedom (2021),Queer history & institutional oppression
Maria Sødahl,no,1968,G5,Nicole Holofcener,Limbo (2010); Hope (2019),Personal illness/relationship drama
Hanna Bergholm,fi,1979,G5,Julia Ducournau,Hatching (2022),Finnish body-horror; adolescent-anxiety allegory
Samuel Maoz,il,1962,G5,Ari Folman,Lebanon (2009); Foxtrot (2017),Two-time Venice prize; war trauma
Erik Matti,ph,1971,G5,Park Chan-wook,On the Job (2013); Honor Thy Father (2015),Filipino New Wave; slick political crime thrillers
Sacha Polak,nl,1983,G5,Andrea Arnold,Hemel (2012); Dirty God (2019),Raw intimate character studies of young women
Nanouk Leopold,nl,1969,G5,Maren Ade,Brownian Movement (2010); Cobain (2018),Minimalist bourgeois-relationship dramas
Alexandre Koberidze,ge,1984,G5,Jacques Rivette,Let the Summer Never Come Again (2017); What Do We See When We Look at the Sky? (2021),Magical-realist free-flowing Georgian new gen
Nana Ekvtimishvili,ge,1978,G5,Céline Sciamma,In Bloom (2013); My Happy Family (2017),Female-centered post-Soviet youth stories
Benedikt Erlingsson,is,1969,G5,Jean-Pierre Jeunet,Of Horses and Men (2013); Woman at War (2018),Quirky politically-charged Icelandic
Hlynur Pálmason,is,1984,G5,Carlos Reygadas,Winter Brothers (2017); A White White Day (2019); Godland (2022),Austere stunningly-composed Icelandic new wave
Valdimar Jóhannsson,is,1978,G5,Robert Eggers,Lamb (2021),Atmospheric folk-horror; Cannes UCR originality prize
Iryna Tsilyk,ua,1982,G5,Kirsten Johnson,The Earth Is Blue as an Orange (2020),Ukrainian doc; Sundance Directing Award
Aida Begić,ba,1976,G5,Ken Loach,Snow (2008); Children of Sarajevo (2012),Humanistic Bosnian; women/children of war
Václav Marhoul,cz,1960,G5,Elem Klimov,Tobruk (2008); The Painted Bird (2019),Brutal B&W Holocaust art cinema
Alain Gomis,sn,1972,G5,Nuri Bilge Ceylan,Tey (2012); Félicité (2017),French-Senegalese; existential diaspora; Berlin/FESPACO
Rima Das,in,1977,G5,Chloé Zhao,Village Rockstars (2017); Bulbul Can Sing (2018),Self-taught Assamese one-woman auteur
Maha Haj,ps,,G5,Elia Suleiman,Personal Affairs (2016); Mediterranean Fever (2022),Palestinian (based in Israel); Cannes UCR; based in Israel
César Díaz,gt,1978,G5,Patricio Guzmán,Our Mothers (2019),Guatemala; Cannes Caméra d'Or; civil-war trauma
Ziad Doueiri,lb,1963,G5,Jacques Audiard,West Beirut (1998); The Attack (2012); The Insult (2017),Lebanese political thrillers; controversial
Blerta Basholli,xk,1983,G5,The Dardenne Brothers,Hive (2021),Kosovo; swept Sundance World Cinema Dramatic
Mohamed Diab,eg,1978,G5,Paul Greengrass,Clash (2016); Amira (2021),Egyptian; socially-conscious; later Hollywood (Moon Knight)
Maryam Touzani,ma,1980,G5,Asghar Farhadi,Adam (2019); The Blue Caftan (2022),Moroccan; empathetic forbidden-love dramas
John Trengove,za,1978,G5,Claire Denis,The Wound (2017); Manodrome (2023),South African; masculinity & queerness (Xhosa)
Leila Bouzid,tn,1981,G5,Céline Sciamma,As I Open My Eyes (2015); A Tale of Love and Desire (2021),Tunisian; youth/identity/female desire
Karim Moussaoui,dz,1976,G5,Olivier Assayas,Until the Birds Return (2017),Algerian revival; contemplative intricate structure
Emir Baigazin,kz,1984,G5,Ulrich Seidl,Harmony Lessons (2013); The River (2018),Kazakh; Berlinale Silver Bear; austere
Ash Mayfair,vn,1985,G5,Tran Anh Hung,The Third Wife (2018),Vietnamese; lush sensuous female-experience period
