name,country,birth_year,group
Paul Thomas Anderson,us,1970,G1
Bong Joon-ho,kr,1969,G1
Park Chan-wook,kr,1963,G1
Lee Chang-dong,kr,1954,G1
Alfonso Cuarón,mx,1961,G1
Hirokazu Kore-eda,jp,1962,G1
Steve McQueen,gb,1969,G1
Yorgos Lanthimos,gr,1973,G1
Asghar Farhadi,ir,1972,G1
Michael Haneke,at,1942,G1
Denis Villeneuve,ca,1967,G1
Dardenne Brothers,be,1951,G1
Pedro Almodóvar,es,1949,G1
Paweł Pawlikowski,pl,1957,G1
Nuri Bilge Ceylan,tr,1959,G1
Jia Zhangke,cn,1970,G1
Hou Hsiao-hsien,tw,1947,G1
Tsai Ming-liang,tw,1957,G1
Aki Kaurismäki,fi,1957,G1
Andrey Zvyagintsev,ru,1964,G1
Jane Campion,nz,1954,G1
Martin McDonagh,ie,1970,G1
Ruben Östlund,se,1974,G1
Cristian Mungiu,ro,1968,G1
Paolo Sorrentino,it,1970,G1
Apichatpong Weerasethakul,th,1970,G1
Guillermo del Toro,mx,1964,G2
Alejandro González Iñárritu,mx,1963,G2
Jacques Audiard,fr,1952,G2
Ryusuke Hamaguchi,jp,1978,G2
Thomas Vinterberg,dk,1969,G2
Jonathan Glazer,gb,1965,G2
Maren Ade,de,1976,G2
Christian Petzold,de,1960,G2
Jafar Panahi,ir,1960,G2
Agnieszka Holland,pl,1948,G2
Alice Rohrwacher,it,1981,G2
Pablo Larraín,cl,1976,G2
Radu Jude,ro,1977,G2
Pedro Costa,pt,1959,G2
Kleber Mendonça Filho,br,1968,G2
Joachim Trier,no,1974,G2
Danis Tanović,ba,1969,G2
Sergei Loznitsa,ua,1964,G2
Nadine Labaki,lb,1974,G2
Elia Suleiman,ps,1960,G2
Lav Diaz,ph,1958,G2
Haifaa al-Mansour,sa,1974,G2
Damien Chazelle,us,1985,G3
Barry Jenkins,us,1979,G3
Céline Sciamma,fr,1978,G3
Julia Ducournau,fr,1983,G3
Kiyoshi Kurosawa,jp,1955,G3
Lars von Trier,dk,1956,G3
Andrea Arnold,gb,1961,G3
Cristi Puiu,ro,1967,G3
Roy Andersson,se,1943,G3
Mohammad Rasoulof,ir,1972,G3
Matteo Garrone,it,1968,G3
Sarah Polley,ca,1979,G3
László Nemes,hu,1977,G3
Lucrecia Martel,ar,1966,G3
Sebastián Lelio,cl,1974,G3
Kantemir Balagov,ru,1991,G3
Lukas Dhont,be,1991,G3
Bi Gan,cn,1989,G3
Wang Bing,cn,1967,G3
Miguel Gomes,pt,1972,G3
Jessica Hausner,at,1972,G3
Karim Aïnouz,br,1966,G3
Ari Folman,il,1962,G3
Nadav Lapid,il,1975,G3
Jennifer Kent,au,1969,G3
Lenny Abrahamson,ie,1966,G3
Carla Simón,es,1986,G3
Jasmila Žbanić,ba,1974,G3
Mati Diop,sn,1982,G3
Payal Kapadia,in,1986,G3
Jayro Bustamante,gt,1977,G3
Kaouther Ben Hania,tn,1977,G3
Nicolas Winding Refn,dk,1970,G4
Athina Rachel Tsangari,gr,1974,G4
Fatih Akin,de,1973,G4
Ali Abbasi,se,1981,G4
Jan Komasa,pl,1981,G4
Xavier Dolan,ca,1989,G4
Semih Kaplanoğlu,tr,1963,G4
Ildikó Enyedi,hu,1955,G4
Damián Szifron,ar,1975,G4
Kirill Serebrennikov,ru,1969,G4
Ciro Guerra,co,1981,G4
Chung Mong-hong,tw,1965,G4
Juliano Dornelles,br,1980,G4
Eskil Vogt,no,1974,G4
Juho Kuosmanen,fi,1979,G4
Brillante Mendoza,ph,1960,G4
Justin Kurzel,au,1974,G4
Alex van Warmerdam,nl,1952,G4
John Crowley,ie,1969,G4
Albert Serra,es,1975,G4
Dea Kulumbegashvili,ge,1986,G4
Myroslav Slaboshpytskyi,ua,1974,G4
Anurag Kashyap,in,1972,G4
Hany Abu-Assad,ps,1961,G4
Nabil Ayouch,ma,1969,G4
Oliver Hermanus,za,1983,G4
C.J. Obasi,ng,1985,G4
Adilkhan Yerzhanov,kz,1982,G4
