film_title,film_year,film_wikidata,tmdb_id,n_director_refs,director_slugs,rep_types,source
A City of Sadness,1989,Q133461,,1,auteur-hou-hsiao-hsien,defining,film_auteur
My Twentieth Century,1989,,,1,auteur-ildiko-enyedi,defining,film_auteur
Europa Europa,1990,,,1,auteur-agnieszka-holland,defining,film_auteur
The Northerners,1992,,,1,auteur-alex-van-warmerdam,defining,film_auteur
The Piano,1993,Q117315,,1,auteur-jane-campion,defining,film_auteur
Vive L'Amour,1994,Q711684,,1,auteur-tsai-ming-liang,defining,film_auteur
Breaking the Waves,1996,Q538412,,1,auteur-lars-von-trier,defining,film_auteur
Pusher,1996,Q316761,,1,auteur-nicolas-winding-refn,defining,film_auteur
Cure,1997,Q1144476,,1,auteur-kiyoshi-kurosawa,defining,film_auteur
Flowers of Shanghai,1998,Q383729,,1,auteur-hou-hsiao-hsien,defining,film_auteur
The Celebration,1998,Q841958,,1,auteur-thomas-vinterberg,defining,film_auteur
West Beirut,1998,,,1,auteur-ziad-doueiri,defining,film_auteur
All About My Mother,1999,,,1,auteur-pedro-almodovar,defining,film_auteur
Rosetta,1999,,,1,auteur-dardenne-brothers,defining,film_auteur
Amores Perros,2000,Q474098,,1,auteur-alejandro-gonzalez-inarritu,defining,film_auteur
Dancer in the Dark,2000,Q110365,,1,auteur-lars-von-trier,defining,film_auteur
In Vanda's Room,2000,,,1,auteur-pedro-costa,defining,film_auteur
O Fantasma,2000,,,1,auteur-joao-pedro-rodrigues,defining,film_auteur
Platform,2000,Q197412,,1,auteur-jia-zhangke,defining,film_auteur
Sexy Beast,2000,,,1,auteur-jonathan-glazer,defining,film_auteur
Songs from the Second Floor,2000,Q2301516,,1,auteur-roy-andersson,defining,film_auteur
The Circle,2000,Q1194947,,1,auteur-jafar-panahi,defining,film_auteur
La Ciénaga,2001,Q3214034,,1,auteur-lucrecia-martel,defining,film_auteur
No Man's Land,2001,,,1,auteur-danis-tanovic,defining,film_auteur
Pulse,2001,Q196184,,1,auteur-kiyoshi-kurosawa,defining,film_auteur
The Devil's Backbone,2001,Q1350521,,1,auteur-guillermo-del-toro,defining,film_auteur
Y Tu Mamá También,2001,Q128848,,1,auteur-alfonso-cuaron,defining,film_auteur
Distant,2002,,,1,auteur-nuri-bilge-ceylan,defining,film_auteur
Divine Intervention,2002,Q1388799,,1,auteur-elia-suleiman,defining,film_auteur
Madame Satã,2002,Q3102024,,1,auteur-karim-ainouz,defining,film_auteur
Talk to Her,2002,,,1,auteur-pedro-almodovar,defining,film_auteur
The Man Without a Past,2002,Q944984,,1,auteur-aki-kaurismaki,defining,film_auteur
The Son,2002,,,1,auteur-dardenne-brothers,defining,film_auteur
"Goodbye, Dragon Inn",2003,Q3110692,,1,auteur-tsai-ming-liang,defining,film_auteur
Memories of Murder,2003,Q488169,,1,auteur-bong-joon-ho,defining,film_auteur
Oldboy,2003,Q475693,,1,auteur-park-chan-wook,defining,film_auteur
The Return,2003,,,1,auteur-andrey-zvyagintsev,defining,film_auteur
Tie Xi Qu: West of the Tracks,2003,Q3576744,,1,auteur-wang-bing,defining,film_auteur
Head-On,2004,,,1,auteur-fatih-akin,defining,film_auteur
Nobody Knows,2004,Q612298,,1,auteur-hirokazu-kore-eda,defining,film_auteur
Shutter,2004,,,1,auteur-banjong-pisanthanakun,defining,film_auteur
Tropical Malady,2004,Q594131,,1,auteur-apichatpong-weerasethakul,defining,film_auteur
Caché,2005,,,1,auteur-michael-haneke,defining,film_auteur
L'Enfant,2005,,,1,auteur-dardenne-brothers,defining,film_auteur
Paradise Now,2005,Q309459,,1,auteur-hany-abu-assad,defining,film_auteur
The Death of Mr. Lazarescu,2005,,,1,auteur-cristi-puiu,defining,film_auteur
Tiempo de Valientes,2005,Q7801019,,1,auteur-damian-szifron,defining,film_auteur
Away from Her,2006,Q482652,,1,auteur-sarah-polley,defining,film_auteur
Children of Men,2006,Q221090,,1,auteur-alfonso-cuaron,defining,film_auteur
Colossal Youth,2006,,,1,auteur-pedro-costa,defining,film_auteur
Grbavica,2006,,,1,auteur-jasmila-zbanic,defining,film_auteur
Pan's Labyrinth,2006,Q216006,,1,auteur-guillermo-del-toro,defining,film_auteur
Red Road,2006,,,1,auteur-andrea-arnold,defining,film_auteur
Reprise,2006,,,1,auteur-joachim-trier,defining,film_auteur
Still Life,2006,Q1371155,,1,auteur-jia-zhangke,defining,film_auteur
Syndromes and a Century,2006,Q3508807,,1,auteur-apichatpong-weerasethakul,defining,film_auteur
Volver,2006,,,1,auteur-pedro-almodovar,defining,film_auteur
