list_slug,year,edition_label,slug,rank_max,source,external_ref
cannes-palme-dor,2019,72nd,cannes-palme-dor-2019,,wikidata,{}
cannes-palme-dor,2000,53rd,cannes-palme-dor-2000,,wikidata,{}
cannes-competition,2000,53rd,cannes-competition-2000,,wikidata,{}
cannes-competition,2019,72nd,cannes-competition-2019,,wikidata,{}
cannes-best-director,2000,53rd,cannes-best-director-2000,,wikidata,{}
sight-and-sound-critics,2022,,sight-and-sound-critics-2022,250,bfi,{}
sight-and-sound-critics,2012,,sight-and-sound-critics-2012,250,bfi,{}
sight-and-sound-directors,2022,,sight-and-sound-directors-2022,100,bfi,{}
tspdt-1000,2024,21st,tspdt-1000-2024,1000,tspdt,{}
afi-100,2007,10th Anniversary,afi-100-2007,100,afi,{}
