facet,slug,label,parent_slug,has_editions,tier,authority_weight,source,external_ref,description,country,strategic_tier
festival,cannes,Cannes Film Festival,,false,T1,0.96,wikidata,"{""wikidata"":""Q42369""}",Premier international film festival held annually in Cannes France,,S1
award,cannes-palme-dor,Palme d'Or,cannes,true,T1,0.97,wikidata,"{""wikidata"":""Q179808""}",Top prize for best feature film in Cannes Official Competition,,S1
award,cannes-grand-prix,Grand Prix,cannes,true,T2,0.85,wikidata,{},Second-most prestigious Cannes prize after the Palme d'Or,,S1
award,cannes-jury-prize,Jury Prize,cannes,true,T2,0.75,wikidata,{},Cannes Prix du Jury awarded by the competition jury,,S1
award,cannes-best-director,Best Director,cannes,true,T2,0.80,wikidata,{},Cannes Prix de la mise en scène for best director,,S1
award,cannes-best-screenplay,Best Screenplay,cannes,true,T2,0.78,wikidata,{},Cannes Prix du scénario for best screenplay,,S1
award,cannes-best-actor,Best Actor,cannes,true,T2,0.76,wikidata,{},Cannes award for best male performance,,S1
award,cannes-best-actress,Best Actress,cannes,true,T2,0.76,wikidata,{},Cannes award for best female performance,,S1
award,cannes-camera-dor,Caméra d'Or,cannes,true,T2,0.74,wikidata,"{""wikidata"":""Q775091""}",Cannes prize for best first feature across all selections,,S1
section,cannes-competition,Competition,cannes,true,T2,0.80,wikidata,{},Main Official Competition for the Palme d'Or,,S1
section,cannes-un-certain-regard,Un Certain Regard,cannes,true,T3,0.62,wikidata,{},Cannes parallel section spotlighting original visions,,S1
section,cannes-directors-fortnight,Directors' Fortnight,cannes,true,T3,0.62,wikidata,{},Independent parallel section Quinzaine des Cinéastes,,S1
section,cannes-critics-week,Critics' Week,cannes,true,T3,0.60,wikidata,{},Semaine de la Critique for first and second features,,S1
festival,venice,Venice Film Festival,,false,T1,0.95,wikidata,"{""wikidata"":""Q49024""}",World's oldest film festival held at the Venice Biennale,,S1
award,venice-golden-lion,Golden Lion,venice,true,T1,0.96,wikidata,"{""wikidata"":""Q209459""}",Top prize for best film at the Venice Film Festival,,S1
award,venice-grand-jury-prize,Grand Jury Prize,venice,true,T2,0.84,wikidata,{},Venice second-place award after the Golden Lion,,S1
award,venice-silver-lion-best-director,Silver Lion for Best Director,venice,true,T2,0.82,wikidata,{},Venice award for best director in competition,,S1
award,venice-volpi-cup-best-actor,Volpi Cup for Best Actor,venice,true,T2,0.76,wikidata,{},Coppa Volpi for best male performance at Venice,,S1
award,venice-volpi-cup-best-actress,Volpi Cup for Best Actress,venice,true,T2,0.76,wikidata,{},Coppa Volpi for best female performance at Venice,,S1
section,venice-competition,Competition,venice,true,T2,0.80,wikidata,{},Main Venice competition for the Golden Lion,,S1
section,venice-orizzonti,Orizzonti,venice,true,T3,0.62,wikidata,{},Venice Horizons section for new trends in world cinema,,S1
