Abbas Kiarostami,Iranian New Wave (Key figure),Iranian Cinema (Post-Revolutionary),Poetic Cinema,Minimalism,Slow Cinema,Meta-cinema (Self-reflexive cinema),Docufiction/Hybrid Cinema,Auteur Theory,Koker Trilogy (Geographical/Thematic grouping)
Abdellatif Kechiche,French Cinema,Beur Cinema (Cinema of North African immigrants in France),Naturalism,Contemporary French Realism,,,,,
Abderrahmane Sissako,African Cinema,Mauritanian Cinema/Malian Cinema,Postcolonial Cinema,Political Cinema,,,,,
Aki Kaurismäki,Finnish Cinema,Nordic Cinema,Deadpan Comedy,Minimalism,Auteur Theory,Proletariat Trilogy (Thematic grouping),Finland Trilogy (Thematic grouping),,
Alain Guiraudie,French Cinema,Queer Cinema,Contemporary French Auteurs,Surrealism,Pastoral Cinema (often subversive),,,,
Alejandro Amenábar,Spanish Cinema,New Spanish Cinema,"Genre Filmmaking (Thriller, Horror)",Post-Franco Spanish Cinema,,,,,
Alejandro G. Iñárritu,Mexican Cinema,New Mexican Cinema (Nuevo Cine Mexicano),The Three Amigos of Cinema (Group moniker with Cuarón and del Toro),Transnational Cinema,Hyperlink Cinema (early work),Auteur Theory,,,
Alexander Sokurov,Russian Cinema,Soviet Cinema (late period),Slow Cinema,Contemplative Cinema,The Arc (Tarkovsky's lineage),Auteur Theory,Tetralogy on Power (Thematic grouping),"Single-Take Cinema (e.g., *Russian Ark*)",
Alfonso Cuarón,Mexican Cinema,New Mexican Cinema (Nuevo Cine Mexicano),The Three Amigos of Cinema (Group moniker with Iñárritu and del Toro),Transnational Cinema,Auteur Theory,,,,
Ali Abbasi,Danish Cinema/Swedish Cinema,Iranian Diaspora Cinema,Transnational Cinema,"Genre-Bending Cinema (Fantasy, Nordic Noir)",,,,,
Alice Rohrwacher,Italian Cinema,Contemporary Italian Cinema,New Italian Realism (Neo-Neorealism influences),Magic Realism,Pastoral Cinema,Auteur Theory,,,
Andrea Arnold,British Cinema,Social Realism (Contemporary),Kitchen Sink Realism (modern iteration),Female Gaze,Auteur Theory,,,,
Andrey Zvyagintsev,Russian Cinema,Post-Soviet Russian Cinema,Contemplative Cinema,Political Cinema (Critical Realism),The Arc (Tarkovsky's lineage),Auteur Theory,,,
Ang Lee,Taiwanese Cinema,New Taiwanese Cinema (Second Wave influence),Transnational Cinema,Genre Versatility,Auteur Theory,,,,
Apichatpong Weerasethakul,Thai Cinema,Thai New Wave,Slow Cinema (Key figure),Contemplative Cinema,Jungle Cinema (Geographical/Aesthetic grouping),Surrealism,Experimental/Avant-Garde Film,Auteur Theory,
Ari Aster,American Independent Cinema,Elevated Horror,A24 Cinema (Studio/Aesthetic grouping),Post-Horror,New American Gothic,Auteur Theory,,,
Ari Folman,Israeli Cinema,Animated Documentary,Political Cinema,Post-Trauma Cinema,,,,,
Arnaud Desplechin,French Cinema,Post-New Wave French Cinema,Jeune Cinéma Français (Young French Cinema of the 1990s),Auteur Theory,,,,,
Asghar Farhadi,Iranian Cinema,Contemporary Iranian Cinema,Moral/Ethical Drama,Social Realism,Auteur Theory,,,,
Atom Egoyan,Canadian Cinema,Toronto New Wave (also known as Ontario New Wave),Armenian Diaspora Cinema,Postmodern Cinema,Auteur Theory,,,,
Barry Jenkins,American Independent Cinema,Black Cinema (Contemporary),Poetic Realism,A24 Cinema (Studio/Aesthetic grouping),Auteur Theory,,,,
Béla Tarr,Hungarian Cinema,Slow Cinema (Key figure),Contemplative Cinema,Post-Communist Eastern European Cinema,Minimalism,Existentialism,Auteur Theory,,
Bi Gan,Chinese Cinema,New Chinese Cinema (Post-Sixth Generation),Chinese Independent Cinema,Slow Cinema,Poetic Cinema,Long Take Aesthetics,,,
Bong Joon-ho,South Korean Cinema,Korean New Wave,Genre-Bending Cinema,Social Satire/Critique,Auteur Theory,Bong-tail (Neologism for his detailed style),,,
Bruno Dumont,French Cinema,Cinéma du Corps (Cinema of the Body),New French Extremity (associated),Transcendental Style (influence of Bresson),Philosophical Cinema,Auteur Theory,,,
Carlos Reygadas,Mexican Cinema,New Mexican Cinema (Nuevo Cine Mexicano),Slow Cinema,Contemplative Cinema,Transcendental Style,Transgressive Cinema,Auteur Theory,,
Céline Sciamma,French Cinema,Queer Cinema,Feminist Cinema,Female Gaze,Coming-of-Age Cinema (Récit d'apprentissage),Auteur Theory,,,
"Charlie Kaufman (also Charlie Kaufman, Duke Johnson)",American Independent Cinema,Postmodern Cinema,Meta-cinema/Metafiction,Surrealism,Mind-Game Films,Auteur Theory,,,
Charlotte Wells,British Cinema,Scottish Cinema,New British Cinema,Memory Cinema,Affective Cinema,,,,
