id,type,outlet,critic,year,language,comment_or_title,url,note
1,criticism,Sight and Sound,Catherine Wheatley,2012,en,Barbara review,https://www.bfi.org.uk/sight-and-sound/reviews/barbara-review,
2,criticism,Film Comment,Phillip Lopate,2012,en,Review: Barbara,https://www.filmcomment.com/review-barbara-christian-petzold/,
3,criticism,Cinema Scope,Michael Sicinski,2012,en,Barbara,https://cinema-scope.com/cinema-scope-online/tiff-preview-6-viola-night-across-the-street-after-the-battle-the-hunt-liverpool-me-and-you-no-the-sessions-tower-west-of-memphis/,Standalone capsule within Cinema Scope 52 TIFF Preview
4,criticism,Reverse Shot,Andrew Tracy,2012,en,Clean Slate,https://reverseshot.org/reviews/entry/1647/barbara,
5,criticism,Slant Magazine,John Semley,2012,en,Review: Barbara,https://www.slantmagazine.com/film/barbara/,
6,criticism,RogerEbert.com,Sheila O'Malley,2013,en,The watchers and the watched,https://www.rogerebert.com/reviews/barbara-2013,
7,criticism,MUBI Notebook,David Hudson,2012,en,"Berlinale 2012. Christian Petzold's ""Barbara""",https://mubi.com/notebook/posts/berlinale-2012-christian-petzolds-barbara,Berlinale dispatch/feature aggregating responses to the film
8,criticism,Senses of Cinema,Brad Prager,2017,en,No Time Like the Present: The Edges of the World in Christian Petzold's Barbara,https://www.sensesofcinema.com/2017/christian-petzold-a-dossier/christian-petzolds-barbara/,
9,criticism,Senses of Cinema,Roger Cook,2017,en,The Texture of History: Petzold's Barbara and The Lives of Others,https://www.sensesofcinema.com/2017/christian-petzold-a-dossier/the-texture-of-history/,
10,criticism,Cineaste,Jaimey Fisher,2013,en,Barbara (Web Exclusive),https://www.cineaste.com/spring2013/barbara-web-exclusive,
11,criticism,In Review Online,Ryan Swen,2021,en,Barbara,https://inreviewonline.com/2021/06/02/barbara/,Review within In Review Online's Petzold retrospective
12,criticism,Film International,Daniel Lindvall,2012,en,Barbara Beyond East vs. West,https://filmint.nu/barbara-beyond-east-vs-west/,
13,criticism,epd Film,Martin Schwickert,2012,de,Kritik zu Barbara,https://www.epd-film.de/filmkritiken/barbara,
14,criticism,Filmdienst,Jens Hinrichsen,2012,de,Barbara (2011),https://www.filmdienst.de/film/details/539225/barbara-2011,Kinotipp der katholischen Filmkritik; title is film title
15,criticism,critic.de,Nino Klingler,2012,de,Barbara,https://www.critic.de/film/barbara-3456/,"subtitle: Draussen weht der Wind, und drinnen ticken die Uhren"
16,criticism,kino-zeit,Joachim Kurz,2012,de,Fremd im eigenen Land,https://www.kino-zeit.de/film-kritiken-trailer-streaming/barbara-2012,
17,criticism,Filmgazette,Andreas Thomas,2012,de,Hoss is the Boss,https://filmgazette.de/2017/07/10/barbara/,republished 2017; review of D 2012 film
18,criticism,ray Filmmagazin,Pamela Jahn,2012,de,Eine Frage der Perspektive,https://ray-magazin.at/barbara-eine-frage-der-perspektive/,
19,criticism,Critikat,unknown,2012,fr,Critique : Barbara,https://www.critikat.com/actualite-cine/critique/barbara/,French; no byline shown on page
20,criticism,Débordements,Florent Le Demazel,2012,fr,"Barbara, Christian Petzold — Anatomie d'un rapport",https://debordements.fr/barbara-christian-petzold/,French; dated 8 mai 2012
21,criticism,OtrosCines,Diego Lerer,2012,es,"Bárbara (Barbara, Alemania/2012)",https://www.otroscines.com/nota-16813-el-cine-de-christian-petzold-nueve-criticas-de-su-filmo,"Spanish; Barbara review by Diego Lerer within a multi-film Petzold roundup (orig. 2013, page republished 2021)"
22,criticism,Sentieri Selvaggi,unknown,2012,it,"La scelta di Barbara, di Christian Petzold",https://www.sentieriselvaggi.it/la-scelta-di-barbara-di-christian-petzold/,Italian; Berlinale 2012 coverage
23,criticism,Quinlan,unknown,2012,it,La scelta di Barbara (2012) di Christian Petzold,https://quinlan.it/2012/01/26/la-scelta-di-barbara/,Italian; dated 26 Jan 2012
24,criticism,Cinética,Filipe Furtado,2012,pt,"Barbara, de Christian Petzold (Alemanha, 2012) — Vive-se aqui",http://www.revistacinetica.com.br/barbara.htm,Portuguese (Brazil); Outubro de 2012
25,criticism,Filmkrant,Dana Linssen,2012,nl,Barbara — Besmet door het systeem,https://filmkrant.nl/recensies/barbara/,"Dutch; dated 30-08-2012, Filmkrant 346"
26,criticism,Montages,Sveinung Wålengen,2012,no,Briljanse og bevegelighet i Barbara,https://montages.no/2012/09/briljans-og-bevegelighet-i-barbara/,Norwegian; dated 28 Sept 2012
27,criticism,Ekko,Christian Braad Thomsen,2012,da,Barbara,https://www.ekkofilm.dk/anmeldelser/barbara/,Danish; dated 28 Nov 2012
