id,type,outlet,critic,year,language,tier,title,comment,verdict_le10,verbatim_verified,dek_lead,url
1,criticism,Sight and Sound,Catherine Wheatley,2012,en,verdict,Barbara review,this cool thriller-turned-melodrama,this cool thriller-turned-melodrama,true,"As an East German wannabe émigré thaws, so does this cool thriller-turned-melodrama.",https://www.bfi.org.uk/sight-and-sound/reviews/barbara-review
2,criticism,Film Comment,Phillip Lopate,2012,en,verdict,Review: Barbara,slow-burning thriller exudes icy anxiety,slow-burning thriller exudes icy anxiety,true,Christian Petzold's slow-burning thriller exudes icy anxiety.,https://www.filmcomment.com/review-barbara-christian-petzold/
3,criticism,Cinema Scope,Michael Sicinski,2012,en,title,Barbara,Barbara,,false,,https://cinema-scope.com/cinema-scope-online/tiff-preview-6-viola-night-across-the-street-after-the-battle-the-hunt-liverpool-me-and-you-no-the-sessions-tower-west-of-memphis/
4,criticism,Reverse Shot,Andrew Tracy,2012,en,verdict,Clean Slate,"his ironies pat, his cleanliness sterile","his ironies pat, his cleanliness sterile",true,"Too often … Petzold's precision seems merely neat, his ambiguities calculated, his ironies pat, his cleanliness sterile.",https://reverseshot.org/reviews/entry/1647/barbara
5,criticism,Slant Magazine,John Semley,2012,en,verdict,Review: Barbara,adeptly conducts his tides of Cold War paranoia,adeptly conducts his tides of Cold War paranoia,true,Most compelling … is the way the filmmaker adeptly conducts his tides of Cold War paranoia.,https://www.slantmagazine.com/film/barbara/
6,criticism,RogerEbert.com,Sheila O'Malley,2013,en,title-eval,The watchers and the watched,The watchers and the watched,,false,(og=줄거리 도입부 → 평가성 제목 사용),https://www.rogerebert.com/reviews/barbara-2013
7,criticism,MUBI Notebook,David Hudson,2012,en,verdict,"Berlinale 2012. Christian Petzold's ""Barbara""",a culmination of his stylish progression and thematic concerns,a culmination of his stylish progression and thematic concerns,true,"While it's too early to call Barbara Petzold's best, it is a culmination of his stylish progression and thematic concerns.",https://mubi.com/notebook/posts/berlinale-2012-christian-petzolds-barbara
8,criticism,Senses of Cinema,Brad Prager,2017,en,title,No Time Like the Present: The Edges of the World in Christian Petzold's Barbara,No Time Like the Present: The Edges of the World in Christian Petzold's Barbara,,false,,https://www.sensesofcinema.com/2017/christian-petzold-a-dossier/christian-petzolds-barbara/
9,criticism,Senses of Cinema,Roger Cook,2017,en,title,The Texture of History: Petzold's Barbara and The Lives of Others,The Texture of History: Petzold's Barbara and The Lives of Others,,false,,https://www.sensesofcinema.com/2017/christian-petzold-a-dossier/the-texture-of-history/
10,criticism,Cineaste,Jaimey Fisher,2013,en,title,Barbara (Web Exclusive),Barbara (Web Exclusive),,false,,https://www.cineaste.com/spring2013/barbara-web-exclusive
11,criticism,In Review Online,Ryan Swen,2021,en,verdict,Barbara,Petzold's international breakthrough effectively came with Barbara,Petzold's international breakthrough effectively came with Barbara,true,In retrospect … Christian Petzold's international breakthrough effectively came with Barbara.,https://inreviewonline.com/2021/06/02/barbara/
12,criticism,Film International,Daniel Lindvall,2012,en,verdict,Barbara Beyond East vs. West,It may well be the best so far,It may well be the best so far,true,Barbara … is a remarkable film. It may well be the best so far of all the German films … on the GDR.,https://filmint.nu/barbara-beyond-east-vs-west/
13,criticism,epd Film,Martin Schwickert,2012,de,title,Kritik zu Barbara,Kritik zu Barbara,,false,,https://www.epd-film.de/filmkritiken/barbara
14,criticism,Filmdienst,Jens Hinrichsen,2012,de,verdict,Barbara (2011),Der eindrucksvoll gespielte und inszenierte Film,Der eindrucksvoll gespielte und inszenierte Film,true,In der DDR der frühen 1980er-Jahre … Der eindrucksvoll gespielte und inszenierte Film nutzt die behutsam andeutende Liebesgeschichte …,https://www.filmdienst.de/film/details/539225/barbara-2011
15,criticism,critic.de,Nino Klingler,2012,de,title-eval,Barbara,Barbara,,false,"부제: Draußen weht der Wind, und drinnen ticken die Uhren",https://www.critic.de/film/barbara-3456/
