id,name,publisher,country,language,discipline,region,global_south,peer_reviewed,open_access,founded,indexing,homepage_url,scope_note,evidence_url
1,Journal of African Cinemas,Intellect,United Kingdom,English,national/regional cinema; postcolonial,Africa,yes,yes,no,2009,Scopus; Web of Science ESCI; IBSS ProQuest,https://www.intellectbooks.com/journal-of-african-cinemas,Continental Sub-Saharan and pan-African cinema; films from and about Africa wherever made,https://www.intellectbooks.com/journal-of-african-cinemas
2,Black Camera: An International Film Journal,Indiana University Press,United States,English,African & diasporic cinema; Black studies,Africa / diaspora,yes,yes,no,2009,Project MUSE; JSTOR,https://blackcamera.indiana.edu/,"African diasporic and continental African cinema; the Black cinematic experience worldwide (published by IUP / Media School, Indiana University)",https://blackcamera.indiana.edu/about/
3,BioScope: South Asian Screen Studies,SAGE Publications,India,English,South Asian screen studies,South Asia,yes,yes,no,2010,Scopus; COPE member,https://journals.sagepub.com/home/bio,South Asian (Indian subcontinent) screen cultures; published with Univ. of Westminster and Sarai/CSDS,https://journals.sagepub.com/home/bio
4,Studies in South Asian Film & Media,Intellect,United Kingdom,English,South Asian film & media,South Asia,yes,yes,no,2009,Scopus,https://www.intellectbooks.com/studies-in-south-asian-film-media,"South Asian (Indian subcontinent) cinema and media in social, political and diasporic contexts",https://www.intellectbooks.com/studies-in-south-asian-film-media
5,"Plaridel: A Philippine Journal of Communication, Media and Society",University of the Philippines College of Mass Communication,Philippines,English,"film, media & society (Philippines/SE Asia)",Southeast Asia,yes,yes,yes,2004,Scopus; Web of Science; ASEAN Citation Index; CHED Category A-2,https://www.plarideljournal.org/,"Southeast Asian (Philippine) and Asian film, media and communication studies",https://www.plarideljournal.org/plaridel-journal/
6,Imagofagia,Asociacion Argentina de Estudios de Cine y Audiovisual (AsAECA),Argentina,Spanish,Latin American film & audiovisual studies,Latin America,yes,yes,yes,2009,DOAJ; Latindex; Dialnet; ERIH PLUS; MLA; BASE; REDIB,https://imagofagia.asaeca.org/index.php/imagofagia/index,Latin American (Ibero-American) cinema and audiovisual studies; peer-reviewed scholarly sections,https://imagofagia.asaeca.org/index.php/imagofagia/es/about
7,Cine Documental,"Cine Documental (independent, Argentina)",Argentina,Spanish,documentary theory (Latin America),Latin America,yes,yes,yes,2010,Latindex; Nucleo Basico de Revistas Cientificas Argentinas,https://revista.cinedocumental.com.ar/,Latin American and international documentary cinema studies,https://revista.cinedocumental.com.ar/
8,Screen,Oxford University Press (for SEFT/University of Glasgow),United Kingdom,English,film & media theory,UK / International,no,yes,hybrid,1969,Scopus; Arts & Humanities Citation Index; MLA,https://academic.oup.com/screen,Leading international journal of academic film and television theory.,https://en.wikipedia.org/wiki/Screen_(journal)
9,JCMS: Journal of Cinema and Media Studies,Michigan Publishing for the Society for Cinema and Media Studies,United States,English,cinema & media studies (flagship),North America / International,no,yes,no,1961,Scopus; Arts & Humanities Citation Index; MLA,https://www.cmstudies.org/page/jcms,Flagship SCMS journal; rigorous humanities scholarship across audiovisual media.,https://en.wikipedia.org/wiki/Journal_of_Cinema_and_Media_Studies
10,"Camera Obscura: Feminism, Culture, and Media Studies",Duke University Press,United States,English,"feminism, media, film theory",North America,no,yes,hybrid,1976,Scopus; Arts & Humanities Citation Index; MLA,https://read.dukeupress.edu/camera-obscura,"Feminist theory of film, television, video and digital media.",https://en.wikipedia.org/wiki/Camera_Obscura_(journal)
11,Film Quarterly,University of California Press,United States,English,film criticism & scholarship,North America,no,yes,hybrid,1958,Scopus; MLA; JSTOR,https://online.ucpress.edu/fq,"Peer-reviewed scholarship on cinema, television and digital media.",https://en.wikipedia.org/wiki/Film_Quarterly
