id,name,publisher,country,language,homepage_url,archive_url,rss_url,sitemap_url,article_url_pattern,render_mode,content_types,cadence,est_archive_size,paywall,robots_url,robots_ai_stance,robots_crawl_delay,api_available,license_terms_url,trust_tier,ingest_recommendation,editorial_note,evidence_urls
1,Film Comment,Film at Lincoln Center,United States,en,https://www.filmcomment.com,https://www.filmcomment.com/archive/,https://www.filmcomment.com/feed/,https://www.filmcomment.com/wp-sitemap.xml,/{slug}/,static,reviews;essays;interviews,irregular,unknown,metered,https://www.filmcomment.com/robots.txt,partial,none,RSS-only,https://www.filmcomment.com/terms-of-service/,1,permission-needed,Founded 1962; independent nonprofit; long-form interviews and criticism; published by Film at Lincoln Center,https://www.filmcomment.com/robots.txt;https://www.filmcomment.com/contact/;https://en.wikipedia.org/wiki/Film_Comment
2,Senses of Cinema,Senses of Cinema Inc.,Australia,en,https://www.sensesofcinema.com,https://www.sensesofcinema.com/issues/,https://www.sensesofcinema.com/feed/,https://www.sensesofcinema.com/wp-sitemap.xml,/{year}/{category}/{slug}/,static,essays;interviews;festival-reports;academic,quarterly,unknown,none,https://www.sensesofcinema.com/robots.txt,allows,none,RSS-only,https://www.sensesofcinema.com/privacy/,2,RSS-incremental,Open-access film criticism and film-studies journal founded in Melbourne 1999; strong essay and Great Directors archive,https://www.sensesofcinema.com/robots.txt;https://www.sensesofcinema.com/about/contact-us/
3,Reverse Shot,Museum of the Moving Image,United States,en,https://www.reverseshot.org,https://www.reverseshot.org/archive,https://reverseshot.org/archive/entry/rss,none,/{section}/{slug},static,reviews;essays;interviews;video-essays,irregular,unknown,none,https://www.reverseshot.org/robots.txt,allows,none,RSS-only,unknown,2,RSS-incremental,Founded 2003 by Michael Koresky and Jeff Reichert; published by Museum of the Moving Image since 2014; essayistic film criticism,https://www.reverseshot.org/robots.txt;https://www.reverseshot.org/about
4,Notebook (MUBI),MUBI,United Kingdom,en,https://mubi.com/en/notebook,https://mubi.com/en/notebook,unknown,https://feeds.mubi.com/sitemap.xml,unknown,js-required,reviews;essays;interviews;video-essays,daily,unknown,none,https://mubi.com/robots.txt,allows,5,none,https://mubi.com/en/terms_of_service,2,permission-needed,"Daily international film publication of streaming platform MUBI; criticism, interviews and video essays; influential contemporary venue",https://mubi.com/robots.txt;https://mubi.com/en/notebook
5,De Filmkrant,Stichting Fuurland,Netherlands,nl,https://filmkrant.nl,https://filmkrant.nl/artikelen/,https://filmkrant.nl/feed/,https://filmkrant.nl/sitemap_index.xml,unknown,static,reviews;interviews;news;essays,weekly,unknown,none,https://filmkrant.nl/robots.txt,allows,none,RSS-only,https://filmkrant.nl/disclaimer/,2,RSS-incremental,"Leading Dutch film magazine since 1981, published by Stichting Fuurland (Amsterdam); reviews, interviews and news; print and web",https://filmkrant.nl/robots.txt;https://filmkrant.nl/contact/
6,Sight and Sound,British Film Institute (BFI),United Kingdom,en,https://www.bfi.org.uk/sight-and-sound,https://www.bfi.org.uk/sight-and-sound/articles,http://www.bfi.org.uk/sightandsound/feed,https://www.bfi.org.uk/sitemap.xml,/sight-and-sound/{category}/{slug},static,reviews;essays;interviews;festival-reports,monthly,unknown,metered,https://www.bfi.org.uk/robots.txt,allows,none,RSS-only,https://www.bfi.org.uk/terms-use,1,permission-needed,BFI's flagship international film magazine; the decennial Greatest Films poll is a global reference point.,https://www.bfi.org.uk/sight-and-sound;https://www.bfi.org.uk/contact-us;https://www.bfi.org.uk/press-contacts;https://www.bfi.org.uk/robots.txt
7,Cineaste,"Cineaste Publishers, Inc.",United States,en,https://www.cineaste.com,https://www.cineaste.com/web-archives,unknown,https://www.cineaste.com/sitemap.xml,/{issue}/{slug},static,reviews;interviews;essays,quarterly,unknown,print-only,https://www.cineaste.com/robots.txt,disallows,none,none,unknown,1,avoid,Long-running US quarterly on the art and politics of cinema; print issues with select web-exclusive previews.,https://www.cineaste.com/robots.txt;https://www.cineaste.com/contact;https://www.cineaste.com/editors-and-staff
8,Film Quarterly,University of California Press,United States,en,https://filmquarterly.org,https://filmquarterly.org/category/issues/,https://filmquarterly.org/feed/,https://filmquarterly.org/sitemap.xml,/{year}/{month}/{day}/{slug}/,static,reviews;essays;interviews;academic,quarterly,unknown,none,https://filmquarterly.org/robots.txt,disallows,none,RSS-only,https://filmquarterly.org,1,avoid,Peer-reviewed UC Press journal (ed. B. Ruby Rich legacy); robots.txt blocks all major AI/TDM crawlers.,https://filmquarterly.org/robots.txt;https://filmquarterly.org/contact/;https://filmquarterly.org/about/
9,Cinema Scope,Cinema Scope Publishing (Mark Peranson),Canada,en,https://cinema-scope.com,https://cinema-scope.com/archive,https://cinema-scope.com/feed/,https://cinema-scope.com/sitemap_index.xml,/{slug}/,static,reviews;essays;interviews;festival-reports,quarterly,unknown,none,https://cinema-scope.com/robots.txt,allows,none,RSS-only,unknown,2,RSS-incremental,Influential Canadian cinephile quarterly ed. by Mark Peranson; reportedly publishing its final issue.,https://cinema-scope.com/robots.txt;https://cinema-scope.com/sitemap_index.xml
10,Screen Slate,Screen Slate (501(c)(3) New York charitable corporation),United States,en,https://www.screenslate.com,https://www.screenslate.com/articles,unknown,unknown,/articles/{slug},static,reviews;essays;interviews,daily,unknown,none,https://www.screenslate.com/robots.txt,allows,none,none,https://www.screenslate.com/terms,2,permission-needed,"NYC/SF Bay daily repertory listings plus original criticism; nonprofit, no confirmed public RSS feed.",https://www.screenslate.com/robots.txt;https://www.screenslate.com/about
11,4Columns,4Columns (nonprofit arts-criticism organization),United States,en,https://4columns.org,https://4columns.org/archive,unknown,unknown,/reviews/{slug},js-required,reviews;essays,weekly,unknown,none,https://4columns.org/robots.txt,allows,none,unknown,unknown,2,permission-needed,"Weekly nonprofit arts-criticism review (ed. Margaret Sundell) with a dedicated film section; JS-rendered, no verifiable robots.txt.",https://4columns.org/about/masthead;https://4columns.org/about;https://4columns.org/robots.txt
12,Little White Lies,TCO London Publishing,United Kingdom,en,https://lwlies.com,https://lwlies.com/reviews,https://lwlies.com/feed.rss,https://lwlies.com/sitemaps-2-sitemap.xml,/reviews/{slug},static,reviews;essays;interviews;festival-reports,daily,unknown,none,https://lwlies.com/robots.txt,allows,none,RSS-only,https://lwlies.com/page/privacy-policy,2,RSS-incremental,Design-led UK film magazine (print + free web); strong reviews and long-read features.,https://lwlies.com/robots.txt;https://lwlies.com/contact;https://lwlies.com/feed.rss
13,Bright Wall/Dark Room,"Bright Wall/Dark Room, LLC",United States,en,https://www.brightwalldarkroom.com,https://www.brightwalldarkroom.com/issues/,https://www.brightwalldarkroom.com/feed/,unknown,/{year}/{month}/{day}/{slug}/,static,essays;interviews,monthly,unknown,hard,https://www.brightwalldarkroom.com/robots.txt,allows,none,unknown,https://www.brightwalldarkroom.com/terms-and-conditions/,3,permission-needed,Reader-supported essay journal on movies and life since 2013; full archive behind a Leaky Paywall subscription.,https://www.brightwalldarkroom.com/robots.txt;https://www.brightwalldarkroom.com/about/
14,The Criterion Collection — Current,"The Criterion Collection, Inc.",United States,en,https://www.criterion.com/current,unknown,unknown,http://sitemap.criterion.com/index.xml,/current/{section}/{slug},js-required,essays;interviews;video-essays,daily,unknown,none,https://www.criterion.com/robots.txt,allows,none,none,https://www.criterion.com/library/terms-of-use,1,permission-needed,Criterion's editorial wing publishing canonical essays by major critics; commercial platform with restrictive ToS and JS-rendered pages.,https://www.criterion.com/robots.txt;http://sitemap.criterion.com/index.xml;https://www.criterion.com/contact_us
15,Film International,Intellect Ltd,Sweden,en,https://filmint.nu,https://filmint.nu/page/318/,https://filmint.nu/feed/,unknown,/{slug}/,static,reviews;essays;interviews;festival-reports;academic,irregular,unknown,none,https://filmint.nu/robots.txt,allows,none,RSS-only,unknown,2,RSS-incremental,"Scholarly-yet-accessible journal 'Thinking Film Since 1973' (orig. Filmhäftet, Sweden); free webzine alongside Intellect print issues.",https://filmint.nu/robots.txt;https://filmint.nu/about/;https://filmint.nu/contact/
16,Sabzian,Sabzian vzw,Belgium,nl,https://www.sabzian.be,https://www.sabzian.be/articles,unknown,unknown,/{lang}/{slug},static,essays;interviews,irregular,unknown,none,https://www.sabzian.be/robots.txt,allows,none,unknown,unknown,2,permission-needed,"Volunteer-run multilingual (NL/FR/EN) Belgian film journal since 2014; essays, interviews and translations incl. Bazin and Rancière.",https://www.sabzian.be/;https://www.sabzian.be/en/info;https://www.sabzian.be/robots.txt
