id,type,outlet,critic,year,language,tier,title,comment,verdict_le10,verbatim_verified,dek_lead,url
1,criticism,Time Out,,1999,en,title,"10 Things I Hate About You 1999, directed by Gil Junger | Film review","10 Things I Hate About You 1999, directed by Gil Junger | Film review",,false,"The Taming of the Shrew set in American teendom ('Padua', a suburb of Seattle) may not sound a great idea. A snooty riot grrrl (Stiles) as Kate/Katharina? An im",https://www.timeout.com/movies/10-things-i-hate-about-you
2,criticism,RogerEbert.com,,1999,en,title,10 Things I Hate About You movie review,10 Things I Hate About You movie review,,false,,https://www.rogerebert.com/reviews/10-things-i-hate-about-you-1999
3,academic,Borrowers and Lenders The Journal of Shakespeare Appropriations,Jennifer Clement,2023,en,verdict,The Postfeminist Mystique: Feminism and Shakespearean Adaptation in 10 Things I Hate About You and She's the Man,"""The Postfeminist Mystique: Feminism and Shakespearean Adaptation in 10 Things","""The Postfeminist Mystique: Feminism and Shakespearean Adaptation in 10 Things",true,"""The Postfeminist Mystique: Feminism and Shakespearean Adaptation in 10 Things I Hate About You and She's the Man"" focuses on two recent teen adaptations of Shakespeare's The Taming of the Shrew and Twelfth Night, respectively. While I agre",https://doi.org/10.18274/avgp7423
4,academic,Borrowers and Lenders The Journal of Shakespeare Appropriations,Rachael McLennan,2023,en,verdict,To Count as a Girl: Misdirection in 10 Things I Hate About You,Critical readings of 10 Things I Hate About You have,Critical readings of 10 Things I Hate About You have,true,"Critical readings of 10 Things I Hate About You have primarily focused on whether, and to what extent, Kat has relinquished the feminist values she displays prior to her ""taming"" and usually claim that the film is conservative in its treatm",https://doi.org/10.18274/hntp7126
5,academic,Book chapter,Joanna Falk,2021,en,title,"10 Things I Hate About You (Dir. Gil Junger, USA, 1999)","10 Things I Hate About You (Dir. Gil Junger, USA, 1999)",,false,,https://doi.org/10.1007/978-3-319-99378-2_2-2
6,academic,Book chapter,Joanna Falk,2020,en,title,"10 Things I Hate About You (Dir. Gil Junger, USA, 1999)","10 Things I Hate About You (Dir. Gil Junger, USA, 1999)",,false,,https://doi.org/10.1007/978-3-319-99378-2_2-1
7,academic,Adaptation,Melissa Croteau,2021,en,verdict,Cowboy Hamlets and zombie Romeos: Shakespeare in genre film,It is Földváry’s adept treatment of these lesser known films,It is Földváry’s adept treatment of these lesser known films,true,"Kinga Földváry’s recent monograph, Cowboy Hamlets and zombie Romeos: Shakespeare in genre film, lives up to its lively name and is a welcome addition to the ever-growing wealth of academic work on Shakespeare-related media. Földváry’s caref",https://doi.org/10.1093/adaptation/apab013
8,academic,Palgrave Macmillan US eBooks,Laurie E. Osborne,2002,en,title,Harlequin Presents,Harlequin Presents,,false,"Throughout the late twentieth century and in to the millennium, we have grown accustomed to Shakespearean allusions in several forms of mass culture. Not only does a talking Jack Russell terrier play Prince Hal, Romeo, and Ariel on assorted",https://doi.org/10.1007/978-1-137-09277-9_6
9,academic,The New Studies of English Language & Literature,Minkyung Kim,2019,en,verdict,Popularizing Shakespeare in the Hollywood Teen Films : 10 Things I Hate about You,This paper aims to analyze the strategies of popularizing Shakespeare,This paper aims to analyze the strategies of popularizing Shakespeare,true,"This paper aims to analyze the strategies of popularizing Shakespeare in the Hollywood teen film adaptations, focusing on 10 Things I Hate about You, loosely adapted from Shakespeare’s Taming of the Shrew. In 10 Things I Hate about You, the",https://doi.org/10.21087/nsell.2019.11.74.1
10,academic,Shanlax International Journal of Arts Science and Humanities,MJ Steffe Faith,2024,en,verdict,"Feminist Take on ""The Taming of the Shrew"" and ""10 Things I Hate About You.""",This research explores the evolution of feminist themes from Shakespeare's,This research explores the evolution of feminist themes from Shakespeare's,true,"This research explores the evolution of feminist themes from Shakespeare's ""The Taming of the Shrew"" to its cinematic adaptation, ""10 Things I Hate About You."" While the original play lacks explicit feminist elements, the film, influenced b",https://doi.org/10.34293/sijash.v11i3.7113
