id,type,outlet,critic,year,language,tier,title,comment,verdict_le10,verbatim_verified,dek_lead,url
1,criticism,Slant Magazine,,2010,en,title,DVD Review: Darren Aronofsky’s Black Swan on Fox Home Entertainment,DVD Review: Darren Aronofsky’s Black Swan on Fox Home Entertainment,,false,,https://www.slantmagazine.com/dvd/black-swan-dvd/
2,criticism,The Guardian,,2010,en,verdict,"Black Swan review – gripping ballet psychodrama about fear, love and hatred | Black Swan",the best one since Polanski’s Repulsion,the best one since Polanski’s Repulsion,true,"Natalie Portman excels in this study of female breakdown from Darren Aronofsky, the best one since Polanski’s Repulsion",https://www.theguardian.com/film/2011/jan/20/black-swan-review
3,academic,UvA-DARE (University of Amsterdam),Tarja Laine,2015,en,verdict,Bodies in Pain: Emotion and the Cinema of Darren Aronofsky,The films of Darren Aronofsky invite emotional engagement by means,The films of Darren Aronofsky invite emotional engagement by means,true,"The films of Darren Aronofsky invite emotional engagement by means of affective resonance between the film and the spectator’s lived body. Aronofsky’s films, which include a rich range of production from Requiem for a Dream to Black Swan, a",https://doi.org/10.1515/9781782385769
4,academic,The International Journal of Psychoanalysis,Beate West‐Leuer,2017,en,verdict,<i>Black Swan</i> – the sacrifice of a prima ballerina: Psychosexual (self‐)injuries as the legacy of archaic experiences of violence,"Black Swan (Darren Aronofsky, 2010) is about a New York","Black Swan (Darren Aronofsky, 2010) is about a New York",true,"Black Swan (Darren Aronofsky, 2010) is about a New York ballet company whose artistic director wants to stage a production of ‘Swan Lake’. The young ballerina Nina Sayers is given – according to he...",https://doi.org/10.1111/1745-8315.12658
5,academic,Book,Jadranka Skorin‐Kapov,2015,en,verdict,Darren Aronofsky’s Films and the Fragility of Hope,The first sustained analysis of the current oeuvre of film,The first sustained analysis of the current oeuvre of film,true,"The first sustained analysis of the current oeuvre of film director Darren Aronofsky, examining the many intersections between his filmic work and his philosophical positions--Darren Aronofsky's Films and the Fragility of Hope offers the fi",https://doi.org/10.5040/9781501307003
6,academic,Oxford Bibliographies Online Datasets,Tarja Laine,2018,en,verdict,Darren Aronofsky,Darren Aronofsky (b.,Darren Aronofsky (b.,true,"Darren Aronofsky (b. 1969) is an acclaimed American filmmaker known for his psychologically disturbing films. Before studying as a director at the American Film Institute, Aronofsky attended Harvard University, where he studied anthropology",https://doi.org/10.1093/obo/9780199791286-0305
7,academic,Berghahn Books,Tarja Laine,2022,en,verdict,Bodies in Pain,The films of Darren Aronofsky invite emotional engagement by means,The films of Darren Aronofsky invite emotional engagement by means,true,"The films of Darren Aronofsky invite emotional engagement by means of affective resonance between the film and the spectator’s lived body. Aronofsky’s films, which include a rich range of production from Requiem for a Dream to Black Swan, a",https://doi.org/10.1515/9781782385769
8,academic,ELite Journal International Journal of Education Language and Literature,Amelia Wahyu Anggraini Putri,2024,en,verdict,AMBITION FOR FAME IN DARREN ARONOFSKY'S BLACK SWAN MOVIE,This study aims to identify the indicators of ambition for,This study aims to identify the indicators of ambition for,true,"This study aims to identify the indicators of ambition for fame, how ambition is reflected, and why ambition for fame is reflected in Black Swan, a movie directed by Darren Aronofsky. The analysis of the ambition for fame in Darren Aronofsk",https://doi.org/10.26740/elitejournal.v4n4.p1-11
9,academic,"Culture, theory and critique/Culture, theory & critique",Simone Bignall,2012,en,verdict,"<i>Black Swan</i>, Cracked Porcelain and Becoming-Animal",Through new forms of engagement with her peers,Through new forms of engagement with her peers,true,"The film Black Swan, directed by Darren Aronofsky, provides a fruitful context for thinking about Deleuze's conceptualisation of structural transformation as a 'presubjective' process involving a critical and creative politics of engagement",https://doi.org/10.1080/14735784.2012.749110
10,academic,Capture Jurnal Seni Media Rekam,Anisa Efani Yulandara Nastiti,2023,en,verdict,THE PORTRAYAL OF THE FEMALE PROTAGONIST IN DARREN ARONOFSKY’S BLACK SWAN USING FREUD’S PSYCHOANALYTIC THEORY OF PERSONALITY AND DEFENSE MECHANISMS,Black Swan is a psychological horror movie by Darren Aronofsky.,Black Swan is a psychological horror movie by Darren Aronofsky.,true,"Black Swan is a psychological horror movie by Darren Aronofsky. This movie tells of a ballerina named Nina Sayers, who desires to be a perfect ballerina. On her way to achieving her desire, Nina experiences psychological problems where she ",https://doi.org/10.33153/capture.v14i2.4993
