id,type,outlet,critic,year,language,tier,title,comment,verdict_le10,verbatim_verified,dek_lead,url
1,criticism,Asian Movie Pulse,,1988,en,title,Anime Review: Grave of the Fireflies (1988) by Isao Takahata,Anime Review: Grave of the Fireflies (1988) by Isao Takahata,,false,,https://asianmoviepulse.com/2021/09/anime-review-grave-of-the-fireflies-1988-by-isao-takahata/
2,criticism,Little White Lies,,1988,en,title,How personal trauma and national tragedy inspired Grave of the…,How personal trauma and national tragedy inspired Grave of the…,,false,,https://lwlies.com/article/grave-of-the-fireflies-isao-takahata-studio-ghibli
3,criticism,The New York Times,,1988,en,title,‘Grave of the Fireflies’ Review: A Pioneering Animated Classic,‘Grave of the Fireflies’ Review: A Pioneering Animated Classic,,false,,https://www.nytimes.com/2019/01/03/movies/grave-of-the-fireflies-review.html
4,criticism,RogerEbert.com,,1988,en,title,Grave of the Fireflies movie review,Grave of the Fireflies movie review,,false,,https://www.rogerebert.com/reviews/great-movie-grave-of-the-fireflies-1988
5,academic,Bloomsbury Publishing Plc eBooks,Alex Dudok de Wit,2021,en,verdict,Grave of the Fireflies,"<JATS1:p>On its release in 1988, Grave of the Fireflies riveted","<JATS1:p>On its release in 1988, Grave of the Fireflies riveted",true,"<JATS1:p>On its release in 1988, Grave of the Fireflies riveted audiences with its uncompromising drama. Directed by Isao Takahata at Studio Ghibli and based on an autobiographical story by Akiyuki Nosaka, the story of two Japanese children",https://doi.org/10.5040/9781838719227
6,academic,Mechademia Second Arc,Wendy C Goldberg,2009,en,title,Transcending the Victim’s History: Takahata Isao’s &lt;i&gt;Grave of the Fireflies&lt;/i&gt;,Transcending the Victim’s History: Takahata Isao’s &lt;i&gt;Grave of the Fireflies&lt;/i&gt;,,false,,https://doi.org/10.1353/mec.0.0030
7,academic,Institutional Repositories DataBase (IRDB),Daisuke Akimoto,2014,en,verdict,"Peace education through the animated film “Grave of the Fireflies” physical, psychological, and structural violence of war",This paper is based on a review of the animation,This paper is based on a review of the animation,true,"This paper is based on a review of the animation film, ""Grave of the Fireflies"" (1988) directed by Isao Takahata and animated by Studio Ghibli.Though Takahata denied that it was an 'anti-war film', this study argues to categorize it as anti",https://doi.org/10.34382/00011470
8,academic,Japan Forum,Alistair Swale,2017,en,verdict,Memory and forgetting: examining the treatment of traumatic historical memory in<i>Grave of the Fireflies</i>and<i>The Wind Rises</i>,"Within Japanese popular culture, manga and anime have played a","Within Japanese popular culture, manga and anime have played a",true,"Within Japanese popular culture, manga and anime have played a significant role in mediating responses to the outcome of the Pacific War. Miyazaki Hayao's (possibly) final feature-length film, The Wind Rises, has been an important addition ",https://doi.org/10.1080/09555803.2017.1321570
9,academic,The Journal of Anime and Manga Studies,Samragngi Roy,2022,en,verdict,"""Why must fireflies die so young?"" The Picturesque of Caution in the Works of Studio Ghibli",As opposed to most contemporary usage of the word “picturesque”,As opposed to most contemporary usage of the word “picturesque”,true,"As opposed to most contemporary usage of the word “picturesque” – which is generally taken to mean visually attractive in a quaint or charming way, or else something that resembles a picture – William Gilpin introduced this term to the Engl",https://doi.org/10.21900/j.jams.v3.963
10,academic,Holistik Analisis Nexus,Nazariwati,2024,id,verdict,NILAI-NILAI KARAKTER PADA ANIME GRAVE OF THE FIREFLIES KARYA ISAO TAKAHATA,Penelitian ini bertujuan untuk mendeskripsikan nilai-nilai karakter yang terdapat pada,Penelitian ini bertujuan untuk mendeskripsikan nilai-nilai karakter yang terdapat pada,true,Penelitian ini bertujuan untuk mendeskripsikan nilai-nilai karakter yang terdapat pada anime Grave of the Fireflies karya Isao Takahata. Penelitian ini menggunakan penelitian kualitatif dengan jenis pendekatan deskriptif. Penelitian difokus,https://doi.org/10.62504/nexus675
11,academic,The Journal of Humanities and Social sciences 21,Sunyoung Park,2023,en,title,The Philosophy of Isao Takahata Presented in His Directing of Grave of the Fireflies,The Philosophy of Isao Takahata Presented in His Directing of Grave of the Fireflies,,false,"연구 목적: 본고의 목적은 지브리 애니메이션 <반딧불의 묘>를 통해 다카하타 이사오 감독이 일본 사회에 던지고자 한 메시지가 무엇인지를 정확히 파악하는 데 있다.연구 방법: 이를 위해, 본고는 감독이 노사카 아키유키의 원작 소설을 영화화하는 과정에서 어떠한 연출 방식을 통해 그의 기획 의도를 형상화 했으며, 그 내용이 원작 소설과 어떻게 다르게 나타났는가를 분석해 보았다.연구 내용: 분석의 결과, 이 작품은 원작이 강조하고 있",https://doi.org/10.22143/hss21.14.3.120
12,academic,University of Hawaii Press eBooks,Lindsay Coleman,2025,en,verdict,The Many Worlds of Takahata Isao,known not only for its humor and striking visual effects,known not only for its humor and striking visual effects,true,"Takahata Isao (1935–2018), often referred to as the “Second Pillar” of the renowned Studio Ghibli, is one of the most esteemed animation directors in the history of the form. He is also the first, and thus far the only, anime director to ha",https://doi.org/10.2307/jj.22679810
