id,type,outlet,critic,year,language,tier,title,comment,verdict_le10,verbatim_verified,dek_lead,url
1,criticism,The Guardian,,2013,en,title,Ida review – an eerily beautiful road movie | Ida,Ida review – an eerily beautiful road movie | Ida,,false,"A novice nun journeys through her family’s secret past in Paweł Pawlikowski’s outstanding black-and-white drama, writes Peter Bradshaw",https://www.theguardian.com/film/2014/sep/25/ida-pawel-pawlikowski-nun-road-movie
2,criticism,RogerEbert.com,,2013,en,title,Ida movie review & film summary,Ida movie review & film summary,,false,,https://www.rogerebert.com/reviews/ida-2014
3,criticism,Film Comment,,2013,en,title,Review: Ida,Review: Ida,,false,,https://www.filmcomment.com/article/review-ida-pawel-pawlikowski/
4,criticism,The New Yorker,,2013,en,title,“Ida”: A Film Masterpiece,“Ida”: A Film Masterpiece,,false,How can you capture a nation’s spirit by telling a singular story? By making every shot as definitive as an icon.,https://www.newyorker.com/culture/culture-desk/ida-a-film-masterpiece
5,criticism,Slant Magazine,,2013,en,title,Review: Ida,Review: Ida,,false,,https://www.slantmagazine.com/film/ida/
6,academic,HAL (Le Centre pour la Communication Scientifique Directe),Ricarda Schneider,2016,de,title,Textlinguistische Überlegungen zu Filmkritiken am Beispiel von deutsch- und französischsprachigen Kritiken zu Paweł Pawlikowskis Film Ida,Textlinguistische Überlegungen zu Filmkritiken am Beispiel von deutsch- und französischsprachigen Kritiken zu Paweł Pawlikowskis Film Ida,,false,International audience,https://doi.org/10.3726/978-3-653-06363-9/31
7,academic,Histoire Politique,Cédric Pellen,2023,fr,verdict,"Ida, de Paweł Pawlikowski (2013)","Né à Varsovie en 1957, Paweł Pawlikowski a quitté la","Né à Varsovie en 1957, Paweł Pawlikowski a quitté la",true,"Né à Varsovie en 1957, Paweł Pawlikowski a quitté la Pologne pour le Royaume-Uni à l’adolescence. Diplômé en littérature à Oxford, il mène une fructueuse carrière de documentariste pour la télévision avant de se tourner vers la fiction au d",https://doi.org/10.4000/histoirepolitique.12738
8,academic,Politeja,Sylwia Frach,2022,en,verdict,The Landscape as a Silent Witness of a Fragile Memory in Paweł Pawlikowski’s 2013 Film Ida,"This article focuses on Paweł Pawlikowski’s 2013 film Ida, analysing","This article focuses on Paweł Pawlikowski’s 2013 film Ida, analysing",true,"This article focuses on Paweł Pawlikowski’s 2013 film Ida, analysing how the formal and aesthetic aspects question silent witnesses about the difficult past using pictures as a useful testifier. In the context of Poland’s national memory, i",https://doi.org/10.12797/politeja.19.2022.78.06
9,academic,Quart.,Wacław M. Osadnik,2020,en,verdict,Counterinterpretation in film criticism: The case of “Ida” by Paweł Pawlikowski,The objective of this text is to discuss a lack,The objective of this text is to discuss a lack,true,The objective of this text is to discuss a lack of interest in the religious context of the award-winning film Ida by Pawel Pawlikowski. Moral choices within the film prove to be of greater concern to the director than political questions. ,https://doi.org/10.19195/quart.2020.4.78074
10,academic,Ankara Üniversitesi İlahiyat Fakültesi Dergisi,Fatma Kenevir,2023,tr,title,Ida’nın Dinî Bağlılık Tercihinin Dindarlık Kuramları Açısından İncelenmesi,Ida’nın Dinî Bağlılık Tercihinin Dindarlık Kuramları Açısından İncelenmesi,,false,"Dindarlık olgusunu anlamaya ve açıklamaya yönelik yaklaşımların başında gelen ‘yoksunluk’, ‘rasyonel tercih’, ‘sosyalizasyon’, ‘etnik köken ve din’ ile ‘varoluşsal güvenlik’ gibi teoriler dindarlığı genellikle tek bir unsurla açıklama eğili",https://doi.org/10.33227/auifd.1353163
11,academic,Narracje o Zagładzie,Katarzyna Mąka‐Malatyńska,2015,pl,verdict,Opowiedzieć niewidzialne. Próba analizy filmu &lt;i&gt;Ida&lt;/i&gt; Pawła Pawlikowskiego,To tell about the invisible.,To tell about the invisible.,true,"To tell about the invisible. An attempt at analysing the movie Ida by Paweł Pawlikowski The present text is the first attempt in Poland at analysing the movie by Paweł Pawlikowski, Ida. The author’s premise is that the cinematographic means",https://doi.org/10.31261/noz.2015.01.15
12,academic,Kulʹturologìčna dumka,Slawomir Platek,2021,en,verdict,Ida and the Cold War as (neo)modern movies,The subject of the article is the analysis of the,The subject of the article is the analysis of the,true,The subject of the article is the analysis of the latest films by Paweł Pawlikowski in terms of their affiliation to trends in contemporary cinematography. Ida and Cold War are sometimes described as the artistic heritage of the Polish Film,https://doi.org/10.37627/2311-9489-21-2022-1.51-68
13,academic,Kwartalnik Filmowy,Sheila Skaff,2016,pl,verdict,"„Ida” w Ameryce. Estetyka, tożsamość i artyzm w antyfilmie",W lutym 2015 r.,W lutym 2015 r.,true,"W lutym 2015 r. polski reżyser Paweł Pawlikowski odebrał Oscara za swój refleksyjny film o ciszy i kontemplacji, a przyjmując statuetkę – przed rozemocjonowaną hollywoodzką widownią i 36 milionami widzów przed telewizorami – błyskotliwie na",https://doi.org/10.36744/kf.2178
