id,type,outlet,critic,year,language,tier,title,comment,verdict_le10,verbatim_verified,dek_lead,url
1,criticism,Asian Movie Pulse,,1983,en,title,Film Review: The Ballad Of Narayama (1983) by Shohei Imamura,Film Review: The Ballad Of Narayama (1983) by Shohei Imamura,,false,,https://asianmoviepulse.com/2020/11/film-review-the-ballad-of-narayama-1983-by-shohei-imamura/
2,criticism,RogerEbert.com,,1983,en,title,The Ballad of Narayama movie review,The Ballad of Narayama movie review,,false,,https://www.rogerebert.com/reviews/the-ballad-of-narayama-1983
3,criticism,EasternKicks,,1983,en,title,Film review: The Ballad of Narayama,Film review: The Ballad of Narayama,,false,,https://www.easternkicks.com/reviews/the-ballad-of-narayama/
4,criticism,Time Out,,1983,en,title,"The Ballad of Narayama 1983, directed by Shohei Imamura | Film review","The Ballad of Narayama 1983, directed by Shohei Imamura | Film review",,false,"A remote village in the foothills of a great mountain, sometime in the past. A widow is approaching her 70th birthday - the age at which village law says she mu",https://www.timeout.com/movies/the-ballad-of-narayama
5,criticism,Slant Magazine,,1983,en,title,Review: The Ballad of Narayama,Review: The Ballad of Narayama,,false,,https://www.slantmagazine.com/film/the-ballad-of-narayama/
6,criticism,The New York Times,,1983,en,title,NEW DIRECTORS/ NEW FILMS; 'BALLAD OF NARAYAMA' BY SHOHEI IMAMURA,NEW DIRECTORS/ NEW FILMS; 'BALLAD OF NARAYAMA' BY SHOHEI IMAMURA,,false,,https://www.nytimes.com/1984/04/09/movies/new-directors-new-films-ballad-of-narayama-by-shohei-imamura.html
7,criticism,Sight and Sound,,1983,en,title,The ending of The Ballad of Narayama,The ending of The Ballad of Narayama,,false,"Death is not the end in Imamura Shôhei’s bleak tale of a village community’s struggle for survival, just another stage in the cycle of life",https://www.bfi.org.uk/sight-and-sound/features/ending-ballad-narayama
8,criticism,Senses of Cinema,,1983,en,title,Ballad of Narayama,Ballad of Narayama,,false,,https://www.sensesofcinema.com/2013/cteq/ballad-of-narayama/
9,academic,International Journal of Korean History,Chung-kang Kim,2021,en,verdict,Vicious Desire: The Insect Woman of Kim Kiyoung and Imamura Shōhei,Let's begin with some images from the films of Kim,Let's begin with some images from the films of Kim,true,"Let's begin with some images from the films of Kim Kiyoung and Imamura Shhei (1926Shhei ( -2006)): animals such as rats, cats, squirrels, pigs, insects, and mostly images of women. [Image 1] As these images show, Kim Kiyoung and Imamura Shh",https://doi.org/10.22372/ijkh.2021.26.1.305
10,academic,Journal of Japanese Studies,Isolde Standish,2018,en,verdict,Women in Japanese Cinema: Alternative Perspectives by Tamae K. Prindle,Gimu to engi (Duty and pretense,Gimu to engi (Duty and pretense,true,"Reviewed by: Women in Japanese Cinema: Alternative Perspectives by Tamae K. Prindle Isolde Standish (bio) Women in Japanese Cinema: Alternative Perspectives. By Tamae K. Prindle. MerwinAsia, Portland ME, 2016. viii, 497 pages. $75.00, cloth",https://doi.org/10.1353/jjs.2018.0060
