id,type,outlet,critic,year,language,tier,title,comment,verdict_le10,verbatim_verified,dek_lead,url
1,criticism,The Guardian,,2014,en,title,Winter Sleep review – sharply observed tragicomedy | Winter Sleep,Winter Sleep review – sharply observed tragicomedy | Winter Sleep,,false,"This chilly but touching Palme d’Or winner takes place against a mesmerisingly vast backdrop – in signature style from the Once Upon a Time in Anatolia director, writes Peter Bradshaw",https://www.theguardian.com/film/2014/nov/20/winter-sleep-review-nuri-bilge-ceylan
2,criticism,RogerEbert.com,,2014,en,title,Winter Sleep movie review & film summary,Winter Sleep movie review & film summary,,false,,https://www.rogerebert.com/reviews/winter-sleep-2014
3,criticism,In Review Online,,2014,en,title,Winter Sleep | Nuri Bilge Ceylan,Winter Sleep | Nuri Bilge Ceylan,,false,"Nuri Bilge Ceylan’s Winter Sleep opens on the smoldering aftermath of a brushfire, gray smoke rising off the charred earth as the wind blows and birds coo Winter Sleep | Nuri Bilge Ceylan",https://inreviewonline.com/2014/12/19/winter-sleep/
4,criticism,The Playlist,,2014,en,title,"Review: Nuri Bilge Ceylan's Novelistic, But Dull 'Winter Sleep'","Review: Nuri Bilge Ceylan's Novelistic, But Dull 'Winter Sleep'",,false,,https://theplaylist.net/review-nuri-bilge-ceylans-novelistic-but-dull-winter-sleep-20141217/
5,criticism,Vulture,,2014,en,title,"Nuri Bilge Ceylan’s Winter Sleep Is Lovely, Perplexing, and Well Worth Your Time","Nuri Bilge Ceylan’s Winter Sleep Is Lovely, Perplexing, and Well Worth Your Time",,false,"Starring Haluk Bilginer, one of Turkey&rsquo;s few internationally known actors.",https://www.vulture.com/2014/12/movie-review-winter-sleep.html
6,criticism,Variety,,2014,en,title,'Winter Sleep' Review: Nuri Bilge Ceylan's Latest Triumph,'Winter Sleep' Review: Nuri Bilge Ceylan's Latest Triumph,,false,Don't be daunted by the running time: This character study from Turkish master Nuri Bilge Ceylan is a richly engrossing experience.,https://variety.com/2014/film/reviews/cannes-film-review-winter-sleep-1201184094/
7,criticism,IndieWire,,2014,en,title,"Review: Nuri Bilge Ceylan’s Novelistic, But Dull ‘Winter Sleep’","Review: Nuri Bilge Ceylan’s Novelistic, But Dull ‘Winter Sleep’",,false,,https://www.indiewire.com/criticism/culture/review-nuri-bilge-ceylans-novelistic-but-dull-winter-sleep-269070/
8,criticism,Time Out,,2014,en,title,"Winter Sleep 2014, directed by Nuri Bilge Ceylan | Film review","Winter Sleep 2014, directed by Nuri Bilge Ceylan | Film review",,false,"Like his last film ‘Once Upon a Time in Anatolia’, Nuri Bilge Ceylan’s ‘Winter Sleep’ unfolds before the epic backdrop of Turkey’s rural steppes, an already unf",https://www.timeout.com/movies/winter-sleep
9,academic,CINEJ Cinema Journal,Funda Kara,2018,en,verdict,Women in the Cinema of Nuri Bilge Ceylan,This study in general examines the representation of women in,This study in general examines the representation of women in,true,"This study in general examines the representation of women in Turkish cinema with a retrospective evaluation and tries to understand the present condition, specifically it examines the ways in which women were treated in the films of Nuri B",https://doi.org/10.5195/cinej.2017.186
10,academic,Adaptation,Shaj Mathew,2019,en,verdict,"Traveling Realisms, Shared Modernities, Eternal Moods: The Uses of Anton Chekhov in Nuri Bilge Ceylan’s<i>Winter Sleep</i>",Nuri Bilge Ceylan’s Turkish drama Kış Uykusu/Winter Sleep (2014) owes,Nuri Bilge Ceylan’s Turkish drama Kış Uykusu/Winter Sleep (2014) owes,true,Nuri Bilge Ceylan’s Turkish drama Kış Uykusu/Winter Sleep (2014) owes an enormous debt to nineteenth-century Russian realism. This article explains why Ceylan looks to Russia through an analysis of the film’s form and the historical context,https://doi.org/10.1093/adaptation/apz008
11,academic,CINEJ Cinema Journal,Aslı Daldal,2018,en,verdict,Ceylan's Winter Sleep: From Ambiguity to Nothingness,Nuri Bilge Ceylan is a puzzling filmmaker who started his,Nuri Bilge Ceylan is a puzzling filmmaker who started his,true,Nuri Bilge Ceylan is a puzzling filmmaker who started his career as a photographer and initially made films with a “photographic” spirit. But from his first films known as the Trilogy of Province to his award winning latest feature Winter S,https://doi.org/10.5195/cinej.2017.180
12,academic,Scholarship,,2024,en,title,"Winter Sleep (Nuri Bilge Ceylan, 2014)","Winter Sleep (Nuri Bilge Ceylan, 2014)",,false,,https://doi.org/10.5040/9781501366178.0014
13,academic,CINEJ Cinema Journal,Zafer Parlak,2018,en,verdict,Presentation of Nuri Bilge Ceylan and his Cinema in the Turkish Media,Nuri Bilge Ceylan is the most famous Turkish film director,Nuri Bilge Ceylan is the most famous Turkish film director,true,"Nuri Bilge Ceylan is the most famous Turkish film director with numerous international prizes. However, Ceylan’s presentation by the Turkish media is far from emphasizing his success, talent, creativity, style, technique, and cinematography",https://doi.org/10.5195/cinej.2018.185
14,academic,Trakya Üniversitesi Edebiyat Fakültesi Dergisi,Elif Gezgin,2019,en,verdict,ON BOREDOM IN WINTER SLEEP,"In this work, we focus on the film Winter Sleep","In this work, we focus on the film Winter Sleep",true,"In this work, we focus on the film Winter Sleep (2014) by Nuri Bilge Ceylan, whose works place special emphasis on various aspects of boredom. As one of the main figures in slow cinema, Ceylan, in this influential work of art, enable us to ",https://doi.org/10.33207/trkede.597885
15,academic,Sanat Tarihi Yıllığı / Journal of Art History,Türker Körük,2024,tr,verdict,Nuri Bilge Ceylan’s Frames as a Pastiche: Caspar David Friedrich and Ilya Glazunov,"In today’s postmodern period, the concept of intertextuality has emerged","In today’s postmodern period, the concept of intertextuality has emerged",true,"In today’s postmodern period, the concept of intertextuality has emerged and been evaluated not only in written and oral texts but also in many other art forms, as opposed to the ancient Russian formers and theorists. The concept has taken ",https://doi.org/10.26650/sty.2024.1385003
16,academic,Religion and Society,Bülent Diken,2017,en,title,"Money, Religion, and Symbolic Exchange in Winter Sleep","Money, Religion, and Symbolic Exchange in Winter Sleep",,false,"Winter Sleep is the latest film from Nuri Bilge Ceylan, a Turkish director and screenwriter who has received international acclaim. For the purpose of social and cultural analysis, this article critically focuses on the film’s key themes an",https://doi.org/10.3167/arrs.2017.080106
