name,homepage_url,language,trust_tier,robots_ai_stance,ingest_recommendation
RogerEbert.com,https://www.rogerebert.com,en,1,unknown,permission-needed
IndieWire,https://www.indiewire.com,en,1,unknown,permission-needed
Slant Magazine,https://www.slantmagazine.com,en,1,unknown,permission-needed
The Guardian,https://www.theguardian.com,en,1,unknown,permission-needed
Variety,https://variety.com,en,1,unknown,permission-needed
The Hollywood Reporter,https://www.hollywoodreporter.com,en,2,unknown,permission-needed
Vulture,https://www.vulture.com,en,2,unknown,permission-needed
The A.V. Club,https://www.avclub.com,en,2,unknown,permission-needed
Time Out,https://www.timeout.com,en,2,unknown,permission-needed
Screen Daily,https://www.screendaily.com,en,1,unknown,permission-needed
Empire,https://www.empireonline.com,en,2,unknown,permission-needed
The Film Stage,https://thefilmstage.com,en,2,unknown,permission-needed
The Playlist,https://theplaylist.net,en,2,unknown,permission-needed
The New York Times,https://www.nytimes.com,en,1,unknown,permission-needed
The Telegraph,https://www.telegraph.co.uk,en,2,unknown,permission-needed
Los Angeles Times,https://www.latimes.com,en,2,unknown,permission-needed
The Washington Post,https://www.washingtonpost.com,en,2,unknown,permission-needed
The New Yorker,https://www.newyorker.com,en,1,unknown,permission-needed
The Atlantic,https://www.theatlantic.com,en,2,unknown,permission-needed
BBC Culture,https://www.bbc.com,en,2,unknown,permission-needed
Rolling Stone,https://www.rollingstone.com,en,2,unknown,permission-needed
Paste Magazine,https://www.pastemagazine.com,en,3,unknown,permission-needed
Film School Rejects,https://filmschoolrejects.com,en,3,unknown,permission-needed
Little White Lies,https://lwlies.com,en,1,unknown,permission-needed
Seventh Row,https://seventh-row.com,en,2,unknown,permission-needed
Asian Movie Pulse,https://asianmoviepulse.com,en,2,unknown,permission-needed
EasternKicks,https://www.easternkicks.com,en,3,unknown,permission-needed
Cahiers du Cinéma,https://www.cahiersducinema.com,fr,1,unknown,permission-needed
Le Monde,https://www.lemonde.fr,fr,1,unknown,permission-needed
Libération,https://www.liberation.fr,fr,2,unknown,permission-needed
El País,https://elpais.com,es,1,unknown,permission-needed
La Repubblica,https://www.repubblica.it,it,2,unknown,permission-needed
Der Spiegel,https://www.spiegel.de,de,2,unknown,permission-needed
