id,type,outlet,critic,year,language,comment_or_title,url,note
1,criticism,Screen Daily,Wendy Ide,2026,en,"‘The Day She Returns’ review: Hong Sangsoo’s slight, ponderous character study stars Song Sunmi",https://www.screendaily.com/reviews/the-day-she-returns-review-hong-sangsoos-slight-ponderous-character-study-stars-song-sunmi/5214062.article,
2,criticism,The Film Stage,Leonardo Goi,2026,en,Berlinale Review: The Day She Returns Is One of Hong Sangsoo’s Most Elemental and Revelatory Gems,https://thefilmstage.com/berlinale-review-the-day-she-returns-is-one-of-hong-sangsoos-most-elemental-and-revelatory-gems/,
3,criticism,International Cinephile Society,unknown,2026,en,Berlinale 2026 review: The Day She Returns (Hong Sang-soo),https://icsfilm.org/festivals/berlin/2026-berlin/berlinale-2026-review-the-day-she-returns-hong-sang-soo/,
4,criticism,Cineverse Magazine,Bianca Magni,2026,en,The Day She Returns review: Hong Sangsoo’s quiet study of repetition and renewal,https://www.cineversemagazine.com/the-day-she-returns-review-hong-sangsoos-quiet-study-of-repetition-and-renewal/,
5,criticism,FilmInk,unknown,2026,en,The Day She Returns,https://www.filmink.com.au/reviews/the-day-she-returns/,
6,criticism,Loud and Clear,Rino Lu,2026,en,The Day She Returns (2026) Film Review,https://loudandclearreviews.com/the-day-she-returns-review/,
7,criticism,Asian Movie Pulse,Tobiasz Dunin,2026,en,The Day She Returns (2026) by Hong Sang-soo Film Review,https://asianmoviepulse.com/2026/02/the-day-she-returns-2026/,
8,criticism,Micropsia,Diego Lerer,2026,en,‘The Day She Returns’ Berlinale Review: Truth in Performance,https://www.micropsiacine.com/2026/02/the-day-she-returns-berlinale-review-truth-in-performance/,
9,criticism,Journey Into Cinema,Redmond Bacon,2026,en,The Day She Returns by Hong Sangsoo Review,https://journeyintocinema.com/the-day-she-returns-review/,
10,criticism,The Korea Times,unknown,2026,en,[REVIEW] Hong Sang-soo captures actor’s quiet day in ‘The Day She Returns’,https://www.koreatimes.co.kr/entertainment/films/20260429/hong-sang-soo-captures-actor-s-quiet-day-in-the-day-she-returns,
