id,type,outlet,critic,year,language,tier,title,comment,verdict_le10,verbatim_verified,dek_lead,url
1,criticism,Screen Daily,Wendy Ide,2026,en,verdict,"‘The Day She Returns’ review: Hong Sangsoo’s slight, ponderous character study stars Song Sunmi",Sunmi’s expressive performance lifts the director’s slow-burning Berlin Panorama title,Sunmi’s expressive performance lifts the director’s slow-burning Berlin Panorama title,true,Sunmi’s expressive performance lifts the director’s slow-burning Berlin Panorama title,https://www.screendaily.com/reviews/the-day-she-returns-review-hong-sangsoos-slight-ponderous-character-study-stars-song-sunmi/5214062.article
2,criticism,The Film Stage,Leonardo Goi,2026,en,title,Berlinale Review: The Day She Returns Is One of Hong Sangsoo’s Most Elemental and Revelatory Gems,Berlinale Review: The Day She Returns Is One of Hong Sangsoo’s Most Elemental and Revelatory Gems,,false,"Sooner or later, conversations around the ever-growing oeuvre of Hong Sangsoo all land on the same word: repetition. That's kind of inevitable: few could ever dream of putting out new stuff at the Korean’s pace, his filmography—now spanning",https://thefilmstage.com/berlinale-review-the-day-she-returns-is-one-of-hong-sangsoos-most-elemental-and-revelatory-gems/
3,criticism,International Cinephile Society,unknown,2026,en,title,Berlinale 2026 review: The Day She Returns (Hong Sang-soo),Berlinale 2026 review: The Day She Returns (Hong Sang-soo),,false,"""For those who seek cinema in the fleeting moments of life, The Day She Returns is a treat."" Hong Sang-soo returns once again to his familiar,",https://icsfilm.org/festivals/berlin/2026-berlin/berlinale-2026-review-the-day-she-returns-hong-sang-soo/
4,criticism,Cineverse Magazine,Bianca Magni,2026,en,title,The Day She Returns review: Hong Sangsoo’s quiet study of repetition and renewal,The Day She Returns review: Hong Sangsoo’s quiet study of repetition and renewal,,false,"A compact, probing film by Hong Sangsoo that uses interviews and rehearsal to examine creativity and authenticity in performance",https://www.cineversemagazine.com/the-day-she-returns-review-hong-sangsoos-quiet-study-of-repetition-and-renewal/
5,criticism,FilmInk,unknown,2026,en,verdict,The Day She Returns,a profound reflection on memory,a profound reflection on memory,true,"… a profound reflection on memory, self-representation, and the violence of being interpreted by others.",https://www.filmink.com.au/reviews/the-day-she-returns/
6,criticism,Loud and Clear,Rino Lu,2026,en,verdict,The Day She Returns (2026) Film Review,balancing gentle humour with a quietly didactic tone.,balancing gentle humour with a quietly didactic tone.,true,"Hong Sangsoo’s The Day She Returns blurs performance and memory, balancing gentle humour with a quietly didactic tone.",https://loudandclearreviews.com/the-day-she-returns-review/
7,criticism,Asian Movie Pulse,Tobiasz Dunin,2026,en,title,The Day She Returns (2026) by Hong Sang-soo Film Review,The Day She Returns (2026) by Hong Sang-soo Film Review,,false,"""If it's about the film, you can ask me anything you want."" The Day She Returns (2026) by Hong Sang-soo Film Review",https://asianmoviepulse.com/2026/02/the-day-she-returns-2026/
8,criticism,Micropsia,Diego Lerer,2026,en,title,‘The Day She Returns’ Berlinale Review: Truth in Performance,‘The Day She Returns’ Berlinale Review: Truth in Performance,,false,An actress returning to film after a twelve-year absence sits through a series of interviews that gradually reveal details about her life.,https://www.micropsiacine.com/2026/02/the-day-she-returns-berlinale-review-truth-in-performance/
9,criticism,Journey Into Cinema,Redmond Bacon,2026,en,verdict,The Day She Returns by Hong Sangsoo Review,is even more minimalist than usual,is even more minimalist than usual,true,"Hong Sangsoo’s latest film, The Day She Returns, is even more minimalist than usual, using just a handful of scenes to create a spare poem of differences.",https://journeyintocinema.com/the-day-she-returns-review/
10,criticism,The Korea Times,unknown,2026,en,title,[REVIEW] Hong Sang-soo captures actor’s quiet day in ‘The Day She Returns’,[REVIEW] Hong Sang-soo captures actor’s quiet day in ‘The Day She Returns’,,false,,https://www.koreatimes.co.kr/entertainment/films/20260429/hong-sang-soo-captures-actor-s-quiet-day-in-the-day-she-returns
