Film_TMDB_ID,Film_Title,Film_Director_Name,tmdb_title,tmdb_year,tmdb_director,confidence,status,note
389,12 Angry Men,Sidney Lumet,12 Angry Men,1957,Sidney Lumet,given,new,tmdb_id supplied
62,2001: A Space Odyssey,Stanley Kubrick,2001: A Space Odyssey,1968,Stanley Kubrick,given,exists,tmdb_id supplied
422,8 1/2,Federico Fellini,8½,1963,Federico Fellini,given,new,tmdb_id supplied
185,A Clockwork Orange,Stanley Kubrick,A Clockwork Orange,1971,Stanley Kubrick,given,new,tmdb_id supplied
895,Andrei Rublev,Andrei Tarkovsky,Andrei Rublev,1966,Andrei Tarkovsky,given,new,tmdb_id supplied
28,Apocalypse Now,Francis Ford Coppola,Apocalypse Now,1979,Francis Ford Coppola,given,new,tmdb_id supplied
20108,Au Hasard Balthazar,Robert Bresson,Au Hasard Balthazar,1966,Robert Bresson,given,new,tmdb_id supplied
3175,Barry Lyndon,Stanley Kubrick,Barry Lyndon,1975,Stanley Kubrick,given,new,tmdb_id supplied
643,Battleship Potemkin,Sergei Eisenstein,Battleship Potemkin,1925,Sergei Eisenstein,given,new,tmdb_id supplied
5156,Bicycle Thieves,Vittorio De Sica,Bicycle Thieves,1948,Vittorio De Sica,given,new,tmdb_id supplied
269,Breathless,Jean-Luc Godard,Breathless,1960,Jean-Luc Godard,given,new,tmdb_id supplied
289,Casablanca,Michael Curtiz,Casablanca,1943,Michael Curtiz,given,new,tmdb_id supplied
829,Chinatown,Roman Polanski,Chinatown,1974,Roman Polanski,given,new,tmdb_id supplied
15,Citizen Kane,Orson Welles,Citizen Kane,1941,Orson Welles,given,new,tmdb_id supplied
901,City Lights,Charlie Chaplin,City Lights,1931,Charlie Chaplin,given,new,tmdb_id supplied
996,Double Indemnity,Billy Wilder,Double Indemnity,1944,Billy Wilder,given,new,tmdb_id supplied
935,Dr. Strangelove,Stanley Kubrick,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,Stanley Kubrick,given,new,tmdb_id supplied
3782,Ikiru,Akira Kurosawa,Ikiru,1952,Akira Kurosawa,given,new,tmdb_id supplied
5165,L'Avventura,Michelangelo Antonioni,L'Avventura,1960,Michelangelo Antonioni,given,new,tmdb_id supplied
439,La Dolce Vita,Federico Fellini,La Dolce Vita,1960,Federico Fellini,given,new,tmdb_id supplied
947,Lawrence of Arabia,David Lean,Lawrence of Arabia,1962,David Lean,given,new,tmdb_id supplied
832,M,Fritz Lang,M,1931,Fritz Lang,given,new,tmdb_id supplied
19,Metropolis,Fritz Lang,Metropolis,1927,Fritz Lang,given,new,tmdb_id supplied
1396,Mirror,Andrei Tarkovsky,Mirror,1975,Andrei Tarkovsky,given,new,tmdb_id supplied
3082,Modern Times,Charlie Chaplin,Modern Times,1936,Charlie Chaplin,given,new,tmdb_id supplied
213,North by Northwest,Alfred Hitchcock,North by Northwest,1959,Alfred Hitchcock,given,new,tmdb_id supplied
653,Nosferatu,F.W. Murnau,Nosferatu,1922,F. W. Murnau,given,new,tmdb_id supplied
5801,Pather Panchali,Satyajit Ray,Pather Panchali,1955,Satyajit Ray,given,new,tmdb_id supplied
797,Persona,Ingmar Bergman,Persona,1966,Ingmar Bergman,given,exists,tmdb_id supplied
690,Pickpocket,Robert Bresson,Pickpocket,1959,Robert Bresson,given,new,tmdb_id supplied
539,Psycho,Alfred Hitchcock,Psycho,1960,Alfred Hitchcock,given,new,tmdb_id supplied
548,Rashomon,Akira Kurosawa,Rashomon,1950,Akira Kurosawa,given,new,tmdb_id supplied
567,Rear Window,Alfred Hitchcock,Rear Window,1954,Alfred Hitchcock,given,new,tmdb_id supplied
346,Seven Samurai,Akira Kurosawa,Seven Samurai,1954,Akira Kurosawa,given,new,tmdb_id supplied
872,Singin' in the Rain,Stanley Donen,Singin' in the Rain,1952,"Gene Kelly, Stanley Donen",given,new,tmdb_id supplied
593,Solaris,Andrei Tarkovsky,Solaris,1972,Andrei Tarkovsky,given,new,tmdb_id supplied
239,Some Like It Hot,Billy Wilder,Some Like It Hot,1959,Billy Wilder,given,new,tmdb_id supplied
1398,Stalker,Andrei Tarkovsky,Stalker,1979,Andrei Tarkovsky,given,exists,tmdb_id supplied
631,Sunrise,F.W. Murnau,Sunrise: A Song of Two Humans,1927,F. W. Murnau,given,new,tmdb_id supplied
599,Sunset Boulevard,Billy Wilder,Sunset Boulevard,1950,Billy Wilder,given,new,tmdb_id supplied
103,Taxi Driver,Martin Scorsese,Taxi Driver,1976,Martin Scorsese,given,new,tmdb_id supplied
147,The 400 Blows,Francois Truffaut,The 400 Blows,1959,François Truffaut,given,new,tmdb_id supplied
17295,The Battle of Algiers,Gillo Pontecorvo,The Battle of Algiers,1966,Gillo Pontecorvo,given,new,tmdb_id supplied
234,The Cabinet of Dr. Caligari,Robert Wiene,The Cabinet of Dr. Caligari,1920,Robert Wiene,given,new,tmdb_id supplied
8416,The Conformist,Bernardo Bertolucci,The Conformist,1971,Bernardo Bertolucci,given,new,tmdb_id supplied
780,The Passion of Joan of Arc,Carl Theodor Dreyer,The Passion of Joan of Arc,1928,Carl Theodor Dreyer,given,new,tmdb_id supplied
776,The Rules of the Game,Jean Renoir,The Rules of the Game,1939,Jean Renoir,given,new,tmdb_id supplied
3114,The Searchers,John Ford,The Searchers,1956,John Ford,given,new,tmdb_id supplied
490,The Seventh Seal,Ingmar Bergman,The Seventh Seal,1957,Ingmar Bergman,given,new,tmdb_id supplied
1092,The Third Man,Carol Reed,The Third Man,1949,Carol Reed,given,new,tmdb_id supplied
45706,Tokyo Drifter,Seijun Suzuki,Tokyo Drifter,1966,Seijun Suzuki,given,new,tmdb_id supplied
18148,Tokyo Story,Yasujiro Ozu,Tokyo Story,1953,Yasujirō Ozu,given,new,tmdb_id supplied
1480,Touch of Evil,Orson Welles,Touch of Evil,1958,Orson Welles,given,new,tmdb_id supplied
426,Vertigo,Alfred Hitchcock,Vertigo,1958,Alfred Hitchcock,given,new,tmdb_id supplied
16672,Woman in the Dunes,Hiroshi Teshigahara,Woman in the Dunes,1964,Hiroshi Teshigahara,given,new,tmdb_id supplied
927547,All We Imagine as Light,Payal Kapadia,All We Imagine as Light,2024,Payal Kapadia,given,new,tmdb_id supplied
994108,All of Us Strangers,Andrew Haigh,All of Us Strangers,2023,Andrew Haigh,given,new,tmdb_id supplied
747188,Asteroid City,Wes Anderson,Asteroid City,2023,Wes Anderson,given,new,tmdb_id supplied
685691,Bardo,Alejandro Gonzalez Inarritu,"BARDO, False Chronicle of a Handful of Truths",2022,Alejandro G. Iñárritu,given,new,tmdb_id supplied
798286,Beau Is Afraid,Ari Aster,Beau Is Afraid,2023,Ari Aster,given,new,tmdb_id supplied
736732,Broker,Hirokazu Kore-eda,Broker,2022,Hirokazu Kore-eda,given,new,tmdb_id supplied
901563,Close,Lukas Dhont,Close,2022,Lukas Dhont,given,new,tmdb_id supplied
974576,Conclave,Edward Berger,Conclave,2024,Edward Berger,given,new,tmdb_id supplied
705996,Decision to Leave,Park Chan-wook,Decision to Leave,2022,Park Chan-wook,given,new,tmdb_id supplied
785398,EO,Jerzy Skolimowski,EO,2022,Jerzy Skolimowski,given,new,tmdb_id supplied
991708,El Conde,Pablo Larrain,El Conde,2023,Pablo Larraín,given,new,tmdb_id supplied
1156125,Evil Does Not Exist,Ryusuke Hamaguchi,Evil Does Not Exist,2023,Ryusuke Hamaguchi,given,new,tmdb_id supplied
986280,Fallen Leaves,Aki Kaurismaki,Fallen Leaves,2023,Aki Kaurismäki,given,new,tmdb_id supplied
