rank,title,year,V_value,C_cost,R_risk,U_net,S_sharpe,quadrant,V_sd,R_sd
1,Seven Samurai,1954,85.3,47.5,8.8,76.5,4.01,①高가치·低위험,0.4,0.9
2,City Lights,1931,82.1,43.8,8.7,73.4,3.7,①高가치·低위험,0.8,0.2
3,In the Mood for Love,2000,84.8,54.0,13.4,71.4,2.6,①高가치·低위험,0.7,0.7
4,The Godfather,1972,81.9,44.7,10.7,71.2,2.99,①高가치·低위험,0.4,0.2
5,Poetry,2010,84.1,47.8,14.6,69.5,2.33,①高가치·低위험,0.5,0.0
6,A Separation,2011,80.5,44.3,12.2,68.3,2.5,①高가치·低위험,0.5,0.2
7,Close-Up,1990,84.3,66.6,17.3,67.0,1.98,①高가치·低위험,1.0,0.2
8,Spirited Away,2001,77.5,47.2,12.7,64.9,2.17,①高가치·低위험,1.2,0.2
9,2001: A Space Odyssey,1968,86.5,64.8,22.7,63.9,1.61,①高가치·低위험,0.2,1.2
10,Moonlight,2016,77.7,43.5,17.1,60.6,1.62,①高가치·低위험,0.8,1.1
11,Portrait of a Lady on Fire,2019,77.7,46.8,18.1,59.7,1.54,①高가치·低위험,0.7,1.0
12,12 Angry Men,1957,72.8,33.2,15.7,57.1,1.45,①高가치·低위험,0.2,0.2
13,Jeanne Dielman,1975,83.3,73.5,27.6,55.7,1.21,①高가치·低위험,0.4,0.8
14,Mulholland Drive,2001,81.3,64.1,26.4,54.9,1.19,①高가치·低위험,1.0,1.5
15,Parasite,2019,74.1,43.2,22.8,51.3,1.06,①高가치·低위험,0.5,1.4
16,"Synecdoche, New York",2008,80.1,59.1,33.0,47.1,0.91,②高가치·高위험,1.2,0.4
17,The Tree of Life,2011,81.1,62.1,37.4,43.7,0.83,②高가치·高위험,1.0,1.2
18,Holy Motors,2012,75.0,66.0,32.9,42.1,0.76,②高가치·高위험,0.5,1.4
19,Uncut Gems,2019,59.2,43.5,29.3,29.9,0.31,④低가치·高위험,0.6,0.9
20,Enemy,2013,61.8,51.2,35.0,26.8,0.34,②高가치·高위험,0.0,1.0
21,Ocean's Eleven,2001,45.3,26.8,22.1,23.2,-0.21,③低가치·低위험,0.9,0.2
22,Knives Out,2019,46.9,28.8,26.9,19.9,-0.12,③低가치·低위험,2.8,0.2
23,La La Land,2016,55.1,30.2,37.1,18.0,0.14,④低가치·高위험,0.2,1.5
24,Batman Returns,1992,50.5,35.8,34.0,16.5,0.01,④低가치·高위험,0.6,0.3
25,John Wick,2014,43.5,27.8,27.0,16.5,-0.24,③低가치·低위험,2.4,1.8
26,The Fountain,2006,57.8,49.2,45.1,12.7,0.17,④低가치·高위험,1.2,0.6
27,Vox Lux,2018,55.9,49.0,43.6,12.3,0.13,④低가치·高위험,1.7,1.7
28,Antichrist,2009,63.2,63.8,53.3,9.9,0.25,②高가치·高위험,0.3,0.7
29,Top Gun: Maverick,2022,41.7,22.3,32.4,9.3,-0.26,④低가치·高위험,1.0,1.1
30,Beau Is Afraid,2023,57.3,55.8,49.3,8.1,0.15,④低가치·高위험,0.7,0.5
31,Spring Breakers,2012,56.1,52.7,48.7,7.4,0.13,④低가치·高위험,2.2,1.9
32,The Counselor,2013,52.7,43.2,46.3,6.3,0.06,④低가치·高위험,0.8,1.3
33,Cloud Atlas,2012,53.1,45.6,50.3,2.7,0.06,④低가치·高위험,1.1,0.5
34,Avatar: The Way of Water,2022,43.5,28.8,40.9,2.7,-0.16,④低가치·高위험,0.7,2.2
35,Babylon,2022,52.6,45.7,51.2,1.4,0.05,④低가치·高위험,1.1,1.1
36,Climax,2018,51.1,57.7,50.3,0.7,0.02,④低가치·高위험,2.1,1.2
37,The Intouchables,2011,41.5,21.7,41.7,-0.3,-0.2,④低가치·高위험,1.5,1.3
38,Crazy Rich Asians,2018,33.7,20.7,35.9,-2.1,-0.45,④低가치·高위험,1.6,1.0
39,Star Wars: The Last Jedi,2017,44.8,33.8,49.9,-5.1,-0.1,④低가치·高위험,0.6,2.0
40,Ant-Man,2015,28.6,20.8,35.1,-6.5,-0.61,④低가치·高위험,1.0,0.9
41,Joker,2019,48.3,40.0,56.3,-8.0,-0.03,④低가치·高위험,1.0,0.9
42,Free Guy,2021,30.6,19.9,40.5,-9.9,-0.48,④低가치·高위험,2.0,0.5
43,The Hangover,2009,25.5,16.5,38.1,-12.6,-0.64,④低가치·高위험,2.4,1.6
44,Southland Tales,2006,42.6,54.1,56.3,-13.7,-0.13,④低가치·高위험,0.6,0.1
45,Mamma Mia!,2008,25.3,15.0,41.1,-15.8,-0.6,④低가치·高위험,2.0,1.5
46,Now You See Me,2013,27.3,18.6,44.3,-17.1,-0.51,④低가치·高위험,1.2,0.1
47,Don't Look Up,2021,35.1,25.7,56.7,-21.7,-0.26,④低가치·高위험,0.7,0.4
48,Jurassic World,2015,21.5,20.9,50.9,-29.3,-0.56,④低가치·高위험,1.3,1.5
49,Sucker Punch,2011,28.5,35.4,62.5,-34.0,-0.34,④低가치·高위험,0.8,2.6
50,Suicide Squad,2016,17.7,22.8,61.5,-43.8,-0.52,④低가치·高위험,1.3,1.9
