fq_concept,covered,match
abjection,Y,exact
Administrative massacre,N,
African futurity,N,
analog horror,N,
animality,N,
antipatriarchal worldmaking,N,
auteurism privileging text over context,N,
autotheory,N,
bad infinity,N,
banality of evil,Y,fuzzy
biopolitical ethics,N,
biopolitics,Y,exact
Blitz Spirit,N,
Blood and soil,N,
blood and soil (Blut und Boden),N,
Body genres,Y,exact
body horror,N,
Buddhist mode of reflexivity,N,
carceral feminism,N,
Censor script,N,
Cinema of interruption,N,
cinema of interruptions,N,
Cinema of poetry,N,
cinephilia,N,
cinephilia as infrastructure,N,
cisheteropatriarchy,N,
cognitive mapping,Y,exact
collective endeavor / solidarity,N,
comedy of remarriage,N,
compassionate inquiry,N,
Conglomerate Hollywood,N,
contextual labor,N,
creative spectatorship,N,
crimesploitation,N,
critical fabulation,Y,exact
critical mimicry,N,
cruel optimism,Y,exact
cultural appropriation,N,
culture-industry thesis,Y,fuzzy
deobjectification,N,
descriptive aesthetic of exposure,N,
Diffusion,Y,fuzzy
disaster nationalism,N,
discorrelation,N,
disidentification,Y,fuzzy
Doppelganger politics,N,
egg-crack,N,
environmental form,N,
Eros and Thanatos,N,
escapism,N,
existential fear,N,
Expanded cinema,N,
fantasy bribe,N,
fascism / antifascism,N,
female masculinity,Y,exact
feminist film theory,N,
Feminist worldmaking,N,
folklore,Y,fuzzy
Foucauldian discourse analysis,N,
Frames of war / grievability,N,
franchise lore,N,
gender ideology,Y,fuzzy
genetic essentialism,Y,exact
genre hybridity,Y,fuzzy
ger toshav / nonbinary inheritance,N,
Global South cinephilias,N,
Grief / sociality of the self,N,
habitation,N,
hapticity,N,
Hapticity / haptic cinema,N,
Hindutva,N,
historical fiction,N,
Holocaust ethnography,N,
Holocaust piety,N,
homemade mutant hope machines,N,
hurt sentiments / culture of hurt,N,
Hypercontextual approach,N,
ideological apparatus,N,
Indexicality,Y,exact
Indigenous kinship worldview,N,
industrial forgetting,N,
interactive cinema,N,
Interactivity,N,
internal family systems (IFS),Y,exact
intersectionality,Y,exact
intersti-racial comic melancholia,N,
intimate citizenship,N,
intimate public,Y,fuzzy
intoxicated spectator,N,
la politique d'amateur,N,
language revitalization,N,
late capitalism,N,
Look again,N,
macrofranchise,N,
madakarani,N,
Masala,N,
Materialist film historiography,N,
matrilineal kinship,N,
Media archaeology,Y,exact
media mix,Y,exact
medical gaze,N,
medium specificity,Y,exact
megotage,N,
Mirror world,N,
misogynoir,N,
modernization theory,Y,exact
mouth and mirror (tropes),N,
multisensorial phenomenology,N,
must-see blackness,N,
neoliberal self-reliance,N,
new cinema history,N,
new cinephilia,N,
Ocularcentrism,N,
One Black Writer idea,N,
opacity,Y,exact
Open narrative,N,
Oriental (dis)play,N,
paradoxical agency,N,
parcelamento,N,
performer-worker studies,N,
Perverse spectator,N,
phantom kingdom of masculinity,N,
pleasure (film theory of),N,
political commitment,N,
populism,Y,exact
postcolonial auteur,N,
Posthuman / nonhuman,N,
Procedural spectatorship,N,
promising,N,
psychoactive cinema,N,
Radical forgiveness,N,
re-story-ation,N,
realist aesthetic,N,
reappropriation/reclamation of a trope,N,
Remediation,Y,exact
reparative reading,N,
Representative thinking,N,
reverse colonization,N,
Road movie,N,
Romanticism,N,
Sensate criticism,N,
sentimentality,N,
settler colonialism,Y,exact
Shangri-la deconstructed,N,
shared universe,N,
Shekhinah,N,
shenpa,N,
skepticism (acknowledgment),N,
Skywoman Falling,N,
slow cinema,Y,exact
Soft Cinema,N,
spectral materialities,N,
Spectral materiality,N,
speculative fiction,N,
speculative historiography,N,
stealth,N,
Suture,N,
symbolic capitalists,N,
t4t (trans-for-trans),N,
taste / distinction,Y,fuzzy
teaching-learning viewing position,N,
The Adorno taboo,N,
The banality of evil,Y,exact
The Battle of Algiers,N,
the bliss-out,N,
the downstream,N,
The fascism of representation,N,
the Female Gothic,N,
the male gaze,Y,fuzzy
the monstrous-feminine,N,
the New Flesh,N,
the protector,N,
the shimmer,N,
the sociopathic antipathy to the human,N,
the witch,N,
Tibetan New Wave,N,
topo-cinephilia,N,
topography of the Holocaust film,N,
trans*,N,
trans care,Y,exact
trauma,Y,fuzzy
tulpa,N,
two-spirit,N,
uncanny nostalgia,N,
unsentimentality,N,
utopian entertainment,N,
Viewser,N,
Visual exclusion,N,
visual pleasure,Y,exact
women's cinema (cinema delle donne),N,
