Part,MajorNo,Major,Sub,Theory,Theorists,OldMajor,Source
ART,1,Aesthetics & Philosophy of Art,A. Classical & Philosophical Aesthetics,Theory of Mimesis (Art),"Plato, Aristotle",I. Aesthetics & Philosophy of Art,CSV
ART,1,Aesthetics & Philosophy of Art,A. Classical & Philosophical Aesthetics,Catharsis (Art),Aristotle,I. Aesthetics & Philosophy of Art,CSV
ART,1,Aesthetics & Philosophy of Art,A. Classical & Philosophical Aesthetics,The Sublime (Art),"Immanuel Kant, Edmund Burke",I. Aesthetics & Philosophy of Art,CSV
ART,1,Aesthetics & Philosophy of Art,A. Classical & Philosophical Aesthetics,Disinterest (Aesthetic),Immanuel Kant,I. Aesthetics & Philosophy of Art,CSV
ART,1,Aesthetics & Philosophy of Art,A. Classical & Philosophical Aesthetics,Art for Art's Sake (L'art pour l'art),"Théophile Gautier, Oscar Wilde",I. Aesthetics & Philosophy of Art,CSV
ART,1,Aesthetics & Philosophy of Art,A. Classical & Philosophical Aesthetics,Aura (Art),Walter Benjamin,I. Aesthetics & Philosophy of Art,CSV
ART,1,Aesthetics & Philosophy of Art,A. Classical & Philosophical Aesthetics,Formalism (Art Criticism),"Clive Bell, Clement Greenberg",I. Aesthetics & Philosophy of Art,CSV
ART,1,Aesthetics & Philosophy of Art,A. Classical & Philosophical Aesthetics,Expression Theory of Art,"Leo Tolstoy, Benedetto Croce",I. Aesthetics & Philosophy of Art,CSV
ART,2,Art History & Historiography,A. Iconology & Social History of Art,Iconography (Art History),Erwin Panofsky,II. Art History & Historiography of Art,CSV
ART,2,Art History & Historiography,A. Iconology & Social History of Art,Iconology (Art History),Erwin Panofsky,II. Art History,CSV
ART,2,Art History & Historiography,A. Iconology & Social History of Art,Social History of Art,"Arnold Hauser, T.J. Clark",II. Art History,CSV
ART,2,Art History & Historiography,A. Iconology & Social History of Art,Art and Patronage Theory,Martin Wackernagel,II. Art History,CSV
ART,2,Art History & Historiography,A. Iconology & Social History of Art,Cultural History of Art,"John Burke, Peter Burke",II. Art History,CSV
ART,2,Art History & Historiography,A. Iconology & Social History of Art,Material Culture (Art History),Jules Prown,II. Art History,CSV
ART,3,Performance Studies & Theatre,A. Performance Theory & Ritual,Performativity (Performing Arts),"Judith Butler, J.L. Austin",III. Performance Studies & Performing Arts,CSV
ART,3,Performance Studies & Theatre,A. Performance Theory & Ritual,Social Performance Theory,Erving Goffman,III. Performance Studies,CSV
ART,3,Performance Studies & Theatre,A. Performance Theory & Ritual,Ritual Theory (Performing Arts),"Victor Turner, Richard Schechner",III. Performance Studies,CSV
ART,3,Performance Studies & Theatre,A. Performance Theory & Ritual,Brechtian Alienation Effect (Verfremdungseffekt),Bertolt Brecht,III. Performance Studies,CSV
ART,3,Performance Studies & Theatre,A. Performance Theory & Ritual,Theatre of the Oppressed,Augusto Boal,III. Performance Studies,CSV
ART,3,Performance Studies & Theatre,A. Performance Theory & Ritual,Embodiment Theory (Performance),"Judith Butler, Susan Foster",III. Performance Studies,CSV
ART,3,Performance Studies & Theatre,A. Performance Theory & Ritual,Affect Theory (Performance),Brian Massumi,III. Performance Studies,CSV
ART,4,Music & Sound Studies,A. Sociology & Politics of Music,Music and Identity Theory,"Simon Frith, Tia DeNora",IV. Music & Society,CSV
ART,4,Music & Sound Studies,A. Sociology & Politics of Music,Subcultural Theory (Music),Dick Hebdige (applied to music),IV. Music,CSV
