name,type,article,issue,context
Marina Hassapopoulou,theorist,"Interactive Cinema: A Conversation with Marina Hassapopoulou","Page Views, 2024-05 (77.4)","author theorizing and historicizing interactive cinema and its ethics"
Janet Murray,theorist,"Interactive Cinema: A Conversation with Marina Hassapopoulou","Page Views, 2024-05 (77.4)","game playing reveals hidden parts of ourselves, transformative breakthroughs"
Janet Staiger,theorist,"Interactive Cinema: A Conversation with Marina Hassapopoulou","Page Views, 2024-05 (77.4)","source of the perverse spectator concept"
Lev Manovich,theorist,"Interactive Cinema: A Conversation with Marina Hassapopoulou","Page Views, 2024-05 (77.4)","co-creator of Soft Cinema software-generated film series"
Andreas Kratky,theorist,"Interactive Cinema: A Conversation with Marina Hassapopoulou","Page Views, 2024-05 (77.4)","collaborator on Soft Cinema algorithmic cinema experiments"
Francesco Casetti,theorist,"Interactive Cinema: A Conversation with Marina Hassapopoulou","Page Views, 2024-05 (77.4)","his term diffusion used for cinema's expanded definition"
Anne Friedberg,theorist,"Interactive Cinema: A Conversation with Marina Hassapopoulou","Page Views, 2024-05 (77.4)","The Virtual Window turned into interactive version by Erik Loyer"
Lynn Hershman Leeson,theorist,"Interactive Cinema: A Conversation with Marina Hassapopoulou","Page Views, 2024-05 (77.4)","theorist-practitioner of interactivity; Deep Contact installation"
Toni Dove,theorist,"Interactive Cinema: A Conversation with Marina Hassapopoulou","Page Views, 2024-05 (77.4)","multimedia artist who published practice-informed theory of interactivity"
interactive cinema,concept,"Interactive Cinema: A Conversation with Marina Hassapopoulou","Page Views, 2024-05 (77.4)","expansion not replacement of cinematic medium, understood as continuum"
viewser,concept,"Interactive Cinema: A Conversation with Marina Hassapopoulou","Page Views, 2024-05 (77.4)","portmanteau of viewer plus user signaling hybrid spectator status"
procedural spectatorship,concept,"Interactive Cinema: A Conversation with Marina Hassapopoulou","Page Views, 2024-05 (77.4)","process-based, beyond-ocularcentric spectatorship shaped by digital code"
hypercontextual approach,concept,"Interactive Cinema: A Conversation with Marina Hassapopoulou","Page Views, 2024-05 (77.4)","roots interactive texts in sociopolitical contexts, challenges technological determinism"
Soft Cinema,concept,"Interactive Cinema: A Conversation with Marina Hassapopoulou","Page Views, 2024-05 (77.4)","software-generated recombinatory cinema using audiovisual database"
ocularcentrism,concept,"Interactive Cinema: A Conversation with Marina Hassapopoulou","Page Views, 2024-05 (77.4)","traditional sight-centric film theory that interactivity disrupts"
suture,concept,"Interactive Cinema: A Conversation with Marina Hassapopoulou","Page Views, 2024-05 (77.4)","posthuman twist on suture; viewser remains productively unsutured"
media archaeology,concept,"Interactive Cinema: A Conversation with Marina Hassapopoulou","Page Views, 2024-05 (77.4)","excavating ephemeral interactive media with limited access and interfaces"
multisensorial phenomenology,concept,"Interactive Cinema: A Conversation with Marina Hassapopoulou","Page Views, 2024-05 (77.4)","engaging all five senses, subverting sight/sound hierarchy"
remediation,concept,"Interactive Cinema: A Conversation with Marina Hassapopoulou","Page Views, 2024-05 (77.4)","reworking obsolete media into new interfaces and emulators"
perverse spectator,concept,"Interactive Cinema: A Conversation with Marina Hassapopoulou","Page Views, 2024-05 (77.4)","Staiger's term applied to participatory viewser of controversial interactive film"
Kartik Nair,theorist,"Seeing Things: A Conversation with Kartik Nair","Page Views, 2024-03 (77.3)","author developing materialist aesthetic and historiography of Bombay horror"
Lalitha Gopalan,theorist,"Seeing Things: A Conversation with Kartik Nair","Page Views, 2024-03 (77.3)","cinema of interruptions; masala interrupts horror"
Meheli Sen,theorist,"Seeing Things: A Conversation with Kartik Nair","Page Views, 2024-03 (77.3)","horror as symptom of frayed political fabric of 1970s-80s India"
Valentina Vitali,theorist,"Seeing Things: A Conversation with Kartik Nair","Page Views, 2024-03 (77.3)","economic argument: cash reserves needed low-budget genre"
Rashna Wadia Richards,theorist,"Seeing Things: A Conversation with Kartik Nair","Page Views, 2024-03 (77.3)","materialist film historiography formulation Nair adapts"
Linda Williams,theorist,"Seeing Things: A Conversation with Kartik Nair","Page Views, 2024-03 (77.3)","body genres / Film Bodies essay on genres moving the body"
