fq_name,covered,match
Alfred Hitchcock,N,
Allyson Nadia Field,N,
Amy Herzog,N,
Andreas Kratky,N,
Anne Friedberg,N,
Anup Grewal,N,
Barbara Creed,N,
Barbara Loden,N,
Beans Velocci,N,
bell hooks,Y,exact
Ben Walters,N,
Bertolt Brecht,Y,exact
Bram Stoker,N,
Brian R. Jacobson,N,
Cael M. Keegan,N,
Caetlin Benson-Allott,N,
Cameron Awkward-Rich,N,
Carol A. Senf,N,
Carol Clover,Y,name
Chenshu Zhou,N,
Chris Berry,N,
Christopher Craft,N,
Claudia Tate,N,
Dan Smyer Yu,N,
David Cronenberg,N,
Deborah Nelson,N,
Denise Khor,N,
Donna Campbell,N,
Elena Gorfinkel,Y,exact
Eliza Steinbock,N,
Emilie Yueh-yu Yeh,N,
Emma Wilson,Y,name
Eric Lott,N,
Erika Balsom,N,
Eve Sedgwick,Y,name
Felwine Sarr,Y,exact
Fiona Jenkins,N,
Francesco Casetti,Y,exact
Francoise Robin,N,
Fredric Jameson,Y,exact
G.W.F. Hegel,Y,exact
Gabor Mate,N,
Gillian Rose,N,
Gillo Pontecorvo,N,
Girish Shambu,N,
Goffredo Fofi,N,
Hannah Arendt,Y,exact
Hil Malatino,Y,exact
Hila Peleg,N,
J. M. Tyree,N,
Jane Feuer,N,
Janet Murray,N,
Janet Staiger,N,
Jean-Louis Baudry,N,
Jean Ma,N,
Jean Murley,Y,exact
Joan Didion,N,
Jocelyn Szczepaniak-Gillece,N,
Jose Esteban Munoz,Y,exact
Judith Butler,Y,exact
Julia Kristeva,Y,exact
Kamila Hladikova,N,
Kandice Chuh,N,
Kartik Nair,N,
Lalitha Gopalan,N,
Laura Horak,N,
Laura Marks,Y,name
Laura Mulvey,Y,exact
Lauren Berlant,Y,exact
Lauren Fournier,N,
Leena Manimekalai,N,
Lev Manovich,Y,exact
Linda Williams,Y,exact
Linnie Blake,N,
Lynn Hershman Leeson,N,
Maggie Nelson,N,
Margaret Olin,N,
Marina Hassapopoulou,N,
Meheli Sen,N,
Michel Foucault,Y,exact
Musa al-Gharbi,N,
Naomi Klein,Y,exact
Neil Druckmann,N,
Nico Baumbach,N,
Patricia Highsmith,N,
Patrick Frater,N,
Paul B. Preciado,Y,exact
Paul Thomas Anderson,N,
Pauline Kael,N,
Pema Chodron,N,
Pier Paolo Pasolini,N,
Pierre Bourdieu,Y,exact
R. W. B. Lewis,N,
Rachel Monroe,N,
Ramzi Fawaz,N,
Rashna Richards,N,
Rashna Wadia Richards,N,
Rebecca Wanzo,N,
Richard Dyer,Y,exact
Richard Schwartz,Y,name
Richard Seymour,N,
Richard Walther Darre,N,
Rielle Navitski,N,
Robert Barnett,N,
Robin Wall Kimmerer,N,
Saidiya Hartman,Y,exact
Samantha Sheppard,N,
Samuel Veissiere,N,
Sarah Keller,N,
Sergei Eisenstein,N,
Seung-hoon Jeong,N,
Shari Benstock,N,
Sianne Ngai,Y,exact
Soyoung Kim,Y,name
Stanley Cavell,Y,exact
Stephen D. Arata,N,
Steven Spielberg,N,
Susan Sontag,Y,exact
Susan Stryker,Y,exact
T. Benjamin Singer,Y,name
Tania Modleski,N,
Terence McKenna,N,
Terri Ginsberg,N,
Theodor W. Adorno,Y,name
Thomas Berry,Y,exact
Thomas Elsaesser,Y,exact
Thomas Pynchon,N,
Timothy Leary,N,
Toby Beauchamp,N,
Toni Cade Bambara,N,
Toni Dove,N,
Tony Bennett,N,
Tony Rayns,N,
Valentina Vitali,N,
Walter Benjamin,Y,exact
Yang Li,N,
Yasmina Price,N,
Yiman Wang,N,
