name,type,article,issue,context
Jean Ma,theorist,"Introduction: Relocations and Reimaginations (Hong Kong Cinephilia Reimagined)",78.3,"Special Focus editor; reframes Hong Kong cinephilia as multi-situated, non-singular phenomenon and as infrastructure"
Susan Sontag,theorist,"Introduction: Relocations and Reimaginations (Hong Kong Cinephilia Reimagined)",78.3,"Cited for ""The Decay of Cinema"" / her declaration of the death of cinephilia"
Girish Shambu,theorist,"Introduction: Relocations and Reimaginations (Hong Kong Cinephilia Reimagined)",78.3,"Author of ""For a New Cinephilia""; new cinephilia as democratic, transnational, inclusive"
Thomas Elsaesser,theorist,"Introduction: Relocations and Reimaginations (Hong Kong Cinephilia Reimagined)",78.3,"""Cinephilia or the Uses of Enchantment""; postwar France as cinephilia's ""originary moment"""
Sarah Keller,theorist,"Introduction: Relocations and Reimaginations (Hong Kong Cinephilia Reimagined)",78.3,"Anxious Cinephilia; call to broaden cinephilia across history, geography, identities"
Rielle Navitski,theorist,"Introduction: Relocations and Reimaginations (Hong Kong Cinephilia Reimagined)",78.3,"""Global South Cinephilias""; unsettling established historical timelines of cinephilia"
Erika Balsom,theorist,"Introduction: Relocations and Reimaginations (Hong Kong Cinephilia Reimagined)",78.3,"The screen as nucleus of a complex aggregate of practices, affects, and relations"
Nico Baumbach,theorist,"Introduction: Relocations and Reimaginations (Hong Kong Cinephilia Reimagined)",78.3,"Distinction la politique d'amateur vs la politique des auteurs"
Emilie Yueh-yu Yeh,theorist,"Introduction: Relocations and Reimaginations (Hong Kong Cinephilia Reimagined)",78.3,"Earliest Chinese cinephiles as authors/translators crossing from letters to film; Sinosphere networks"
Chenshu Zhou,theorist,"Introduction: Relocations and Reimaginations (Hong Kong Cinephilia Reimagined)",78.3,"""Thick fabrics of social relations...structures of feelings"" framing of film exhibition"
Tony Rayns,theorist,"Introduction: Relocations and Reimaginations (Hong Kong Cinephilia Reimagined)",78.3,"Declared South Korea ""the most cinephile country in the world"""
Soyoung Kim,theorist,"Introduction: Relocations and Reimaginations (Hong Kong Cinephilia Reimagined)",78.3,"Term ""cine-mania"" for South Korea's 1980s youth film culture"
cinephilia,concept,"Introduction: Relocations and Reimaginations (Hong Kong Cinephilia Reimagined)",78.3,"Central organizing concept; expanded, multi-situated, non-singular love of cinema"
cinephilia as infrastructure,concept,"Introduction: Relocations and Reimaginations (Hong Kong Cinephilia Reimagined)",78.3,"Following Choi, Hong Kong cinephilia as an infrastructure of practices, relations, agencies"
la politique d'amateur,concept,"Introduction: Relocations and Reimaginations (Hong Kong Cinephilia Reimagined)",78.3,"Amateur/DIY filmmaking politics contrasted with la politique des auteurs"
Global South cinephilias,concept,"Introduction: Relocations and Reimaginations (Hong Kong Cinephilia Reimagined)",78.3,"Cinephilia histories beyond the North Atlantic / outside Euro-American frame"
new cinema history,concept,"Introduction: Relocations and Reimaginations (Hong Kong Cinephilia Reimagined)",78.3,"Reorientation toward exhibition and reception (via Richard Maltby) as entry to film history"
Robin Wall Kimmerer,theorist,"More Than We Were Programmed to Be (on The Wild Robot)",78.3,"Braiding Sweetgrass; Skywoman Falling story, Original Instructions, language of animacy, becoming indigenous to place"
Thomas Berry,theorist,"More Than We Were Programmed to Be (on The Wild Robot)",78.3,"Ecotheologian; ""a communion of subjects, not a collection of objects"""
Skywoman Falling,concept,"More Than We Were Programmed to Be (on The Wild Robot)",78.3,"Indigenous creation story of interspecies reciprocity used as analytic for the film"
Indigenous kinship worldview,concept,"More Than We Were Programmed to Be (on The Wild Robot)",78.3,"Reciprocity, animacy, becoming indigenous to place as framework for reading the film"
re-story-ation,concept,"More Than We Were Programmed to Be (on The Wild Robot)",78.3,"Restoration/re-story-ation of Indigenous kinship worldview (Gary Nabhan via Kimmerer)"
genetic essentialism,concept,"More Than We Were Programmed to Be (on The Wild Robot)",78.3,"Critiqued via new evolutionary science (Evolution Evolving); organism as community not gene-determined"
late capitalism,concept,"More Than We Were Programmed to Be (on The Wild Robot)",78.3,"Era of planetary alienation against which the film proposes new Original Instructions"
Lauren Berlant,theorist,"Live, Laugh, Luminol: Feminized Fandom at CrimeCon",78.3,"Concept of the ""intimate public"" from The Female Complaint; intimate citizenship"
Tania Modleski,theorist,"Live, Laugh, Luminol: Feminized Fandom at CrimeCon",78.3,"Loving with a Vengeance; soaps train women to ""read"" people via body language and cues"
Jean Murley,theorist,"Live, Laugh, Luminol: Feminized Fandom at CrimeCon",78.3,"True crime historian; The Rise of True Crime; feminization of the genre"
Rebecca Wanzo,theorist,"Live, Laugh, Luminol: Feminized Fandom at CrimeCon",78.3,"""The Era of Lost (White) Girls""; true crime's focus on imperiled white femininity"
Rachel Monroe,theorist,"Live, Laugh, Luminol: Feminized Fandom at CrimeCon",78.3,"Savage Appetites; women, crime, and obsession"
intimate public,concept,"Live, Laugh, Luminol: Feminized Fandom at CrimeCon",78.3,"Berlantian sense of collective belonging based on emotion/trauma; true crime fandom as intimate public"
