theorist,covered,match
Achille Mbembe,Y,exact
Adin Walker,N,
Adrienne Rich,N,
Affect theory,Y,name
Afrofuturism,N,
Afrofuturism lineage,N,
Agnes Varda,N,
Aimé Césaire,N,
Alan Cholodenko,N,
Alberto Toscano,N,
Alfred Sohn-Rethel,N,
Alice Marwick,Y,name
Alisa Lebow,N,
Alistair Fox,N,
Allan Sekula,N,
Alvin K. Wong,N,
Anatoly Detwyler,N,
Andre Bazin,Y,exact
Andrew Higson,N,
Anishinaabe cosmology,N,
Ann Laura Stoler,N,
Antonio Gramsci,Y,exact
Antonio Negri,N,
applied to platform creative work,N,
applied to screen media,N,
Aristotle,Y,exact
Arlie Russell Hochschild,Y,exact
Arthur Danto,Y,exact
arts-based research),N,
Athena Athanasiou,N,
auteur theory),Y,name
autonomist Marxism,N,
Barbara Zecchi,N,
Başak Ertür,N,
Benedict Anderson,Y,exact
Bill Nichols,Y,exact
biocultural criticism (Hogan,N,
biopolitics tradition),N,
Black Gothic,N,
Black speculative fiction lineage,N,
Boaventura de Sousa Santos,Y,exact
Boyd lineage),N,
Brian R. Jacobson,N,
Bruno Latour,Y,exact
(C. S. Peirce,N,
Cahiers du cinema,N,
Caren Kaplan,N,
Carlo Cenciarelli,N,
Catherine Malabou,N,
Cathy Caruth,Y,exact
Cecília Mello,N,
Chantal Mouffe; Lauren Berlant,N,
Charles Acland,N,
Charles Acland and Haidee Wasson,N,
Christian Keathley,N,
Christian Zehnder,N,
Christopher Pinney,N,
Chuanhui Meng,N,
Concept developed by Dootson,N,
cultural trauma studies,N,
Dagmar Brunow,N,
danah boyd,Y,exact
Daniel Dayan,N,
Daniel Smith,Y,name
David Bordwell,Y,exact
David Nieborg,N,
Deborah Poole,N,
decolonial theory),N,
Diana W. Anselmo,N,
Didier Eribon,N,
documentary indexicality),N,
(documentary reflexivity,N,
Donald Winnicott,Y,name
(ecocinema studies,N,
ecocriticism,N,
Edmund Husserl,N,
Edouard Glissant,Y,exact
Edward Schiappa,N,
Elie Katz,Y,name
Elif Akcali; Ozlem Guclu,N,
Elinor Ostrom,Y,exact
Elizabeth Grosz,N,
Enrico Terrone,N,
Ethan Calof,N,
Eve Bennett,N,
Eve Kosofsky Sedgwick,Y,exact
Eve Tuck,N,
existential phenomenology,N,
extended via Thomas Keenan,N,
Eyal Weizman,N,
Félix Guattari,Y,exact
feminist film theory,N,
Fernando Solanas and Octavio Getino,N,
Forensic Architecture,N,
Francesca Coppa,N,
Frank B. Wilderson III,Y,exact
Frantz Fanon,Y,exact
Fredric Jameson,Y,exact
Friedrich Nietzsche,Y,exact
Gaur (engaging media materiality,N,
Genre,N,
(genre theory,N,
Georg Lukács,Y,exact
Georges Bataille,Y,exact
Georges Didi-Huberman,N,
Gerald Vizenor,N,
Getino,N,
Gilles Deleuze,Y,exact
Gilles Deleuze and Felix Guattari,N,
Gilles Deleuze  and spatial montage theory,N,
Giorgio Agamben,Y,exact
Glauber Rocha,Y,exact
Gloria Anzaldua,N,
Guattari),Y,surname
Gustavo Subero,N,
Guy Standing,Y,exact
Hamid Naficy,Y,exact
Hannah Arendt,Y,exact
Hannah Holtzman,N,
Harun Farocki,N,
Henri Bergson,Y,exact
Herbert Schiller,Y,exact
Hil Malatino,Y,exact
Hito Steyerl,Y,exact
Homi K. Bhabha,Y,exact
Hongwei Bao,N,
Howard Chiang,N,
Humberto Maturana and Francisco Varela,N,
image-memory studies),N,
Immanuel Kant,Y,exact
Immanuel Wallerstein,Y,exact
Inderpal Grewal,N,
Ira Jaffe,N,
Iris Murdoch,N,
Ivan Pavlov,Y,exact
Jacques Derrida,Y,exact
Jacques Ellul,N,
Jacques Rancière,Y,exact
Jan and Aleida Assmann,Y,name
Jane Bennett,Y,exact
Janet Staiger,N,
Jasbir Puar (after Deleuze,N,
Jason Mittell ; Lisa Samuels,N,
Jason W. Moore,Y,name
Jean-Francois Lyotard,Y,exact
Jean Laplanche,N,
Jean-Louis Baudry,N,
Jean-Paul Sartre,N,
Jeffrey Alexander,Y,exact
Jeffrey C. Alexander,Y,exact
Jeffrey Sconce,N,
Jerome McGann,Y,exact
Johann Wolfgang von Goethe,N,
John Bowlby,Y,exact
John Durham Peters,N,
John Thornton Caldwell,Y,name
John Tomlinson,N,
Jonathan Stubbs; Marko Kiessel,N,
Jose Esteban Munoz,Y,exact
Judith Butler,Y,exact
Julia Kristeva,Y,exact
Julio García Espinosa,N,
Jussi Parikka,Y,exact
Karen Barad,Y,exact
Karin van Es,N,
Karl Marx,Y,exact
Kate Nash),N,
Kathleen McHugh,N,
Korean division-film scholarship + melodrama theory,N,
(Kress and van Leeuwen,N,
Lauren Berlant,Y,exact
Lee Edelman,N,
Legacy Russell,N,
Linda Degh and Andrew Vazsonyi,N,
Linda Williams,Y,exact
Lisa Parks,Y,exact
literary autofiction concept,N,
Louis Althusser,Y,exact
Louisa Stein,N,
Macarena Gomez-Barris,N,
Marc Auge,N,
Marianne Hirsch,Y,exact
Marianne Hirsch; Aleida Assmann,N,
Marianne Hirsch; Cathy Caruth,N,
Martin H. Schwartz,N,
Martin Heidegger,N,
Mary Ann Doane,N,
Maurice Blanchot,N,
Maurice Halbwachs,Y,exact
