keyword,theorist,concept_purpose,paper_title,paper_authors,journal,volume_issue,year,paper_url,paper_argument,access
"the distribution of the sensible (le partage du sensible)","Jacques Rancière","Names the shared aesthetic substrate of art and politics: an a priori system of perception that partitions the visible/invisible and audible/inaudible, deciding who counts as a speaking, visible member of a community.","Empire of rain: Rancière, Béla Tarr, and the politics of the sensible","Corey P. Cribb","NECSUS: European Journal of Media Studies","Spring 2026",2026,"https://necsus-ejms.org/empire-of-rain-ranciere-bela-tarr-and-the-politics-of-the-sensible/","Argues this concept is the indispensable scaffolding for reading Béla Tarr as a political filmmaker: by directing his long takes at abject, marginal Hungarian subjects, Tarr does not represent a predefined group but creates a people out of those who remain invisible and inaudible, redistributing sensory attention.","OA"
"dissensus","Jacques Rancière","The mechanism that makes the distribution of the sensible political: a disruption of consensus that brings the sensory experience of neglected subjects to the fore and contests who has the ability to see and the talent to speak.","Empire of rain: Rancière, Béla Tarr, and the politics of the sensible","Corey P. Cribb","NECSUS: European Journal of Media Studies","Spring 2026",2026,"https://necsus-ejms.org/empire-of-rain-ranciere-bela-tarr-and-the-politics-of-the-sensible/","Reads Tarr's films as enacting dissensus through form: an opposition of two sensible worlds (Krasznahorkai's nihilistic narrative vs. the long-take mise en scène; cyclical repetition vs. the straight line), embodied in Estike's walk, which reopens time as the site of the possible.","OA"
"the aesthetic regime of art","Jacques Rancière","A historical-aesthetic paradigm that abolished art-as-mimesis, fusing art and life and creating a sensible community irrespective of the artist's intent, theorised as an alternative to the concept of modernity.","Empire of rain: Rancière, Béla Tarr, and the politics of the sensible","Corey P. Cribb","NECSUS: European Journal of Media Studies","Spring 2026",2026,"https://necsus-ejms.org/empire-of-rain-ranciere-bela-tarr-and-the-politics-of-the-sensible/","Argues Rancière positions Tarr's 'time after stories' as exemplary of the aesthetic regime against both modernism and postmodern end-of-history pathos, while critically charging Rancière with instrumentalising Tarr to substantiate his own fable about the aesthetic regime.","OA"
"biopolitics / environmental governmentality","Michel Foucault","Traces the shift from sovereign power to disciplinary mechanisms and then to environmental forms of governance, where biopower modulates the conditions within which subjects act rather than coercing bodies directly.","Through the looking glass: The biopolitics of digital becoming","Marine de Dardel","NECSUS: European Journal of Media Studies","Spring 2026",2026,"https://necsus-ejms.org/through-the-looking-glass-the-biopolitics-of-digital-becoming/","Argues the avatar-subject relationship is the privileged site of environmental biopower: screen interfaces produce cybernetic milieus that govern subjectivity by continuously adjusting spaces of potential (exemplified by the game Echochrome), a real-time feedback that exceeds Foucault's original formulation.","OA"
"immunitary paradigm / affirmative biopolitics","Roberto Esposito","Reformulates biopolitics as having an immunitary structure that simultaneously safeguards and constrains life by introducing the very negation it aims to prevent.","Through the looking glass: The biopolitics of digital becoming","Marine de Dardel","NECSUS: European Journal of Media Studies","Spring 2026",2026,"https://necsus-ejms.org/through-the-looking-glass-the-biopolitics-of-digital-becoming/","Argues the avatar enacts immunitary logic exactly: it protects the subject by mediating exposure to digital environments yet entails dispossession of the subject's image and behaviour; the character Bella Baxter in Poor Things is read as affirmative biopolitics reclaiming the immunitary apparatus.","OA"
"necropolitics / necropolitics of the digital","Achille Mbembe","Names the sovereign power to dictate who may live and who must die, reducing populations to 'death-worlds' of living death; operates alongside biopower to determine which lives are optimised and which abandoned.","Through the looking glass: The biopolitics of digital becoming","Marine de Dardel","NECSUS: European Journal of Media Studies","Spring 2026",2026,"https://necsus-ejms.org/through-the-looking-glass-the-biopolitics-of-digital-becoming/","Coins the 'necropolitics of the digital' to name the systematic extraction of value from the living through the commercial resurrection, algorithmic reanimation, and political manipulation of their dead data-doubles within platform infrastructure.","OA"
"the dividual / societies of control","Gilles Deleuze","Theorises the passage from disciplinary societies (operating on the bounded individual) to control societies that modulate dividuals: decomposable, reconfigurable data-profiles that are simultaneously more and less than persons.","Through the looking glass: The biopolitics of digital becoming","Marine de Dardel","NECSUS: European Journal of Media Studies","Spring 2026",2026,"https://necsus-ejms.org/through-the-looking-glass-the-biopolitics-of-digital-becoming/","Argues the avatar is the dividual in its most legible form: a decomposable, commercially exploitable data-entity that maps the transition from the disciplinary society's bounded subject to the control society's modulated dividual.","OA"
"cadaverous resemblance / the image as corpse","Maurice Blanchot","Holds that the image precedes the object and bears a fundamental relationship to death, revealing the thing as absence; the corpse is its own image, a presence constituted through absence.","Through the looking glass: The biopolitics of digital becoming","Marine de Dardel","NECSUS: European Journal of Media Studies","Spring 2026",2026,"https://necsus-ejms.org/through-the-looking-glass-the-biopolitics-of-digital-becoming/","Theorises the avatar as a corpse-image whose agency is essentially posthumous, generating 'algorithmic necromancy' and 'zombie agency'; extended via Derrida's hauntology, the avatar continues to act on and extract value from the living subject whose absence it marks.","OA"
"opacity / the right to opacity","Édouard Glissant","A decolonial ethics opposing the demand for transparency: opacity affirms the irreducible singularity of the Other and builds horizontal relations that do not appropriate or convert the Other into one's own image.","Disappearing to appear: Towards a politics of opacity in contemporary European audiovisual culture","Jaime Vargas","NECSUS: European Journal of Media Studies","Spring 2026",2026,"https://necsus-ejms.org/disappearing-to-appear-towards-a-politics-of-opacity-in-contemporary-european-audiovisual-culture/","Argues contemporary European audiovisual depictions of migration and diasporic identity can mobilise a politics of opacity, refusing the regime of visibility/legibility that would render migrants knowable and governable, so that disappearing becomes a mode of appearing on one's own terms.","OA"
"operational aesthetics / sensor-milieu","Sebastian Scholz (building on Harun Farocki's operational images and Gilbert Simondon's milieu)","Names how sensing media operate within dense, entangled environments ('au milieu') where operation and exchange preclude fixed identities, requiring analytic cuts to render mediating processes sensuously perceptible.","On mediating environments: Sensor-milieus and operational aesthetics","Sebastian Scholz","NECSUS: European Journal of Media Studies","Spring 2026",2026,"https://necsus-ejms.org/on-mediating-environments-sensor-milieus-and-operational-aesthetics/","Argues environmental sensor media constitute 'sensor-milieus' whose operational aesthetics must be interrupted and translated to be understood; analysis must begin in the midst of entangled processes rather than from stabilised objects or subjects.","OA"
