theorist,part,major,sub,era,region,new,existing,n_existing
Cho Hae-joang (조한혜정),Culture,Global & Transnational Culture,E. Indigenous & Decolonial Culture,Contemporary,East Asia,Y,Colonized Consciousness | Gender and Culture | Reflexive Modernity in Korea,3
C. Riley Snorton,Critics,Identity-Based & Political,B. Queer Theory,Contemporary,Western,Y,Black on Both Sides | Fungibility of Blackness | Transfiguration,3
Christina Sharpe,Critics,Identity-Based & Political,C. Postcolonial & Critical Race,Contemporary,Western,Y,In the Wake | The Weather (Anti-blackness) | Wake Work,3
Dai Jinhua (戴錦華),Critics,Identity-Based & Political,A. Feminist & Gender Criticism,Contemporary,East Asia,Y,Gendered Cinema | Invisible Writing | Post-Socialist China,3
Debbie Ging,Culture,"Digital, Media & Algorithmic Culture",C. Algorithmic & Platform Culture,Contemporary,Western,Y,Alphas/Betas/Incels | Manosphere | Networked Misogyny,3
Emily M. Bender,Critics,Digital & Media-Specific,B. Computational & Cultural Analytics,Contemporary,Western,Y,LLM Meaning Critique | Stochastic Parrots | The Octopus Test,3
Enrique Dussel,Politics,"Postcolonial, Feminist & Environmental Politics",A. Postcolonial & Decolonial Politics,Modern,Latin America,Y,Philosophy of Liberation | Transmodernity | Underside of Modernity,3
E. Patrick Johnson,Critics,Identity-Based & Political,B. Queer Theory,Contemporary,Western,Y,Black Queer Performance | Quare Studies | Sweet Tea,3
Eli Clare,Critics,Identity-Based & Political,D. Disability Studies,Contemporary,Western,Y,Brilliant Imperfection | Cure Ideology | Exile and Pride,3
Fabian Holt,ART,Music & Sound Studies,A. Sociology & Politics of Music,Contemporary,Western,N,Cultural Taxonomy | Genre in Popular Music | Musical Performance,3
Frances Negrón-Muntaner,Culture,Global & Transnational Culture,B. Diaspora & Deterritorialization,Contemporary,Latin America,N,Boricua Popular Culture | Latino/a Media Studies | The Latino Media Gap,3
Francesca Royster,ART,Music & Sound Studies,A. Sociology & Politics of Music,Contemporary,Western,N,Black Country Music | Black Queer Studies | Sounding Queer,3
"Franco ""Bifo"" Berardi",Culture,Post-Structuralism & Postmodernism,A. Simulation & Hyperreality,Contemporary,Western,N,Futurability | Semiocapitalism | The Soul at Work,3
Frank Pasquale,LAW,"Digital, Technology & AI Law","B. AI, Algorithms & Automated Decision-Making",Contemporary,Western,N,AI and Law Theory | Algorithmic Accountability | Algorithmic Governance | Algorithmic Governance (Legal) | Algorithmic Governance (Political) | Law of Sharing Economy Theory | New Laws of Robotics | Platform Regulation (Legal Theory) | The Black Box Society,9
Frantz Fanon,Politics,"Postcolonial, Feminist & Environmental Politics",A. Postcolonial & Decolonial Politics,Modern,Africa,N,"Black Skin, White Masks | The Pitfalls of National Consciousness | The Wretched of the Earth",3
Fred Moten,Critics,Identity-Based & Political,C. Postcolonial & Critical Race,Contemporary,Western,N,Black Performance | In the Break | The Undercommons,3
Fredric Jameson,Critics,Marxist & Materialist,A. Frankfurt School & Critical Theory,Modern,Western,N,Cognitive Mapping | History of Postmodernity | Pastiche | Political Unconscious | Postmodern Criticism | Postmodernism | Postmodernity | The Political Unconscious | Waning of Affect,9
Friedrich Hayek,Economics,Institutional & Evolutionary Economics,Evolutionary Economics,Modern,Western,N,Neoliberalism (Political Theory) | Self-Organization (Complexity Economics) | Spontaneous Order | The Knowledge Problem | The Road to Serfdom,5
Friedrich Nietzsche,Politics,Classical & Pre-Modern Political Thought,A. Ancient Greek Philosophy,Classical,Western,N,Dionysian Spirit | Eternal Recurrence | The Use and Abuse of History | Will to Power,4
G.N. Devy,Culture,Global & Transnational Culture,E. Indigenous & Decolonial Culture,Contemporary,South Asia,N,After Amnesia | Linguistic Diversity | People's Linguistic Survey of India,3
Gabriella Coleman,Culture,"Digital, Media & Algorithmic Culture",A. Networked & Participatory Culture,Contemporary,Western,N,"Anonymous | Coding Freedom | Hacker, Hoaxer, Whistleblower, Spy",3
Gary Becker,Economics,Classical & Neoclassical Economics,Microeconomic Foundations,Modern,Western,N,Altruism | Economics of Discrimination | Habit Formation | Household Production Theory | Human Capital | Human Capital Theory (Education) | Methodological Individualism | Rational Addiction Theory | Rational Choice Theory,9
Garry Whannel,ART,Sport & Physical Culture,A. Sociology & Politics of Sport,Contemporary,Western,N,"Culture, Politics and Sport | Fields in Vision | Media Sport Stars",3
Gayatri Chakravorty Spivak,Critics,Identity-Based & Political,C. Postcolonial & Critical Race,Modern,South Asia,N,Can the Subaltern Speak? | Epistemic Violence | Postcolonial Criticism | Postcolonial Curating Theory | Strategic Essentialism | Subaltern Studies | Subaltern Studies (Political) | Subalternity | Translation Studies,9
Geert Lovink,Culture,"Digital, Media & Algorithmic Culture",C. Algorithmic & Platform Culture,Contemporary,Western,N,Platform Critique | Sad by Design | Zero Comments,3
Gene Sharp,Politics,Democratic Theory & Contemporary Contestation,A. Deliberative & Participatory Democracy,Modern,Western,N,From Dictatorship to Democracy | Nonviolent Action | The Politics of Nonviolent Action,3
Georg Simmel,Society,Classical Sociological Traditions,,Classical,Western,N,Fashion Theory | Fashion and Identity Theory | History of Fashion | The Metropolis and Mental Life | The Philosophy of Money | The Sociology of Secrecy,6
George Gerbner,Culture,Media & Communication,A. Media Effects & Audiences,Modern,Western,N,Cultivation Theory | Mean World Syndrome | Message System Analysis,3
