theorist,part,major,sub,existing,n_existing
Ichiro Kawachi,Medicine,Public Health & Social Epidemiology,A. Health Behavior Models,Social Capital Theory (Health),1
Milton Roemer,Medicine,Public Health & Social Epidemiology,A. Health Behavior Models,Health Systems Theory,1
M.K. Czerwiec,Medicine,Critical Medical Humanities,B. Graphic & Visual Medicine,Graphic Medicine Theory,1
Ian Williams,Medicine,Critical Medical Humanities,B. Graphic & Visual Medicine,Graphic Medicine Theory,1
David Armstrong,Medicine,Critical Medical Humanities,B. Graphic & Visual Medicine,Medical Surveillance Theory,1
David Mechanic,Medicine,Psychology of Health & Illness,B. Illness Behavior & Socio-Cultural Context,Illness Behavior Theory,1
Kenneth Wallston,Medicine,Psychology of Health & Illness,A. Health Behavior & Self-Regulation,Health Locus of Control,1
Anne-Emanuelle Birn,Medicine,Global Health & Postcolonial Medicine,A. Critical & Postcolonial Global Health,Critical Global Health,1
August B. Hollingshead,Medicine,Psychiatry & Mental Health,A. Sociocultural & Critical Psychiatry,Social Psychiatry,1
Frederick C. Redlich,Medicine,Psychiatry & Mental Health,A. Sociocultural & Critical Psychiatry,Social Psychiatry,1
Christine Vaughan,Medicine,Psychiatry & Mental Health,A. Sociocultural & Critical Psychiatry,Expressed Emotion (EE) Theory (Mental Health),1
DSM-5 Cultural Formulation Interview,Medicine,Psychiatry & Mental Health,A. Sociocultural & Critical Psychiatry,Cultural Formulation (Mental Health),1
Ioan M. Lewis,Medicine,Psychiatry & Mental Health,A. Sociocultural & Critical Psychiatry,Spirit Possession,1
James Birren,Medicine,Critical Medical Humanities,H. Narrative Gerontology & Aging,Narrative Gerontology,1
Ruth E. Ray,Medicine,Critical Medical Humanities,H. Narrative Gerontology & Aging,Narrative Gerontology,1
Robert Butler,Medicine,Critical Medical Humanities,H. Narrative Gerontology & Aging,Life Review Therapy,1
Mike Oliver,Medicine,"Body, Embodiment & Disability",A. Social & Medical Models of Disability,Social Model of Disability (Medical),1
Beauchamp,Medicine,Medical Ethics & Bioethics,A. Principlism & Bioethical Debate,Principlism,1
Childress,Medicine,Medical Ethics & Bioethics,A. Principlism & Bioethical Debate,Principlism,1
various critics,Medicine,Medical Ethics & Bioethics,A. Principlism & Bioethical Debate,Principlism,1
W. Douglas Storey,Medicine,Public Health & Social Epidemiology,A. Health Behavior Models,Health Communication Theory,1
Rima Rudd,Medicine,Public Health & Social Epidemiology,E. Health Literacy & Participatory Research,Health Literacy Theory,1
Don Nutbeam,Medicine,Public Health & Social Epidemiology,E. Health Literacy & Participatory Research,Health Literacy Theory,1
Meredith Minkler,Medicine,Public Health & Social Epidemiology,E. Health Literacy & Participatory Research,Community-Based Participatory Research (CBPR) Theory (Health),1
Carlos Novas,Medicine,"Body, Embodiment & Disability",B. Embodiment & Biocitizenship,Biocitizenship,1
Derek Summerfield,Medicine,Psychiatry & Mental Health,D. Global & Decolonial Mental Health,Decolonizing Global Mental Health Theory,1
Anne Whitehead,Medicine,Critical Medical Humanities,C. Critical Medical Humanities (General),Critical Medical Humanities,1
James Wilson,Medicine,Medical Ethics & Bioethics,B. Public Health & Population Ethics,Ethics of Public Health Interventions Theory,1
Dorothy Nelkin,Medicine,History of Medicine & Science Studies,"B. Genetics, Genomics & Society",Social Implications of Genomics Theory,1
Paul Starr,Medicine,Medical Sociology,"D. Profession, Expertise & Clinical Encounter",Professional Dominance Theory,1
Paula Braveman,Medicine,Public Health & Social Epidemiology,C. Health Equity & Social Justice,Health Equity Theory,1
Sheila Jasanoff,Medicine,Medical Ethics & Bioethics,C. Sociology of Bioethics,Bioethical Debates (Sociological),1
Nickolas Rose,Medicine,Biomedicalization & Pharmaceutical Industry,B. Pharmaceuticalization & Industry,Pharmaceuticalization Theory,1
David Healy,Medicine,Biomedicalization & Pharmaceutical Industry,B. Pharmaceuticalization & Industry,Pharmaceuticalization Theory,1
Peter M. Sandman,Medicine,Public Health & Social Epidemiology,H. Health Communication,Health Risk Communication Theory,1
Carl Elliott,Medicine,Medical Ethics & Bioethics,C. Sociology of Bioethics,Patient Autonomy (Sociological),1
Adriane Fugh-Berman,Medicine,Biomedicalization & Pharmaceutical Industry,B. Pharmaceuticalization & Industry,Direct-to-Consumer Advertising (DTCA) Theory,1
Andrew Scull,Medicine,Psychiatry & Mental Health,B. Deinstitutionalization & Recovery,Deinstitutionalization Theory (Mental Health),1
Derek Parfit,Medicine,Medical Ethics & Bioethics,B. Public Health & Population Ethics,Population Ethics (Public Health),1
Abby Lippman,Medicine,History of Medicine & Science Studies,"B. Genetics, Genomics & Society",Geneticization Theory,1
Tod Chambers,Medicine,Medical Ethics & Bioethics,D. Narrative & Care Ethics,Narrative Bioethics Theory,1
Caroll L. Estes,Medicine,Medical Sociology,"C. Chronic Illness, Aging & Dying",Sociology of Aging & Health Theory,1
Ray Moynihan,Medicine,Biomedicalization & Pharmaceutical Industry,B. Pharmaceuticalization & Industry,Disease Mongering Theory,1
Alan Cassels,Medicine,Biomedicalization & Pharmaceutical Industry,B. Pharmaceuticalization & Industry,Disease Mongering Theory,1
Robert A. Crawford,Medicine,Critical Medical Humanities,B. Graphic & Visual Medicine,Visual Culture of Medicine Theory,1
Sheldon Krimsky,Medicine,History of Medicine & Science Studies,"B. Genetics, Genomics & Society",Genetic Identity Theory,1
Margaret Lock,Medicine,Medical Anthropology & Cultural Models,"A. Culture, Healing & Explanatory Models",Biomedicine as Culture Theory,1
John Astin,Medicine,History of Medicine & Science Studies,C. Complementary & Alternative Medicine,CAM Usage Theory,1
Paul Rabinow,Medicine,Medical Anthropology & Cultural Models,"D. Pharmaceuticals, Technoscience & Epidemics",Medical Technoscience Theory,1
Phil Brown,Medicine,Medical Sociology,G. Globalization & Social Movements (Health),Health Social Movements Theory,1
Stephen R. Epstein,Medicine,Medical Sociology,G. Globalization & Social Movements (Health),Health Social Movements Theory,1
R.D. Laing,Medicine,Psychiatry & Mental Health,A. Sociocultural & Critical Psychiatry,Anti-Psychiatry Movement Theory,1
