theorist,part,major,sub,existing,n_existing
Edwin Locke,MANAGEMENT,Organizational Behavior & Work Psychology,A. Motivation & Job Design,Goal-Setting Theory | Goal-Setting Theory (HRM),2
Gary Latham,MANAGEMENT,Organizational Behavior & Work Psychology,A. Motivation & Job Design,Goal-Setting Theory | Goal-Setting Theory (HRM),2
Max Ringelmann,MANAGEMENT,Organizational Behavior & Work Psychology,A. Motivation & Job Design,Social Loafing | Social Loafing (Management),2
Edgar Schein,MANAGEMENT,Organizational Behavior & Work Psychology,A. Motivation & Job Design,Organizational Culture Theory | Organizational Culture Theory (Schein),2
John Dewey,MANAGEMENT,Marketing & Consumer Behavior,A. Consumer Behavior & Decision Making,Consumer Decision Process | Deliberative Democracy,2
Richard E. Petty,MANAGEMENT,Marketing & Consumer Behavior,A. Consumer Behavior & Decision Making,Elaboration Likelihood Model (ELM) | Elaboration Likelihood Model (Marketing),2
Michael Jensen,MANAGEMENT,Behavioral Finance & Decision Making,A. Behavioral Asset Pricing & Markets,Agency Theory (Behavioral Finance) | Agency Theory (Organizational),2
William Meckling,MANAGEMENT,Behavioral Finance & Decision Making,A. Behavioral Asset Pricing & Markets,Agency Theory (Behavioral Finance) | Agency Theory (Organizational),2
Michael Spence,MANAGEMENT,Human Resource Management,A. Core HRM & Performance,Signaling Theory (Behavioral Economics) | Signaling Theory (HRM),2
Jerald Greenberg,MANAGEMENT,Human Resource Management,A. Core HRM & Performance,Organizational Justice Theory | Organizational Justice Theory (Greenberg),2
Everett Rogers,MANAGEMENT,Innovation & Entrepreneurship,A. Diffusion & Disruptive Innovation,Diffusion of Innovations | Diffusion of Innovations (Business),2
Lawrence Kohlberg,MANAGEMENT,"Business Ethics, CSR & Governance",C. Business Ethics & Behavioral Ethics,Ethical Decision-Making Models (Business) | Moral Development Theory (Kohlberg),2
Oliver Williamson,MANAGEMENT,Organizational Theory & Design,A. Institutional & Agency Theory,Managerial Empire Building | Transaction Cost Economics,2
Chris Argyris,MANAGEMENT,Organizational Theory & Design,A. Institutional & Agency Theory,Organizational Learning Theory | Single-Loop vs. Double-Loop Learning,2
John Kotter,MANAGEMENT,"Change, Crisis & Organizational Development",A. Change Management,Kotter's 8-Step Change Model | Resistance to Change Theory,2
Bill George,MANAGEMENT,Leadership,A. Relational & Authentic Leadership,Authentic Followership Theory | Authentic Leadership Theory,2
George Homans,MANAGEMENT,Organizational Behavior & Work Psychology,"B. Justice, Exchange & Attitudes",Social Exchange Theory | Social Exchange Theory (OB),2
David Cooperrider,MANAGEMENT,"Change, Crisis & Organizational Development",A. Change Management,Appreciative Inquiry | Appreciative Inquiry (OD),2
Robert Bies,MANAGEMENT,Organizational Behavior & Work Psychology,"B. Justice, Exchange & Attitudes",Fairness Heuristics Theory | Interactional Justice,2
Patrick Wright,MANAGEMENT,Human Resource Management,D. Strategic HRM & Fit,Horizontal Fit (SHRM) | Vertical Fit (SHRM),2
Gary McMahan,MANAGEMENT,Human Resource Management,D. Strategic HRM & Fit,Horizontal Fit (SHRM) | Vertical Fit (SHRM),2
Philip Kotler,MANAGEMENT,Marketing & Consumer Behavior,"B. Branding, Relationship & Social Marketing",Social Marketing Theory | Social Marketing for Environment (Behavioral),2
Jan Johanson,MANAGEMENT,International Business & Cross-Cultural Management,B. Internationalization & Entry Mode,Psychic Distance Theory | Uppsala Model of Internationalization,2
Mark Kramer,MANAGEMENT,"Business Ethics, CSR & Governance",A. CSR Frameworks & Shared Value,Creating Shared Value (CSV) Theory | Shared Value (CSV) Governance Theory,2
Arnold Bakker,MANAGEMENT,Organizational Behavior & Work Psychology,"C. Well-being, Engagement & Deviance",Job Demands-Resources (JD-R) Model | Job Demands-Resources (JD-R) Model (Engagement),2
Evangelia Demerouti,MANAGEMENT,Organizational Behavior & Work Psychology,"C. Well-being, Engagement & Deviance",Job Demands-Resources (JD-R) Model | Job Demands-Resources (JD-R) Model (Engagement),2
applied to IB,MANAGEMENT,International Business & Cross-Cultural Management,C. MNC Behavior & Cognition,Managerial Discretion (IB) | Organizational Slack Theory (IB),2
John French,MANAGEMENT,Organizational Behavior & Work Psychology,"B. Justice, Exchange & Attitudes",French and Raven's Bases of Power | Social Power Theory (Leadership),2
Bertram Raven,MANAGEMENT,Organizational Behavior & Work Psychology,"B. Justice, Exchange & Attitudes",French and Raven's Bases of Power | Social Power Theory (Leadership),2
Richard Emerson,MANAGEMENT,Organizational Behavior & Work Psychology,"B. Justice, Exchange & Attitudes",Power-Dependence Theory | Social Exchange Theory,2
John Freeman,MANAGEMENT,Organizational Theory & Design,"C. Ecology, Resource Dependence & Evolution",Organizational Ecology Theory | Population Ecology of Organizations,2
Christian Grönroos,MANAGEMENT,Marketing & Consumer Behavior,"B. Branding, Relationship & Social Marketing",Relationship Marketing Theory | Service Innovation Theory (Ops),2
Linda Treviño,MANAGEMENT,Leadership,"B. Servant, Shared & Ethical Leadership",Ethical Leadership (CSR) Theory | Ethical Leadership Theory,2
Michael E. Brown,MANAGEMENT,Leadership,"B. Servant, Shared & Ethical Leadership",Ethical Leadership (CSR) Theory | Ethical Leadership Theory,2
Richard Chase,MANAGEMENT,"Operations, Quality & Supply Chain",C. Service Operations,Service Encounter Theory | Service Recovery Paradox Theory,2
Bennett,MANAGEMENT,Organizational Behavior & Work Psychology,"C. Well-being, Engagement & Deviance",Abusive Supervision Theory | Workplace Deviance Theory,2
Robinson,MANAGEMENT,Organizational Behavior & Work Psychology,"C. Well-being, Engagement & Deviance",Abusive Supervision Theory | Workplace Deviance Theory,2
Henry Mintzberg,MANAGEMENT,Strategic Management & Competitive Advantage,"B. Adaptive, Emergent & Real Options",Adaptive Strategy Theory | Emergent Strategy Theory,2
Ann E. Tenbrunsel,MANAGEMENT,Organizational Behavior & Work Psychology,D. Decision Making & Behavioral Ethics,Behavioral Ethics (Organizational Behavior) | Ethical Decision Making (Behavioral Economics),2
David P. Baron,MANAGEMENT,Strategic Management & Competitive Advantage,"B. Adaptive, Emergent & Real Options",Non-Market Strategy (International Business) | Non-Market Strategy Theory,2
Werner F.M. De Bondt,MANAGEMENT,Behavioral Finance & Decision Making,A. Behavioral Asset Pricing & Markets,Extrapolation Bias (Behavioral Finance) | Representativeness Heuristic (Behavioral Finance),2
Lon L. Fuller,LAW,Jurisprudence & Legal Philosophy,A. Natural Law & Normative Foundations,Natural Law Theory (Legal) | Reliance Theory of Contract,2
Antony Anghie,LAW,Critical Legal Studies & Critical Race Theory,A. Critical Legal Studies (CLS) & Indeterminacy,Postcolonial Legal Theory | Third World Approaches to International Law (TWAIL),2
Hans Morgenthau,LAW,International & Human Rights Law,A. International Law Theory (Positivism/Realism/TWAIL),International Legal Realism | Realism (IR),2
David Held,LAW,International & Human Rights Law,A. International Law Theory (Positivism/Realism/TWAIL),Cosmopolitanism (International Law) | Cosmopolitanism (Political),2
Richard Posner,LAW,Law and Economics,A. Foundational Law & Economics (Coase/Efficiency),Law and Economics (General) | Law and Literature,2
Guido Calabresi,LAW,Law and Economics,A. Foundational Law & Economics (Coase/Efficiency),Distributive Justice (Tort) | Law and Economics (General),2
Antonin Scalia,LAW,Constitutional Theory & Public Law,B. Constitutional Interpretation (Originalism/Textualism/Living),Originalism (Constitutional) | Textualism (Constitutional),2
Howard Zehr,LAW,"Criminal Law, Punishment & Restorative Justice",A. Punishment Theory (Retribution/Deterrence/Rehabilitation),Restorative Justice | Restorative Justice (Legal),2
Thomas Pogge,LAW,International & Human Rights Law,"C. Global Justice, Constitutionalism & Development",Global Distributive Justice (Legal) | Global Justice Theory,2
Peter L. Berger,LAW,Law and Society & Sociology of Law,"B. Social Control, Deviance & Legal Culture",Social Construction of Law Theory | Social Construction of Reality,2
Thomas Luckmann,LAW,Law and Society & Sociology of Law,"B. Social Control, Deviance & Legal Culture",Social Construction of Law Theory | Social Construction of Reality,2
Joshua Greene,LAW,"Law, Psychology, Neuroscience & Emotion",B. NeuroLaw & Free Will,Moral Brain Networks Theory | NeuroLaw Theory,2
Nicholas Blomley,LAW,Legal History & Historical Jurisprudence,"C. Microhistory, Memory & Legal Geography",Law and Space Theory | Law and the City Theory,2
Carlo Ginzburg,LAW,Legal History & Historical Jurisprudence,"C. Microhistory, Memory & Legal Geography",Legal Microhistory | Microhistory,2
Daniel Farber,LAW,Applied & Public-Welfare Law,"A. Public Health, Disaster & Global Health Law",Climate Change Law Theory | Disaster Law Theory,2
Lawrence O. Gostin,LAW,Applied & Public-Welfare Law,"A. Public Health, Disaster & Global Health Law",Global Health Law Theory | Public Health Law Theory,2
Laurence Steinberg,LAW,"Criminal Law, Punishment & Restorative Justice","C. Criminal Justice, Forensics & Neuroscience",Adolescent Autonomy Granting Theory | Developmental Psychology in Juvenile Justice,2
Elinor Ostrom,LAW,"Private Law (Torts, Contracts, Property)",C. Property Theory & The Commons,Commons Governance Theory (Legal) | Prosocial Behavior in Public Goods (Behavioral),2
Talcott Parsons,Society,Classical Sociological Traditions,A. Core Theories & Medicalization,Parsonian Sick Role Theory | Structural Functionalism,2
John D. McCarthy,Society,Specific Social Phenomena Theories,B. Political Sociology (Advanced),Resource Mobilization Theory | Resource Mobilization Theory (Political Sociology),2
Mayer N. Zald,Society,Specific Social Phenomena Theories,B. Political Sociology (Advanced),Resource Mobilization Theory | Resource Mobilization Theory (Political Sociology),2
Roland Robertson,Society,Contemporary Social Theories,Globalization & World-Systems,Globalization Theory (Social) | Glocalization,2
Doug McAdam,Society,Contemporary Social Theories,Social Movements,Political Process Theory | Political Process Theory (Political Sociology),2
Sidney Tarrow,Society,Contemporary Social Theories,Social Movements,Political Process Theory | Political Process Theory (Political Sociology),2
Alain Touraine,Society,Contemporary Social Theories,Social Movements,New Social Movement Theory | New Social Movement Theory (Political Sociology),2
Alberto Melucci,Society,Contemporary Social Theories,Social Movements,New Social Movement Theory | New Social Movement Theory (Political Sociology),2
Michael Marmot,Society,Advanced & Applied Social Theories,Health & Illness,Social Determinants of Health | Social Determinants of Health Theory,2
Ivan Illich,Society,Advanced & Applied Social Theories,Health & Illness,Medicalization | Medicalization Theory,2
Michael Omi,Society,Advanced & Applied Social Theories,Race & Ethnicity,Racial Formation Theory | Racial Formation Theory (Historical),2
André Gunder Frank,Society,Advanced & Applied Social Theories,Globalization & Development,Dependency Theory | Dependency Theory (IR),2
Gayatri Spivak,Society,Advanced & Applied Social Theories,General Social Theories,Postcolonial Theory | The Burden of Representation,2
James G. March,Society,Advanced & Applied Social Theories,General Social Theories,Garbage Can Model (Policy) | New Institutionalism,2
Daniel Bell,Society,Advanced & Applied Social Theories,General Social Theories,Post-Industrial Society | The Information Society,2
Georg Lukács,Society,Advanced & Applied Social Theories,General Social Theories,Marxist Criticism | Reification,2
Erik Olin Wright,Society,Advanced & Applied Social Theories,General Social Theories,Critical Utopianism | Cumulative Disadvantage Theory,2
Paul Slovic,Society,Advanced & Applied Social Theories,General Social Theories,Risk Perception Theory | Risk Perception in Health (Behavioral Health Economics),2
Harold Garfinkel,Society,Advanced & Applied Social Theories,General Social Theories,Breaching Experiments | Ethnomethodology,2
Thomas Hobbes,Politics,Early Modern & Enlightenment Political Thought,A. Social Contract Theory,Leviathan (Political Theory) | State of Nature,2
John Stuart Mill,Politics,Early Modern & Enlightenment Political Thought,B. Enlightenment & Liberalism,Liberalism (Political Theory) | Utilitarianism (Political Theory),2
James Madison,Politics,Early Modern & Enlightenment Political Thought,C. Republicanism & Civic Humanism,Civic Virtue (Political Theory) | Mixed Government (Republicanism),2
Polybius,Politics,Early Modern & Enlightenment Political Thought,C. Republicanism & Civic Humanism,Cyclical Theory of History | Mixed Government (Republicanism),2
Herbert Marcuse,Politics,Radical & Critical Traditions,C. Critical Theory & Neo-Marxism,Frankfurt School (Political Theory) | One-Dimensional Man,2
Amartya Sen,Politics,"Justice, Recognition & Community",A. Liberalism & Justice,Capability Approach (Political Theory) | Social Justice in Health,2
Michael Walzer,Politics,"Justice, Recognition & Community",B. Communitarianism & Civic Republicanism,Just War Theory | Spheres of Justice,2
Theda Skocpol,Politics,"Behavioral, Sociological & Policy Sciences",B. Political Sociology (Advanced),Comparative Historical Analysis | State Autonomy Theory,2
John W. Kingdon,Politics,"Behavioral, Sociological & Policy Sciences",C. Public Policy & Administration,Agenda Setting (Public Policy) | Policy Streams (Policy Process),2
Juan J. Linz,Politics,Political Economy & Comparative Politics,C. Comparative Politics,Authoritarian Regimes Theory | Transitology,2
Philip Pettit,Politics,Contemporary Political Philosophy,A. Political Philosophy (Contemporary),Non-Domination (Political) | Republican Liberty (Neo-Republicanism),2
Quentin Skinner,Politics,Contemporary Political Philosophy,A. Political Philosophy (Contemporary),History of Political Thought | Republican Liberty (Neo-Republicanism),2
