theorist,concept,part,major,sub,source_title
Plato,Theory of Mimesis,ART,Aesthetics & Philosophy of Art,A. Classical & Philosophical Aesthetics,CSV
Plato,Theory of Forms,Politics,Classical & Pre-Modern Political Thought,A. Ancient Greek Philosophy,CSV
Aristotle,Theory of Mimesis,ART,Aesthetics & Philosophy of Art,A. Classical & Philosophical Aesthetics,CSV
Aristotle,Catharsis,ART,Aesthetics & Philosophy of Art,A. Classical & Philosophical Aesthetics,CSV
Aristotle,Politics as the Art of the Possible,Politics,Classical & Pre-Modern Political Thought,A. Ancient Greek Philosophy,CSV
Aristotle,Politeia (Mixed Constitution),Politics,Classical & Pre-Modern Political Thought,A. Ancient Greek Philosophy,CSV
Aristotle,Rhetorical Criticism,Critics,Rhetorical & Discourse,A. Rhetorical Criticism & Dramatism,CSV
Immanuel Kant,The Sublime,ART,Aesthetics & Philosophy of Art,A. Classical & Philosophical Aesthetics,CSV
Immanuel Kant,Disinterest (Aesthetic),ART,Aesthetics & Philosophy of Art,A. Classical & Philosophical Aesthetics,CSV
Immanuel Kant,Deontology (Business Ethics),MANAGEMENT,"Business Ethics, CSR & Governance",C. Business Ethics & Behavioral Ethics,CSV
Immanuel Kant,Cosmopolitanism (International Law),LAW,International & Human Rights Law,A. International Law Theory (Positivism/Realism/TWAIL),CSV
Immanuel Kant,Retributive Justice,LAW,"Criminal Law, Punishment & Restorative Justice",A. Punishment Theory (Retribution/Deterrence/Rehabilitation),CSV
Immanuel Kant,Liberal Internationalism,Politics,International Relations & Security,A. International Relations,CSV
Immanuel Kant,Democratic Peace Theory,Politics,Contemporary Political Philosophy,A. Political Philosophy (Contemporary),CSV
Immanuel Kant,Aesthetic Value Theory,Critics,Phenomenological & Hermeneutic,B. Aesthetics & Phenomenology of Reading,CSV
Immanuel Kant,Disinterest (Aesthetic in Literary Criticism),Critics,Phenomenological & Hermeneutic,B. Aesthetics & Phenomenology of Reading,CSV
Edmund Burke,The Sublime,ART,Aesthetics & Philosophy of Art,A. Classical & Philosophical Aesthetics,CSV
Edmund Burke,Reflections on the Revolution in France,Politics,Early Modern & Enlightenment Political Thought,D. Conservatism & Counter-Enlightenment,CSV
Théophile Gautier,Art for Art's Sake (L'art pour l'art),ART,Aesthetics & Philosophy of Art,A. Classical & Philosophical Aesthetics,CSV
Oscar Wilde,Art for Art's Sake (L'art pour l'art),ART,Aesthetics & Philosophy of Art,A. Classical & Philosophical Aesthetics,CSV
Walter Benjamin,Aura,ART,Aesthetics & Philosophy of Art,A. Classical & Philosophical Aesthetics,CSV
Walter Benjamin,History of Photography,History,Cultural History,C. Art & Visual Culture,CSV
Walter Benjamin,The Work of Art in the Age of Mechanical Reproduction,Culture,Critical Theory & Frankfurt School,A. Culture Industry & Instrumental Reason,CSV
Walter Benjamin,Flâneur,Critics,Marxist & Materialist,Frankfurt School & Critical Theory,OurList
Clive Bell,Formalism,ART,Aesthetics & Philosophy of Art,A. Classical & Philosophical Aesthetics,CSV
Clement Greenberg,Formalism,ART,Aesthetics & Philosophy of Art,A. Classical & Philosophical Aesthetics,CSV
Leo Tolstoy,Expression Theory of Art,ART,Aesthetics & Philosophy of Art,A. Classical & Philosophical Aesthetics,CSV
Benedetto Croce,Expression Theory of Art,ART,Aesthetics & Philosophy of Art,A. Classical & Philosophical Aesthetics,CSV
Erwin Panofsky,Iconography,ART,Art History & Historiography,A. Iconology & Social History of Art,CSV
Erwin Panofsky,Iconology,ART,Art History & Historiography,A. Iconology & Social History of Art,CSV
Arnold Hauser,Social History of Art,ART,Art History & Historiography,A. Iconology & Social History of Art,CSV
T.J. Clark,Social History of Art,ART,Art History & Historiography,A. Iconology & Social History of Art,CSV
John Burke,Cultural History of Art,ART,Art History & Historiography,A. Iconology & Social History of Art,CSV
Peter Burke,Cultural History of Art,ART,Art History & Historiography,A. Iconology & Social History of Art,CSV
Peter Burke,History of Popular Culture,History,Cultural History,A. Cultural Practices,CSV
Peter Burke,Social History of Knowledge,History,Intellectual History,C. Reception & Knowledge,CSV
Peter Burke,History of Laughter,History,"Gender, Body & Emotions History",B. History of Emotions,CSV
