theorist,source,harvested_concepts
Michel Foucault,Both,39
Daniel Kahneman,Both,27
Richard Thaler,DB,24
Erving Goffman,Both,18
Cass Sunstein,Both,17
Pierre Bourdieu,Both,16
Amos Tversky,DB,16
Max Weber,Both,13
Arlie Russell Hochschild,Both,12
Judith Butler,Both,11
Roland Barthes,Both,11
Émile Durkheim,DB,11
Jürgen Habermas,Both,11
Karl Marx,Both,11
Anthony Giddens,Both,11
Edward Said,Both,10
Sigmund Freud,Both,10
Stuart Hall,Both,10
Albert Bandura,DB,10
Arthur Kleinman,DB,10
Ernst Fehr,DB,10
George A. Akerlof,DB,10
Immanuel Kant,DB,9
Raymond Williams,Both,9
Gayatri Chakravorty Spivak,Both,9
Leon Festinger,Both,9
Frank Pasquale,Both,9
Gary Becker,Both,9
Bruno Latour,Both,9
Murray Bowen,DB,9
Jacques Derrida,Both,9
Fredric Jameson,Both,9
Martha Nussbaum,Both,9
David Hesmondhalgh,Both,8
Hersh Shefrin,DB,8
Ulrich Beck,Both,8
Deborah Lupton,Both,8
Chantal Mouffe,Both,8
Theodor Adorno,Both,8
Rachel E. Kranton,DB,8
Homi K. Bhabha,Both,7
Susan Sontag,Both,7
Icek Ajzen,DB,7
John Rawls,Both,7
Charles Taylor,Both,7
Jean Baudrillard,Both,7
Charles Tilly,DB,7
Martin Seligman,Both,7
Leda Cosmides,DB,7
John Tooby,DB,7
Julia Kristeva,Both,7
Rosemarie Garland-Thomson,Both,7
Arjun Appadurai,Both,7
Paul Farmer,DB,7
Victor Turner,Both,6
Richard Schechner,Both,6
Dick Hebdige,Both,6
Carl Jung,Both,6
Guy Debord,Both,6
Marshall McLuhan,Both,6
Lev Manovich,Both,6
Cathy Caruth,Both,6
Laura Mulvey,Both,6
Georg Simmel,Both,6
Joanne Entwistle,Both,6
Andrei Shleifer,DB,6
Zygmunt Bauman,Both,6
Manuel Castells,Both,6
Ernesto Laclau,Both,6
Slavoj Žižek,Both,6
Philippe Ariès,Both,6
David Buss,DB,6
Henry Jenkins,Both,6
George Loewenstein,DB,6
W. Brian Arthur,DB,6
Aristotle,DB,5
Simon Frith,Both,5
Jacques Attali,Both,5
Eve Kosofsky Sedgwick,Both,5
Jacques Lacan,DB,5
Rosi Braidotti,DB,5
Mihaly Csikszentmihalyi,Both,5
Abraham Maslow,DB,5
John Turner,DB,5
Meir Statman,DB,5
Geert Hofstede,DB,5
John Thibaut,DB,5
Milton Friedman,Both,5
David Harvey,Both,5
Robert K. Merton,Both,5
Louis Althusser,DB,5
Sara Ahmed,Both,5
George Ritzer,Both,5
Niklas Luhmann,Both,5
Thorstein Veblen,Both,5
E.P. Thompson,DB,5
James C. Scott,Both,5
Jean-Jacques Rousseau,Both,5
Carl Schmitt,Both,5
Giorgio Agamben,Both,5
Friedrich Hayek,Both,5
Marc Bloch,DB,5
Hans-Georg Gadamer,DB,5
Joan Wallach Scott,Both,5
Walter Mignolo,Both,5
Urie Bronfenbrenner,DB,5
Viktor Frankl,DB,5
John Gottman,DB,5
Noam Chomsky,Both,5
Umberto Eco,Both,5
bell hooks,Both,5
Joseph Campbell,Both,5
Timothy Morton,Both,5
Tarleton Gillespie,Both,5
R. Murray Schafer,Both,5
Paul Ekman,Both,5
Steven Pinker,Both,5
Toby Miller,Both,5
Nikolas Rose,Both,5
Walter Benjamin,Both,4
Peter Burke,DB,4
Tia DeNora,Both,4
Northrop Frye,DB,4
Harry Edwards,Both,4
Claude Lévi-Strauss,DB,4
Maurice Halbwachs,DB,4
Geoffrey Miller,DB,4
Philip Auslander,Both,4
Howard Gardner,Both,4
Irving L. Janis,DB,4
Henri Tajfel,DB,4
Michael Porter,DB,4
John Cacioppo,DB,4
Eugene Fama,Both,4
B.F. Skinner,DB,4
Clayton Christensen,Both,4
R. Edward Freeman,DB,4
Walter Powell,DB,4
Jeremy Bentham,DB,4
Kimberlé Crenshaw,Both,4
Derald Wing Sue,DB,4
Carol Gilligan,Both,4
John Locke,DB,4
Lawrence Lessig,Both,4
Viktor Mayer-Schönberger,Both,4
Howard S. Becker,DB,4
Gilles Deleuze,Both,4
Peter Conrad,DB,4
Wiebe Bijker,DB,4
Trevor Pinch,DB,4
Murray Edelman,Both,4
Norbert Elias,Both,4
Saskia Sassen,Both,4
Karl Polanyi,DB,4
Luc Boltanski,Both,4
Nick Couldry,Both,4
Guy Standing,Both,4
Neil Postman,Both,4
Stanley Cohen,Both,4
Adam Smith,Both,4
Niccolò Machiavelli,Both,4
Antonio Gramsci,Both,4
Max Horkheimer,DB,4
Simone de Beauvoir,Both,4
Jacques Rancière,Both,4
Maurice Duverger,Both,4
Friedrich Nietzsche,Both,4
Paul Ricoeur,DB,4
Clifford Geertz,Both,4
Hans Robert Jauss,DB,4
Wendy Hui Kyong Chun,Both,4
Pierre Nora,Both,4
Hayden White,DB,4
Patrick Wolfe,Both,4
David Graeber,Both,4
Richard Sennett,Both,4
Salvador Minuchin,DB,4
John Bowlby,DB,4
Hans Selye,DB,4
Carl Rogers,DB,4
Harold Kelley,DB,4
Richard Lazarus,DB,4
Susan Folkman,DB,4
Robert Trivers,DB,4
Robert Cialdini,DB,4
Jeffrey Gray,DB,4
Vittorio Gallese,DB,4
Walter Mischel,DB,4
Judith Herman,Both,4
Hélène Cixous,Both,4
Kenneth Burke,DB,4
Franco Moretti,DB,4
Sianne Ngai,Both,4
Laura U. Marks,Both,4
Cary Wolfe,Both,4
Michel Chion,Both,4
Richard Dyer,Both,4
Jack Halberstam,Both,4
Ann Cvetkovich,Both,4
Wayne C. Booth,DB,4
Mikhail Bakhtin,Both,4
Steven Shaviro,Both,4
Konrad Lorenz,Both,4
Frans de Waal,DB,4
Joseph LeDoux,DB,4
Herbert Gintis,DB,4
Michel de Certeau,Both,4
Ruth Benedict,Both,4
Tony Walter,Both,4
Richard Dawkins,Both,4
Limor Shifman,Both,4
Koichi Iwabuchi,Both,4
George Akerlof,DB,4
Robert J. Shiller,DB,4
Esther Duflo,DB,4
Joseph Schumpeter,Both,4
Daron Acemoglu,Both,4
Rita Charon,DB,4
Achille Mbembe,Both,4
Marcel Mauss,Both,4
Arthur Frank,Both,4
J.L. Austin,DB,3
Stephen Greenblatt,DB,3
Elaine Showalter,DB,3
W.J.T. Mitchell,DB,3
Linda Tuhiwai Smith,DB,3
Henri Lefebvre,DB,3
Denis Dutton,DB,3
Victor Vroom,DB,3
J. Stacy Adams,DB,3
Fred Fiedler,DB,3
Herbert A. Simon,DB,3
Martin Fishbein,DB,3
Kevin Lane Keller,DB,3
James S. Coleman,DB,3
Denise Rousseau,DB,3
Paul DiMaggio,DB,3
John W. Meyer,DB,3
Kurt Lewin,DB,3
James March,DB,3
Mark Granovetter,DB,3
Max H. Bazerman,DB,3
Kenneth Thomas,DB,3
Ralph Kilmann,DB,3
H.L.A. Hart,DB,3
Derrick Bell,DB,3
Catharine MacKinnon,Both,3
Elizabeth Loftus,DB,3
Richard Delgado,DB,3
Antoinette Rouvroy,DB,3
Peter N. Stearns,DB,3
Robert Cooter,DB,3
Thomas S. Ulen,DB,3
Immanuel Wallerstein,DB,3
Robert Bullard,DB,3
World Health Organization,DB,3
George Gerbner,Both,3
Norman Fairclough,DB,3
Axel Honneth,DB,3
Randall Collins,Both,3
Mary Douglas,DB,3
Jean-François Lyotard,DB,3
Joan Tronto,DB,3
Friedrich Engels,DB,3
Vladimir Lenin,DB,3
Vilfredo Pareto,Both,3
Frantz Fanon,Both,3
Leopold von Ranke,DB,3
Linda Hutcheon,DB,3
Dipesh Chakrabarty,Both,3
Dominick LaCapra,DB,3
Charles Rosenberg,DB,3
Jan Assmann,DB,3
Robert Darnton,DB,3
Leo Marx,DB,3
Reinhart Koselleck,DB,3
Alain Corbin,DB,3
Jeffrey Olick,DB,3
Daniel Miller,Both,3
Sidney Mintz,DB,3
Don D. Jackson,DB,3
Virginia Satir,DB,3
Patricia Hill Collins,DB,3
George W. Brown,DB,3
Sidney Cobb,DB,3
Lev Vygotsky,DB,3
Erik Erikson,DB,3
Melanie Klein,DB,3
George Lakoff,DB,3
Mark Johnson,DB,3
Robert Sternberg,Both,3
Hazel Rose Markus,DB,3
Steve de Shazer,DB,3
Wolfram Schultz,DB,3
James J. Gross,DB,3
James O. Prochaska,DB,3
Bruce McEwen,DB,3
Stanley Fish,DB,3
Wolfgang Iser,DB,3
Lawrence Buell,DB,3
Jane Bennett,DB,3
John Fiske,DB,3
Charles Darwin,DB,3
Robert Boyd,DB,3
Peter J. Richerson,DB,3
Robert Plomin,DB,3
Julian Steward,DB,3
Eric Lenneberg,DB,3
Gerd Gigerenzer,DB,3
Joseph Nye,Both,3
David Laibson,DB,3
Colin Camerer,DB,3
Samuel Bowles,DB,3
Abhijit Banerjee,DB,3
Bryan Caplan,DB,3
Richard Layard,DB,3
Richard H. McAdams,DB,3
Richard R. Nelson,DB,3
Sidney G. Winter,DB,3
Byron Good,DB,3
Bryan S. Turner,Both,3
Abeba Birhane,Both,3
Adrian Mackenzie,Both,3
Alison Kafer,Both,3
Amanda D. Lotz,Both,3
Aníbal Quijano,Both,3
Antonio Casilli,Both,3
Arturo Escobar,Both,3
Audra Simpson,Both,3
Becca Lewis,Both,3
Bill Nichols,Both,3
Britt Paris,Both,3
Brenda LeFrançois,Both,3
Cathy O'Neil,Both,3
C. Riley Snorton,Both,3
Debbie Ging,Both,3
Emily M. Bender,Both,3
Enrique Dussel,Both,3
E. Patrick Johnson,Both,3
Eli Clare,Both,3
Felwine Sarr,Both,3
Francesco Casetti,Both,3
Frank B. Wilderson III,Both,3
Glen Coulthard,Both,3
Hamid Dabashi,Both,3
Hil Malatino,Both,3
Hito Steyerl,Both,3
Jasbir K. Puar,Both,3
Jennifer M. Barker,Both,3
Jennifer DeClue,Both,3
Jennifer Fay,Both,3
Joan Donovan,Both,3
Joseph Massad,Both,3
Joy Buolamwini,Both,3
Jules Gill-Peterson,Both,3
Kara Keeling,Both,3
Karen Hao,Both,3
Karen Redrobe,Both,3
Karl Schoonover,Both,3
Kate Crawford,Both,3
Kathleen Stewart,Both,3
Kyla Schuller,Both,3
Leanne Betasamosake Simpson,Both,3
Lisa Parks,Both,3
María Lugones,Both,3
Marquis Bey,Both,3
Mary L. Gray,Both,3
Meredith Whittaker,Both,3
Neta Alexander,Both,3
Paul B. Preciado,Both,3
Pheng Cheah,Both,3
Pooja Rangan,Both,3
Rita Segato,Both,3
Roderick Ferguson,Both,3
Sabelo J. Ndlovu-Gatsheni,Both,3
Safiya Umoja Noble,Both,3
Saidiya Hartman,Both,3
Sami Schalk,Both,3
Sara Roy,Both,3
Shane Denson,Both,3
Simone Browne,Both,3
Souleymane Bachir Diagne,Both,3
Susan Stryker,Both,3
Sylvia Tamale,Both,3
Sylvia Wynter,Both,3
Syed Hussein Alatas,Both,3
Talia Mae Bettcher,Both,3
Thomas Elsaesser,Both,3
Tiago de Luca,Both,3
Timnit Gebru,Both,3
Trevor Paglen,Both,3
Ulises A. Mejias,Both,3
Virginia Eubanks,Both,3
Vivian Sobchack,Both,3
Ackbar Abbas,Ours,3
Adam Tooze,Ours,3
Adrienne Massanari,Ours,3
Albert O. Hirschman,Ours,3
Alice E. Marwick,Ours,3
Angela McRobbie,Ours,3
Byung-Chul Han,Ours,3
Crystal Abidin,Ours,3
Cynthia Enloe,Ours,3
P. David Marshall,Ours,3
Donna Haraway,Ours,3
Ellis Cashmore,Ours,3
Emile Durkheim,Ours,3
Eva Illouz,Ours,3
Cho Hae-joang (조한혜정),Ours,3
Christina Sharpe,Ours,3
Dai Jinhua (戴錦華),Ours,3
Fabian Holt,Ours,3
Frances Negrón-Muntaner,Ours,3
Francesca Royster,Ours,3
"Franco ""Bifo"" Berardi",Ours,3
Fred Moten,Ours,3
G.N. Devy,Ours,3
Gabriella Coleman,Ours,3
Garry Whannel,Ours,3
Geert Lovink,Ours,3
Gene Sharp,Ours,3
Georges Bataille,Ours,3
Gerald Curtis,Ours,3
Gilles Lipovetsky,Ours,3
Ginette Vincendeau,Ours,3
Gisèle Sapiro,Ours,3
Glauber Rocha,Ours,3
Graeme Turner,Ours,3
Greg Tate,Ours,3
Haiqing Yu,Ours,3
Hamid Naficy,Ours,3
Hannah Arendt,Ours,3
Hans Ulrich Gumbrecht,Ours,3
Hany Farid,Ours,3
Harry Collins,Ours,3
Henri Bergson,Ours,3
Herman Gray,Ours,3
Hernando de Soto,Ours,3
Hilary Mantel,Ours,3
Hiroshi Aoyagi,Ours,3
Iain Borden,Ours,3
Ian Condry,Ours,3
Idelber Avelar,Ours,3
Ien Ang,Ours,3
Imogen Tyler,Ours,3
Israel Kirzner,Ours,3
Jack Katz,Ours,3
Jair Bolsonaro,Ours,3
James M. Buchanan,Ours,3
James Lovelock,Ours,3
James Naremore,Ours,3
Jan-Werner Müller,Ours,3
Janice Radway,Ours,3
Jay David Bolter,Ours,3
Jayati Ghosh,Ours,3
Jean Burgess,Ours,3
Jean Murley,Ours,3
Jean Twenge,Ours,3
Jean and John Comaroff,Ours,3
Jean-Noël Kapferer,Ours,3
Jeffrey Jones,Ours,3
Jennifer Doyle,Ours,3
Jennifer Hargreaves,Ours,3
Jennifer Robertson,Ours,3
Jesper Juul,Ours,3
Jian Lin,Ours,3
Jill Walker Rettberg,Ours,3
Johan Huizinga,Ours,3
John B. Thompson,Ours,3
John Bale,Ours,3
John J. Mearsheimer,Ours,3
John Lie,Ours,3
John Street,Ours,3
John Urry,Ours,3
John von Neumann,Ours,3
Jon Ronson,Ours,3
Jonathan Haidt,Ours,3
José Esteban Muñoz,Ours,3
Joseph Gusfield,Ours,3
Judith Shklar,Ours,3
Julian McDougall,Ours,3
Julian Simon,Ours,3
Joanna Zylinska,Ours,3
Juana María Rodríguez,Ours,3
Mark Fisher (K-Punk),Ours,3
Kaori Hayashi,Ours,3
Karl Mannheim,Ours,3
Kate Manne,Ours,3
Katherine Angel,Ours,3
Keith Grint,Ours,3
Kim Lane Scheppele,Ours,3
Kishonna Gray,Ours,3
Kobena Mercer,Ours,3
Krishnendu Ray,Ours,3
Kyle William Bishop,Ours,3
Kyra Gaunt,Ours,3
Laura Clancy,Ours,3
Lauren Berlant,Ours,3
Leah Plunkett,Ours,3
Lee Thompson,Ours,3
Lennard J. Davis,Ours,3
Lewis Coser,Ours,3
Lila Abu-Lughod,Ours,3
Lilie Chouliaraki,Ours,3
Lina Khan,Ours,3
Linda Williams,Ours,3
Linda Woodhead,Ours,3
Lisa Messeri,Ours,3
Lisa Nakamura,Ours,3
Liz Giuffre,Ours,3
Loïc Wacquant,Ours,3
Ludwig von Mises,Ours,3
Madhav Prasad,Ours,3
Mae Ngai,Ours,3
Malcolm Gladwell,Ours,3
Margaret Gibson,Ours,3
Marijke de Valck,Ours,3
Marilyn Strathern,Ours,3
Marina Warner,Ours,3
Mark Andrejevic,Ours,3
Mark Banks,Ours,3
Mark D. West,Ours,3
Mark McLelland,Ours,3
Mark Seltzer,Ours,3
Mary Beltrán,Ours,3
Masao Maruyama,Ours,3
Matt Hills,Ours,3
Matthew Gentzkow,Ours,3
Matthew Gutmann,Ours,3
Matt Ridley,Ours,3
McKenzie Wark,Ours,3
Mia Consalvo,Ours,3
Michael Billig,Ours,3
Michael Kimmel,Ours,3
Michael Messner,Ours,3
Michael Sandel,Ours,3
Michael Schudson,Ours,3
Michel Maffesoli,Ours,3
Michelle Alexander,Ours,3
Mike Featherstone,Ours,3
Miquela Sousa (Lil Miquela),Ours,3
Mireya Solís,Ours,3
Molara Ogundipe,Ours,3
Molly Haskell,Ours,3
Monica L. Miller,Ours,3
Nancy Baym,Ours,3
Nancy Chodorow,Ours,3
Nancy Fraser,Ours,3
Naomi Klein,Ours,3
Naomi Wolf,Ours,3
Nassim Nicholas Taleb,Ours,3
Nate Silver,Ours,3
Nicholas Tavuchis,Ours,3
Nick Bostrom,Ours,3
Nick Dyer-Witheford,Ours,3
Nicole Constable,Ours,3
Nicole R. Fleetwood,Ours,3
Nikhil Pahwa,Ours,3
Nils Christie,Ours,3
Nira Yuval-Davis,Ours,3
Norman Denzin,Ours,3
Olivier Roy,Ours,3
Orrin Klapp,Ours,3
Otto Kirchheimer,Ours,3
Oyeronke Oyewumi,Ours,3
Kim Soyoung (김소영),Ours,3
Kuan-Hsing Chen (陳光興),Ours,3
Leah Lakshmi Piepzna-Samarasinha,Ours,3
Nadia Bozak,Ours,3
Nelson Maldonado-Torres,Ours,3
Paddy Scannell,Ours,3
