OldTrueMajor,NewMajorNo,NewMajorName,NewSub,Action,Note
A. Ancient Greek Philosophy,1,Classical & Pre-Modern Political Thought,A. Ancient Greek Philosophy,keep,"Theory of Forms / Politics as Art of the Possible / Politeia"
B. Roman and Medieval Thought,1,Classical & Pre-Modern Political Thought,B. Roman & Medieval Thought,keep,"Natural Law / Two Swords Theory"
A. Social Contract Theory,2,Early Modern & Enlightenment Political Thought,A. Social Contract Theory,keep,"State of Nature / Leviathan / Consent of the Governed / General Will"
B. Enlightenment & Liberalism,2,Early Modern & Enlightenment Political Thought,B. Enlightenment & Liberalism,keep,"Separation of Powers / Liberalism / Utilitarianism"
C. Republicanism & Civic Humanism,2,Early Modern & Enlightenment Political Thought,C. Republicanism & Civic Humanism,keep,"Civic Virtue / Mixed Government"
D. Conservatism & Counter-Enlightenment,2,Early Modern & Enlightenment Political Thought,D. Conservatism & Counter-Enlightenment,keep,"Reflections on the Revolution in France / Organic Society"
A. Marxism & Socialism,3,Radical & Critical Traditions,A. Marxism & Socialism,keep,"Historical Materialism / Dictatorship of the Proletariat / Imperialism"
B. Anarchism & Syndicalism,3,Radical & Critical Traditions,B. Anarchism & Syndicalism,keep,"Mutual Aid / Propaganda of the Deed"
A. Critical Theory & Neo-Marxism,3,Radical & Critical Traditions,C. Critical Theory & Neo-Marxism,keep,"Hegemony / Frankfurt School / One-Dimensional Man; old A-prefix relettered to C to dedup within Major"
C. Post-Structuralism & Postmodern Politics,3,Radical & Critical Traditions,D. Post-Structuralism & Postmodern Politics,keep,"Governmentality / Biopolitics / Power-Knowledge / Spectacle / Metanarratives"
C. Elitism & Realism,4,"Power, Elites & Classical Democratic Theory",A. Elitism & Realism,keep,"Iron Law of Oligarchy / The Ruling Class / Circulation of Elites"
D. Early Democratic Theory,4,"Power, Elites & Classical Democratic Theory",B. Early Democratic Theory,keep,"Deliberative Democracy (Dewey) / Pluralism (Dahl)"
B. Totalitarianism & Authoritarianism,4,"Power, Elites & Classical Democratic Theory",C. Totalitarianism & Authoritarianism,keep,"Origins of Totalitarianism / State of Exception"
D. Liberalism & Justice,5,"Justice, Recognition & Community",A. Liberalism & Justice,keep,"Theory of Justice / Original Position & Veil of Ignorance / Capability Approach"
E. Communitarianism & Civic Republicanism,5,"Justice, Recognition & Community",B. Communitarianism & Civic Republicanism,keep,"Spheres of Justice / Politics of Recognition"
I. Identity Politics,5,"Justice, Recognition & Community",C. Identity Politics,keep,"Identity Politics / Recognition Politics"
K. Philosophy of Law & Justice,5,"Justice, Recognition & Community",D. Philosophy of Law & Justice,keep,"Restorative Justice / Transitional Justice"
F. Postcolonial & Decolonial Politics,6,"Postcolonial, Feminist & Environmental Politics",A. Postcolonial & Decolonial Politics,keep,"Orientalism / The Wretched of the Earth / Subaltern Studies"
G. Feminism & Gender in Politics,6,"Postcolonial, Feminist & Environmental Politics",B. Feminism & Gender in Politics,keep,"The Second Sex / Gender as Performance / Intersectionality"
D. Environmental Politics & Justice,6,"Postcolonial, Feminist & Environmental Politics",C. Environmental Politics & Justice,keep,"Ecocentrism / Environmental Justice / Climate Justice"
A. Deliberative & Participatory Democracy,7,Democratic Theory & Contemporary Contestation,A. Deliberative & Participatory Democracy,keep,"Deliberative Polling / Participatory Budgeting"
F. Democratic Theory (Advanced),7,Democratic Theory & Contemporary Contestation,B. Democratic Theory (Advanced),keep,"Agonistic Pluralism / Associative Democracy / Post-Democracy"
B. Populism & Post-Politics,7,Democratic Theory & Contemporary Contestation,C. Populism & Post-Politics,keep,"Populism (Laclau/Mouffe) / Post-Politics; populist-media bridge to Sub D"
G. Digital Politics & Governance,7,Democratic Theory & Contemporary Contestation,D. Digital Politics & Governance,keep,"CANONICAL HOME for contemporary digital politics - Digital Citizenship Theory / Algorithmic Governance; covers platform governance, algorithmic power, social/populist media"
H. Political Psychology,8,"Behavioral, Sociological & Policy Sciences",A. Political Psychology,keep,"Political Socialization Theory / Groupthink"
M. Political Sociology (Advanced),8,"Behavioral, Sociological & Policy Sciences",B. Political Sociology (Advanced),keep,"Resource Mobilization / Political Process / New Social Movement / State Autonomy / Regime Theory"
N. Public Policy & Administration,8,"Behavioral, Sociological & Policy Sciences",C. Public Policy & Administration,keep,"Agenda Setting / Policy Streams / Punctuated Equilibrium / Garbage Can Model"
C. Political Economy & Neoliberalism,9,Political Economy & Comparative Politics,A. Political Economy & Neoliberalism,keep,"Neoliberalism / Financialization / Austerity; old C-prefix relettered A to dedup within Major"
L. Political Economy (Advanced),9,Political Economy & Comparative Politics,B. Political Economy (Advanced),keep,"Regulation Theory / Varieties of Capitalism / Disembedding / Fictitious Commodities"
O. Comparative Politics,9,Political Economy & Comparative Politics,C. Comparative Politics,keep,"Comparative Historical Analysis / Electoral Systems / Modernization / Authoritarian Regimes"
P. Post-Soviet & Transition Studies,9,Political Economy & Comparative Politics,D. Post-Soviet & Transition Studies,keep,"Transitology / End of History"
J. International Relations,10,International Relations & Security,A. International Relations,keep,"Constructivism / Liberal Internationalism / Realism / Dependency / Critical Geopolitics"
E. Critical Security Studies,10,International Relations & Security,B. Critical Security Studies,keep,"Securitization Theory / Human Security"
Q. Political Philosophy (Contemporary),11,Contemporary Political Philosophy,A. Political Philosophy (Contemporary),keep,"Largest cluster (17 theories): Cosmopolitanism / Republican Liberty / Deliberative Democracy (Adv) / Critical Theory of Race / Post-Foundationalism / Global Justice / Just War / Public Reason / Democratic Peace / Civic & Ethnic Nationalism etc."
