Part,RomanHead,TrueMajor,TrueSub,Theory Title,Theorist,Major Category
ART,I,I. Aesthetics & Philosophy of Art,A. Classical & Enlightenment Aesthetics,Theory of Mimesis (Art),"Plato, Aristotle",I. Aesthetics & Philosophy of Art
ART,I,I. Aesthetics & Philosophy of Art,A. Classical & Enlightenment Aesthetics,Catharsis (Art),Aristotle,I. Aesthetics & Philosophy of Art
ART,I,I. Aesthetics & Philosophy of Art,A. Classical & Enlightenment Aesthetics,The Sublime (Art),"Immanuel Kant, Edmund Burke",I. Aesthetics & Philosophy of Art
ART,I,I. Aesthetics & Philosophy of Art,A. Classical & Enlightenment Aesthetics,Disinterest (Aesthetic),Immanuel Kant,I. Aesthetics & Philosophy of Art
ART,I,I. Aesthetics & Philosophy of Art,B. 19th & 20th Century Aesthetics,Art for Art's Sake (L'art pour l'art),"Théophile Gautier, Oscar Wilde",I. Aesthetics & Philosophy of Art
ART,I,I. Aesthetics & Philosophy of Art,B. 19th & 20th Century Aesthetics,Aura (Art),Walter Benjamin,I. Aesthetics & Philosophy of Art
ART,I,I. Aesthetics & Philosophy of Art,B. 19th & 20th Century Aesthetics,Formalism (Art Criticism),"Clive Bell, Clement Greenberg",I. Aesthetics & Philosophy of Art
ART,I,I. Aesthetics & Philosophy of Art,B. 19th & 20th Century Aesthetics,Expression Theory of Art,"Leo Tolstoy, Benedetto Croce",I. Aesthetics & Philosophy of Art
ART,II,II. Art History & Historiography of Art,A. Iconography & Iconology,Iconography (Art History),Erwin Panofsky,II. Art History & Historiography of Art
ART,II,II. Art History,A. Iconography & Iconology,Iconology (Art History),Erwin Panofsky,II. Art History & A. Iconography & Iconology
ART,II,II. Art History,B. Social History of Art,Social History of Art,"Arnold Hauser, T.J. Clark",II. Art History & B. Social History of Art
ART,II,II. Art History,B. Social History of Art,Art and Patronage Theory,Martin Wackernagel,II. Art History & B. Social History of Art
ART,II,II. Art History,C. Cultural History of Art,Cultural History of Art,"John Burke, Peter Burke",II. Art History & C. Cultural History of Art
ART,II,II. Art History,C. Cultural History of Art,Material Culture (Art History),Jules Prown,II. Art History & C. Cultural History of Art
ART,III,III. Performance Studies & Performing Arts,A. Performativity & Identity,Performativity (Performing Arts),"Judith Butler, J.L. Austin",III. Performance Studies & Performing Arts
