PART: Economics   (총 199개 이론, 현행 Major 136개)
형식: [현재행수] TrueMajor  ::  샘플이론들

[10] I. Behavioral Economics (Foundational)  ::  Prospect Theory / Bounded Rationality / Framing Effect / Loss Aversion
[8] V. Psychology of Consumption  ::  Hedonic Consumption / Experiential Consumption / Endogenous Preferences / Habit Formation (Economics)
[7] VI. Behavioral Finance  ::  Herd Behavior (Finance) / Speculative Bubbles (Behavioral) / Overconfidence Bias (Finance) / Confirmation Bias (Finance)
[6] II. Neuroeconomics  ::  Neuroeconomics (General) / Reward Prediction Error (Neuroeconomics) / Dual System Theory (Neuroeconomics) / Neurobiology of Fairness
[5] I. Behavioral Economics (Foundational) E. Other Behavioral Phenomena  ::  Mental Accounting Theory / Status Quo Bias / Overconfidence Bias / Planning Fallacy
[5] IV. Behavioral Game Theory  ::  Behavioral Game Theory / Social Norms (Economics) / Ultimatum Game (Behavioral Economics) / Dictator Game (Behavioral Economics)
[4] I. Behavioral Economics (Foundational) B. Intertemporal Choice & Self-Control  ::  Hyperbolic Discounting / Time Inconsistency / Self-Control Problems / Dual-Self Model
[4] I. Behavioral Economics (Foundational) C. Social Preferences  ::  Fairness Theory (Economics) / Reciprocity (Economics) / Altruism (Economics) / Inequality Aversion
[4] I. Behavioral Economics (Foundational) D. Nudges & Choice Architecture  ::  Nudge Theory / Choice Architecture / Default Effect / Libertarian Paternalism
[4] III. Information Economics  ::  Screening Theory (Behavioral Economics) / Information Asymmetry (Behavioral Impact) / Adverse Selection (Behavioral Economics) / Moral Hazard (Behavioral Economics)
[4] VII. Behavioral Labor Economics  ::  Reference-Dependent Labor Supply / Fairness and Wage Setting / Intrinsic Motivation (Labor) / Search Frictions (Behavioral)
[4] VIII. Behavioral Public Economics  ::  Warm-Glow Giving / Social Norms and Tax Compliance / Nudges in Public Policy / Salience Bias (Taxation)
[2] IX. Behavioral Development Economics  ::  Poverty Traps (Behavioral) / Behavioral Interventions for Development
[2] X. Behavioral Environmental Economics  ::  Social Norms and Environmental Behavior / Nudging Green Behavior
[2] XI. Behavioral Health Economics  ::  Present Bias in Health / Nudges in Health
[2] XII. Behavioral Education Economics  ::  Self-Control and Educational Outcomes / Intrinsic Motivation in Education
[2] XIV. Behavioral Political Economy  ::  Voter Heuristics and Biases / Behavioral Institutional Design
[2] XV. Complexity Economics  ::  Complexity Economics / Agent-Based Computational Economics (ACE)
[2] XVI. Evolutionary Economics (Beyond Biology)  ::  Cultural Evolution in Economics / Institutional Evolution (Economics)
[2] XVIII. Happiness Economics  ::  Happiness Economics / Easterlin Paradox
[2] XXI. Personnel Economics (Behavioral)  ::  Psychological Contracts (Economics) / Intrinsic vs. Extrinsic Motivation (Behavioral Economics)
[2] XXXIII. Behavioral Economics of Addiction  ::  Rational Addiction Theory / Addiction as a Self-Control Problem (Behavioral Economics)
[1] C. Identity Economics (Policy Implications)  ::  Identity-Based Policy (Economics)
[1] CI. Happiness Economics (Inequality)  ::  Inequality and Happiness (Economics)
[1] CII. Neuroeconomics (Risk & Uncertainty)  ::  Neurobiology of Risk (Economics)
[1] CIII. Behavioral Development Economics (Commitment Devices)  ::  Commitment Devices (Behavioral Development)
[1] CIV. Behavioral Environmental Economics (Choice Architecture)  ::  Defaults for Green Choices (Environmental)
[1] CIX. Behavioral Law and Economics (Contract Renegotiation)  ::  Behavioral Renegotiation (Law and Economics)
[1] CV. Behavioral Health Economics (Insurance)  ::  Behavioral Insurance (Health)
[1] CVI. Behavioral Education Economics (Motivation)  ::  Behavioral Motivation in Education
[1] CVII. Behavioral Public Economics (Public Acceptance)  ::  Public Acceptance of Policy (Behavioral Public Economics)
[1] CVIII. Behavioral Finance (Over-extrapolation)  ::  Extrapolation Bias (Behavioral Finance)
[1] CX. Complexity Economics (Path Dependence)  ::  Path Dependence (Complexity Economics)
[1] CXI. Evolutionary Economics (Bounded Rationality)  ::  Ecological Rationality (Evolutionary Economics)
[1] CXII. Identity Economics (Public Goods)  ::  Identity and Public Goods (Economics)
[1] CXIII. Happiness Economics (Adaptation)  ::  Hedonic Adaptation (Happiness Economics)
[1] CXIV. Neuroeconomics (Risk Preferences)  ::  Neural Basis of Risk Preferences (Economics)
[1] CXIX. Behavioral Public Economics (Voting)  ::  Behavioral Voter Turnout (Public Economics)
[1] CXV. Behavioral Development Economics (Poverty Alleviation)  ::  Poverty Alleviation (Behavioral Insights)
[1] CXVI. Behavioral Environmental Economics (Social Marketing)  ::  Social Marketing for Environment (Behavioral)
[1] CXVII. Behavioral Health Economics (Patient-Provider)  ::  Patient-Provider Interaction (Behavioral Health Economics)
[1] CXVIII. Behavioral Education Economics (Learning)  ::  Behavioral Learning in Education (Economics)
[1] CXX. Behavioral Finance (Cognitive Biases)  ::  Confirmation Bias (Behavioral Finance)
[1] CXXI. Behavioral Law and Economics (Contract Design)  ::  Behavioral Contract Design (Law and Economics)
[1] CXXII. Complexity Economics (Self-Organization)  ::  Self-Organization (Complexity Economics)
[1] CXXIII. Evolutionary Economics (Technological Change)  ::  Evolutionary Theory of Technological Change
[1] CXXIV. Identity Economics (Education)  ::  Identity and Educational Choices (Economics)
[1] CXXIX. Behavioral Health Economics (Risk Perception)  ::  Risk Perception in Health (Behavioral Health Economics)
[1] CXXV. Happiness Economics (Social Comparison)  ::  Social Comparison Theory (Happiness Economics)
[1] CXXVI. Neuroeconomics (Intertemporal Choice)  ::  Neural Discounting (Neuroeconomics)
[1] CXXVII. Behavioral Development Economics (Human Capital)  ::  Behavioral Human Capital (Development)
[1] CXXVIII. Behavioral Environmental Economics (Information)  ::  Information Provision & Behavior (Environmental)
[1] CXXX. Behavioral Education Economics (Attendance)  ::  Behavioral Attendance Incentives (Education)
[1] III. Information Economics & Asymmetric Information  ::  Signaling Theory (Behavioral Economics)
[1] L. Behavioral Economics of Crime  ::  Behavioral Crime and Deterrence Theory
