PART: Medicine   (총 177개 이론, 현행 Major 141개)
형식: [현재행수] TrueMajor  ::  샘플이론들

[11] I. Medical Sociology  ::  Illness Experience Theory / Medicalization Theory / Social Determinants of Health Theory / Fundamental Cause Theory
[6] II. Medical Anthropology  ::  Culture-Bound Syndromes Theory / Illness Narratives Theory / Ritual and Healing Theory / Placebo Effect (Anthropological)
[6] IV. Critical Medical Humanities  ::  Graphic Medicine Theory / Stigma and Health Theory / Courtesy Stigma / Biopolitics of Health Theory
[5] III. Public Health  ::  Social Capital Theory (Health) / Health Belief Model (Public Health) / Theory of Planned Behavior (Public Health) / Epidemiological Transition Theory
[5] VII. Psychiatry  ::  Labeling Theory (Mental Illness) / Expressed Emotion (EE) Theory (Mental Health) / Cultural Formulation (Mental Health) / Cultural Syndromes (Mental Health)
[4] V. Psychology of Health  ::  Self-Regulation Theory (Health Behavior) / Stress and Coping Theory (Health) / Social Cognitive Theory (Health) / Health Locus of Control
[3] XII. Sociology of the Body in Medicine  ::  Embodied Illness Theory / Normalization (Medical) / Biocitizenship
[2] IX. Disability Studies in Medicine  ::  Social Model of Disability (Medical) / Ableism in Medicine Theory
[2] VI. Global Health  ::  Social Justice in Health / Critical Global Health
[2] XI. Public Health  ::  Health Literacy Theory / Community-Based Participatory Research (CBPR) Theory (Health)
[1] C. Public Health (Social Norms)  ::  Social Norms Approach (Health)
[1] CI. Sociology of the Body (Commodity)  ::  Commodity Body Theory (Medical)
[1] CII. Medical Anthropology (Global Health Interventions)  ::  Humanitarianism and Health Theory
[1] CIII. Public Health (Systems Thinking)  ::  Systems Thinking in Public Health Theory
[1] CIV. Sociology of Mental Illness (Recovery)  ::  Social Model of Recovery (Mental Health)
[1] CIX. Sociology of Care (Gender)  ::  Gendered Care Work Theory (Medical)
[1] CV. Medical Humanities (Visual Culture)  ::  Visual Pathology Theory
[1] CVI. Sociology of Health (Trust)  ::  Trust in Healthcare Theory
[1] CVII. Medical Anthropology (Pharmacology)  ::  Pharmaceutical Anthropology Theory
[1] CVIII. Public Health (Narrative)  ::  Public Health Narratives Theory
[1] CX. Medical Humanities (Performing Arts)  ::  Drama Therapy in Health Theory
[1] CXI. Sociology of Health (Technology)  ::  Health Technology and Society Theory
[1] CXII. Public Health (Health Communication)  ::  Message Framing (Health Communication)
[1] CXIII. Medical Anthropology (Epidemiology)  ::  Syndemics Theory
[1] CXIV. Sociology of Mental Health (Social Stigma)  ::  Stigma of Mental Illness Theory
[1] CXIX. Public Health (Social Marketing)  ::  Behavioral Economics in Public Health Theory
[1] CXV. Medical Humanities (Aging)  ::  Culture of Aging (Medical Humanities)
[1] CXVI. Public Health (Behavioral Insights)  ::  Choice Architecture in Public Health Theory
[1] CXVII. Sociology of Biomedicine  ::  Biomedicalization Theory
[1] CXVIII. Medical Anthropology (Spirituality)  ::  Spirituality and Health (Anthropological) Theory
[1] CXX. Sociology of Pain (Social Meaning)  ::  Social Meaning of Pain Theory
[1] CXXI. Medical Humanities (Disability Narratives)  ::  Disability Narratives Theory (Medical Humanities)
[1] CXXII. Public Health (Crisis Communication)  ::  Crisis and Emergency Risk Communication (CERC) Theory
[1] CXXIII. Sociology of Health (Technology & Surveillance)  ::  Quantified Self and Health Theory
[1] CXXIV. Medical Anthropology (Illness Management)  ::  Illness Management Theory (Anthropological)
[1] CXXIX. Medical Anthropology (Globalization)  ::  Global Health Governance (Anthropological) Theory
[1] CXXV. Public Health (Health in All Policies)  ::  Health in All Policies (HiAP) Theory
[1] CXXVI. Sociology of Death & Dying (Medicalization)  ::  Medicalization of Dying Theory
[1] CXXVII. Medical Humanities (Visual Storytelling)  ::  Visual Storytelling in Medicine Theory
[1] CXXVIII. Sociology of Organ Transplantation (Ethical)  ::  Commodification of Organs Theory
[1] CXXX. Public Health (Health Policy)  ::  Health Policy Analysis (Behavioral Public Health)
[1] I. Medical Sociology & Social Theories of Health  ::  Social Construction of Illness Theory
[1] II. Medical Anthropology & Cultural Models of Health  ::  Explanatory Models of Illness
[1] III. Public Health & Social Epidemiology  ::  Social Ecological Model of Health
[1] IV. Critical Medical Humanities & Cultural Approaches to Disease  ::  Narrative Medicine Theory
[1] L. Sociology of Disease (Chronic Illness)  ::  Chronic Illness Trajectory Model (Sociology)
[1] LI. Health Psychology (Motivation)  ::  Self-Determination Theory (Health)
[1] LII. Sociology of Disability (Intersection)  ::  Intersectionality of Disability (Medical Context)
[1] LIII. Medical Anthropology (Global Health)  ::  Critical Medical Anthropology
[1] LIV. Public Health (Ethics of Intervention)  ::  Population Ethics (Public Health)
[1] LIX. Medical Anthropology (Epidemics)  ::  Cultural Responses to Epidemics Theory
[1] LV. Sociology of Genetics & Society  ::  Geneticization Theory
[1] LVI. Medical History (Social)  ::  Social History of Medicine
[1] LVII. Medical Humanities (Bioethics)  ::  Narrative Bioethics Theory
[1] LVIII. Sociology of Health (Aging)  ::  Sociology of Aging & Health Theory
[1] LX. Public Health (Behavioral Economics)  ::  Behavioral Public Health Theory
[1] LXI. Sociology of Addiction  ::  Social Control of Addiction Theory
[1] LXII. Medical Anthropology (Suffering)  ::  Experience of Suffering Theory (Medical Anthropology)
[1] LXIII. Public Health (Health Promotion)  ::  Health Promotion Theory
[1] LXIV. Sociology of the Pharmaceutical Industry (Medicalization)  ::  Disease Mongering Theory
[1] LXIX. Sociology of Complementary & Alternative Medicine (CAM)  ::  CAM Usage Theory
[1] LXV. Medical Humanities (Visual Arts)  ::  Visual Culture of Medicine Theory
[1] LXVI. Sociology of Genetics (Identity)  ::  Genetic Identity Theory
[1] LXVII. Medical Anthropology (Biomedicine)  ::  Biomedicine as Culture Theory
[1] LXVIII. Public Health (Ethics of Equity)  ::  Health Equity Frameworks (Public Health)
[1] LXX. Medical Anthropology (Technoscience)  ::  Medical Technoscience Theory
[1] LXXI. Sociology of Pain  ::  Social Construction of Pain Theory
