PART: Nature   (총 192개 이론, 현행 Major 160개)
형식: [현재행수] TrueMajor  ::  샘플이론들

[11] II. Evolutionary Psychology  ::  Evolutionary Psychology (General) / Massive Modularity Hypothesis / Environment of Evolutionary Adaptedness (EEA) / Sexual Strategies Theory (Evolutionary)
[8] III. Neurobiology  ::  Reward System Theory / Mirror Neuron System Theory / Polyvagal Theory / Social Neuroscience (General)
[5] I. Evolutionary Biology & Anthropology  ::  Theory of Natural Selection (Human Application) / Sexual Selection Theory (Human Application) / Kin Selection Theory / Reciprocal Altruism Theory
[4] I. Evolutionary Biology  ::  Out of Africa Theory (Human Origin) / Human Behavioral Ecology / Gene-Culture Coevolution Theory / Dual Inheritance Theory (DIT)
[2] IV. Behavioral Genetics  ::  Epigenetics (Human Behavior) / Gene-Environment Correlation Theory (rGE)
[2] V. Ethology  ::  Innate Releasing Mechanisms (Human) / Nonverbal Communication (Biological Basis)
[2] VII. Behavioral Economics  ::  Ultimatum Game (Neuroeconomics) / Social Preference Theory (Neuroeconomics)
[2] VIII. Psychoneuroimmunology (PNI)  ::  Psychoneuroimmunology (PNI) / Allostasis and Allostatic Load (PNI)
[2] X. Biological Anthropology  ::  Primate Social Behavior (Human Analogues) / Theory of Mind in Primates (Human Roots)
[2] XII. Behavioral Endocrinology  ::  Hormonal Influences on Social Behavior / Oxytocin Theory of Bonding
[2] XV. Developmental Neuroscience  ::  Social Brain Hypothesis / Critical Periods in Brain Development (Human)
[2] XXII. Biological Basis of Stress  ::  General Adaptation Syndrome (Biological) / Fight-or-Flight Response (Biological)
[1] C. Biological Anthropology (Cooperation)  ::  Costly Signaling Theory (Biological)
[1] CI. Neurobiology of Memory (Types)  ::  Declarative vs. Non-Declarative Memory Systems
[1] CII. Evolutionary Psychology (Gender Roles)  ::  Division of Labor (Evolutionary Psychology)
[1] CIII. Human Ecology (Cultural Adaptation)  ::  Cultural Ecology (Human)
[1] CIV. Behavioral Genetics (Social Behavior)  ::  Genetics of Prosocial Behavior
[1] CIX. Human Microbiome (Immunity)  ::  Microbiome and Immune System Development Theory
[1] CL. Human Ecological Theory (Health & Disease)  ::  Co-Evolution of Humans and Pathogens
[1] CV. Neurobiology of Language (Development)  ::  Language Lateralization Theory
[1] CVI. Biological Basis of Sleep (Functions)  ::  Sleep for Memory Consolidation Theory
[1] CVII. Evolutionary Aesthetics (Sexual Selection)  ::  Handicap Principle (Aesthetics)
[1] CVIII. Biological Basis of Stress (Early Life)  ::  Early Life Stress and Brain Development Theory
[1] CX. Neurobiology of Emotion (Appraisal)  ::  Appraisal Theory (Neurobiological)
[1] CXI. Biological Basis of Attachment  ::  Social Bonding Hormones Theory
[1] CXII. Evolutionary Psychology (Health)  ::  Sickness Behavior as Adaptation Theory
[1] CXIII. Neurobiology of Morality (Empathy)  ::  Empathy-Based Morality (Neurobiological)
[1] CXIV. Human Behavioral Ecology (Reproduction)  ::  Optimal Reproductive Strategies (Human)
[1] CXIX. Biological Basis of Personality (Big Five)  ::  Biological Big Five Personality Theory
[1] CXL. Evolutionary Psychology (Cognitive Biases)  ::  Adaptive Biases (Evolutionary Psychology)
[1] CXLI. Biological Basis of Language (Genes)  ::  Specific Language Impairment (SLI) Genetics
[1] CXLII. Human Ethology (Play)  ::  Play Behavior (Evolutionary Ethology)
[1] CXLIII. Neurobiology of Learning (Fear)  ::  Fear Conditioning (Neurobiological)
[1] CXLIV. Human Reproductive Biology (Mating Systems)  ::  Mating Systems (Human Evolutionary Biology)
[1] CXLIX. Evolutionary Psychology (Aesthetics)  ::  Evolutionary Theory of Art
[1] CXLV. Behavioral Endocrinology (Stress)  ::  Cortisol and Stress Response Theory
[1] CXLVI. Evolutionary Genetics (Human Traits)  ::  Recent Human Evolution Theory
[1] CXLVII. Biological Basis of Social Behavior (Gene Expression)  ::  Gene Expression and Social Behavior
[1] CXLVIII. Neurobiology of Memory (Long-Term)  ::  Long-Term Memory Formation (Neurobiological)
[1] CXV. Biological Basis of Memory (Emotional)  ::  Amygdala and Emotional Memory Theory
[1] CXVI. Evolutionary Anthropology (Cooperation)  ::  Group Cooperation (Evolutionary Anthropology)
[1] CXVII. Neurobiology of Social Learning (Imitation)  ::  Imitation and Learning (Neurobiological)
[1] CXVIII. Human Microbiome & Mental Disorders  ::  Gut Dysbiosis and Mental Health Theory
[1] CXX. Evolutionary Psychology (Decision Making)  ::  Bounded Rationality (Evolutionary Psychology)
[1] CXXI. Neurobiology of Self  ::  Self-Referential Processing (Neurobiological)
[1] CXXII. Human Reproductive Biology (Sexual Behavior)  ::  Sexual Plasticity (Biological)
[1] CXXIII. Evolutionary Developmental Psychology  ::  Evolutionary Developmental Psychology
[1] CXXIV. Biological Basis of Addiction (Learning)  ::  Reinforcement Learning (Addiction Neurobiology)
[1] CXXIX. Neurobiology of Social Bonding (Parental)  ::  Parental Brain Networks Theory
[1] CXXV. Neurobiology of Language (Acquisition)  ::  Critical Period Hypothesis (Language Neurobiology)
[1] CXXVI. Human Ethology (Social Signals)  ::  Gaze Following (Human Ethology)
[1] CXXVII. Biological Basis of Stress Resilience  ::  Resilience Neurobiology (Stress)
[1] CXXVIII. Evolutionary Psychology (Cooperation)  ::  Indirect Reciprocity Theory (Evolutionary)
[1] CXXX. Biological Basis of Aggression (Genetic)  ::  Genetic Predisposition to Aggression Theory
[1] CXXXI. Human Chronobiology (Health)  ::  Chronotype and Health Theory
[1] CXXXII. Evolutionary Medicine (Pathogen Evolution)  ::  Pathogen Evolution and Human Health
[1] CXXXIII. Neurobiology of Reward (Social)  ::  Social Reward System Theory (Neurobiological)
[1] CXXXIV. Human Ecological Theory (Health)  ::  Epidemiological Transition Theory (Human Ecology)
[1] CXXXIX. Neurobiology of Self (Social)  ::  Social Self (Neurobiological)
[1] CXXXV. Biological Basis of Emotion Regulation  ::  Prefrontal Cortex and Emotion Regulation Theory
