Theorist,Concepts,New,Review
Henry Jenkins,Convergence Culture · Participatory Culture · Spreadable Media,N,
Hernando de Soto,The Mystery of Capital · Property Rights · Dead Capital,N,
Hilary Mantel,Royal Bodies · Wolf Hall · Giving Up the Ghost,N,
Hiroshi Aoyagi,Islands of Eight Million Smiles · Idol Performance · Public Apology,N,
Homi K. Bhabha,The Location of Culture · Hybridity · Third Space,N,
Howard Gardner,Multiple Intelligences · Bodily-Kinesthetic Intelligence · Frames of Mind,N,
Hélène Cixous,The Laugh of the Medusa · Écriture Féminine · Stigmata,N,
Iain Borden,"Skateboarding, Space and the City · Skateboarding as Critique · The Unknown City",N,
Ian Condry,Hip-Hop Japan · The Soul of Anime · Media Mix,N,
Idelber Avelar,The Untimely Present · The Letter of Violence · Transculturation,N,
Ien Ang,Watching Dallas · Melodramatic Imagination · Desperately Seeking the Audience,N,
Imogen Tyler,Revolting Subjects · Stigma: The Machinery of Inequality · Social Abjection,N,
Israel Kirzner,Entrepreneurial Alertness · Discovery Process · Competition and Entrepreneurship,N,
Jack Halberstam,The Queer Art of Failure · Queer Time and Place · Female Masculinity,N,
Jack Katz,Seductions of Crime · Moral Rage · How Emotions Work,N,
Jacques Attali,Noise: The Political Economy of Music · Music as Prophecy · Millennium,N,
Jacques Derrida,Deconstruction · Différance · Justice vs Law,N,
Jacques Rancière,The Politics of Aesthetics · Dissensus · The Ignorant Schoolmaster,N,
Jair Bolsonaro,Cultural Wars · Anti-Globalism · Bolsonarism,N,Y
James M. Buchanan,Public Choice Theory · Constitutional Economics · The Calculus of Consent,N,
James C. Scott,Seeing Like a State · Weapons of the Weak · Hidden Transcripts,N,
James Lovelock,Gaia Hypothesis · Novacene · Revenge of Gaia,N,
James Naremore,Acting in the Cinema · More Than Night · On Kubrick,N,
Jan-Werner Müller,What is Populism? · Contesting Democracy · Constitutional Patriotism,N,
Janice Radway,Reading the Romance · A Feeling for Books · The End of American Studies,N,
Jay David Bolter,Remediation · Writing Space · The Digital Plenitude,N,
Jayati Ghosh,Women's Work · The Never-Ending Crisis · After Re-Emergence,N,
Jean Burgess,Vernacular Creativity · YouTube · Convergence with Mainstream Media,N,
Jean Murley,The Rise of True Crime · The American True Crime Narrative · Murder as Media,N,
Jean Twenge,iGen · The Narcissism Epidemic · Generations,N,
Jean and John Comaroff,"Occult Economies · Ethnicity, Inc. · Of Revelation and Revolution",N,
Jean-Jacques Rousseau,The Social Contract · Noble Savage · General Will,N,
Jean-Noël Kapferer,Rumors · Strategic Brand Management · New Strategic Brand Management,N,
Jeffrey Jones,Entertaining Politics · News Parody · Political Communication,N,
Jennifer Doyle,Campus Sex · Campus Security · Hold It Against Me,N,
Jennifer Hargreaves,"Heroines of Sport · Sporting Females · Sport, Culture and Ideology",N,
Jennifer Robertson,Native and Newcomer · Takarazuka · Robo Sapiens Japanicus,N,
Jesper Juul,The Art of Failure · Half-Real · A Casual Revolution,N,
Jian Lin,Platformization of Cultural Production · Digital Labour in China · Cultural Industry,N,
Jill Walker Rettberg,Seeing Ourselves Through Technology · Self-Representation in Digital Media · Blogging,N,
Joan Wallach Scott,The Politics of the Veil · Gender and the Politics of History · Only Paradoxes to Offer,N,
Joanne Entwistle,The Fashioned Body · Fashioning Models · The Aesthetic Economy,N,
Johan Huizinga,Homo Ludens · The Autumn of the Middle Ages · In the Shadow of Tomorrow,N,
John B. Thompson,Political Scandal · The Media and Modernity · Ideology and Modern Culture,N,
