Theorist,Part,MajorNo,Major,Sub,Era,Region,SecondaryPart,Note
Laura Mulvey,Critics,IV,Psychoanalytic & Psychological,A. Freudian & Lacanian,Modern,Western,ART,"Male gaze, psychoanalytic feminist film theory"
Lauren Berlant,Critics,XII,Affect & Sensory,A. Affect Theory,Contemporary,Western,Culture,"Cruel optimism, affect theory of public feeling"
Lawrence Lessig,Critics,X,Digital & Media-Specific,C. Platform & Media Studies,Contemporary,Western,Politics,"Code as law, remix and read/write culture"
Leah Plunkett,Society,VI,Digital & Network Society,Social Technology & Data,Contemporary,Western,LAW,"Sharenthood, children's digital privacy"
Lee Thompson,ART,6,Sport & Physical Culture,A. Sociology & Politics of Sport,Contemporary,East Asia,Society,"Japanese sport sociology, sumo history"
Lennard J. Davis,Critics,III,Identity-Based & Political,D. Disability Studies,Contemporary,Western,Culture,"Enforcing Normalcy, disability studies and the normate"
Leon Festinger,Psychology,6,Social Psychology,C. Social Cognition & Influence,Modern,Western,,"Cognitive dissonance and social comparison theory"
Lev Manovich,Critics,X,Digital & Media-Specific,B. Computational & Cultural Analytics,Contemporary,Western,Culture,"Language of new media, software studies, cultural analytics"
Lewis Coser,Society,I,Classical Sociological Traditions,,Modern,Western,,"Functions of social conflict, greedy institutions"
Lila Abu-Lughod,Society,V,Advanced & Applied Social Theories,Race & Ethnicity,Contemporary,MENA,Culture,"Veiled Sentiments, media and nationhood ethnography"
Lilie Chouliaraki,Culture,7,Media & Communication,A. Media Effects & Audiences,Contemporary,Western,Society,"Mediated spectatorship of distant suffering"
Limor Shifman,Culture,11,"Digital, Media & Algorithmic Culture",A. Networked & Participatory Culture,Contemporary,MENA,,"Internet memes in digital culture"
Lina Khan,Politics,9,Political Economy & Comparative Politics,A. Political Economy & Neoliberalism,Contemporary,Western,Economics,"Big Tech antitrust, platform competition"
Linda Williams,Critics,IV,Psychoanalytic & Psychological,A. Freudian & Lacanian,Contemporary,Western,ART,"Body genres, hard core; psychoanalytic film genre theory"
Linda Woodhead,Society,V,Advanced & Applied Social Theories,Religion,Contemporary,Western,,"Sociology of religion and gender, spiritual revolution"
Lisa Messeri,Society,VI,Digital & Network Society,Science & Technology Studies (STS),Contemporary,Western,,"Anthropology of outer space and planetary science"
Lisa Nakamura,Critics,III,Identity-Based & Political,C. Postcolonial & Critical Race,Contemporary,Western,Culture,"Cybertypes, race and the internet"
Liz Giuffre,ART,4,Music & Sound Studies,A. Sociology & Politics of Music,Contemporary,Western,Culture,"Popular music, nostalgia and media studies"
Loïc Wacquant,Society,IV,Contemporary Social Theories,Cultural Sociology (Bourdieu),Contemporary,Western,Politics,"Territorial stigmatization, prisons of poverty"
Luc Boltanski,Society,IV,Contemporary Social Theories,Cultural Sociology (Bourdieu),Contemporary,Western,Culture,"New spirit of capitalism, distant suffering, sociology of critique"
Ludwig von Mises,Economics,XII,"Welfare, Happiness & Heterodox Economics",Marxist & Heterodox Traditions,Modern,Western,Politics,"Praxeology, Austrian economics, economic calculation"
Madhav Prasad,Critics,V,Historical & Cultural Materialist,B. Cultural Studies,Contemporary,South Asia,ART,"Ideology of the Hindi film, Bollywood as cultural politics"
Mae Ngai,History,XII,"Political, Legal & Global History",C. Global & Transnational,Contemporary,Western,Society,"Impossible Subjects, immigration and migration history"
Malcolm Gladwell,Society,II,Contemporary Sociological Perspectives,,Contemporary,Western,Psychology,"Tipping point, popular social diffusion narratives"
Manuel Castells,Society,VI,Digital & Network Society,Social Technology & Data,Contemporary,Western,Culture,"Network society, space of flows, communication power"
Marcel Mauss,Society,I,Classical Sociological Traditions,,Classical,Western,ART,"The Gift, techniques of the body, total social fact"
Margaret Gibson,Culture,13,"Material, Spatial & Heritage Culture",A. Material Culture & Objects,Contemporary,Western,,"Objects of the dead, mourning and material culture"
