keyword,theorist,concept_purpose,paper_title,paper_authors,journal,volume_issue,year,paper_url,paper_argument,access
platformativity,Thomas Lamarre,Lamarre coined platformativity (a performativity via platforms) to capture the infra-individual interactions between platform and human and to challenge media studies' treatment of regions as passive while overstating platforms' dynamism.,Reformatting the stream: platformativity and the collapse of platform-area borders,Eason Lu,Screen,Vol 67 No 1,2026,https://doi.org/10.1093/screen/hjag008,"Applies Lamarre's platformativity to streaming media to argue that the feel of platforms plays with and against received geopolitical forms, theorizing how streaming collapses borders between platform and area/region.",abstract-only
hauntology,Jacques Derrida,"Derrida coined hauntology in Spectres of Marx (1994) to describe how the present is perpetually haunted by unresolved ghosts of the past and unrealized futures, displacing ontology with a logic of spectral return.",The hauntological essay film: navigating historical memory and collective trauma in The Image You Missed,James Slaymaker,Screen,Vol 66 No 3,2025,https://doi.org/10.1093/screen/hjaf032,"Reads Donal Foreman's essay film The Image You Missed (about the filmmaker's father and Northern Ireland's Troubles) as a hauntological essay film that navigates collective trauma and historical memory through spectral, archival returns.",OA
nuclear criticism,Jacques Derrida,"Derrida's Nuclear Criticism (No Apocalypse, Not Now, 1984) theorizes nuclear war as a fabulously textual event that, being unprecedented and total, can only be anticipated rhetorically and never represented or survived as referent.",(Un)moving images of the Third World War: nuclear narrative and nuclear aesthetic of Chris Marker's La Jetee,Min-Kyoo Kim,Screen,Vol 66 No 1,2025,https://doi.org/10.1093/screen/hjaf004,"Argues Chris Marker's La Jetee (1962) exposes the Faustian terms of Gaullist France's nuclear program and, through its photo-roman aesthetic, both pre-empts and circumnavigates Derrida's claim about the impossibility of representing nuclear apocalypse.",abstract-only
queer polylocality,Alvin K. Wong,"Wong proposes polylocality to conceptualize the incommensurable, messy entanglements of queer temporality, postmodern spatiality and urbanism in Asian media, against the lingering Eurocentrism of queer TV studies.","Queering BL televisuality across Asia: queer polylocality across Thailand, Hong Kong and South Korea",Alvin K. Wong,Screen,Vol 66 No 1,2025,https://doi.org/10.1093/screen/hjaf008,"Uses polylocality to compare a 2022 Thai BL series and a 2022 Korean BL vampire series, arguing the framework captures the transregional, heterogeneous time-space of queer (post)modernity in Asian Boys' Love television.",OA
melodramatic mode,Peter Brooks,Brooks's melodramatic mode (The Melodramatic Imagination) theorizes melodrama not as a genre but as a post-sacred mode of excess and moral legibility that dramatizes hidden ethical forces in a secular world.,Registers of the melodramatic mode: the 1980s heroic bloodshed cycle in the history of the Hong Kong crime film,Kristof Van den Troost,Screen,Vol 65 No 2,2024,https://doi.org/10.1093/screen/hjae020,"Argues the 1980s Hong Kong heroic bloodshed cycle operates across different registers of the melodramatic mode: melodrama (A Better Tomorrow), realism (Law with Two Phases) and modernism (City on Fire).",abstract-only
cinephilia,Thomas Elsaesser,"Elsaesser theorized cinephilia as an affective, memory-laden relation to film marked by repetition, belatedness and the second viewing, reshaped by new media technologies.","'If I can change': multigenerational cinematic franchises, retconning, and the spectre of Rocky IV",David McGowan,Screen,Vol 66 No 2,2025,https://doi.org/10.1093/screen/hjaf022,Modifies Elsaesser's theories of cinephilia (for streaming-era viewing) to analyze retconning in the Rocky franchise and the 2021 re-edit Rocky IV: Rocky vs. Drago.,abstract-only
the commons,Elinor Ostrom,"Ostrom theorized the commons (Governing the Commons) as shared resources sustainably self-governed by communities, countering the tragedy of the commons assumption that shared resources inevitably collapse without private or state control.","Contesting screens of energy: Gaia, the commons and infrastructure",Hideaki Fujiki,Screen,Vol 66 No 1,2025,https://doi.org/10.1093/screen/hjaf002,"Reads two Japanese documentaries (The Message of Gaia, Silent Revolution) as contested socio-ecological visions of energy, mobilizing the commons to position community-managed energy infrastructure as a site of anti-extractive collective governance.",abstract-only
smart cinema,Jeffrey Sconce,"Sconce coined smart film/smart cinema (Screen, 2002) to name a post-1990s mode of ironic, blank, tonally detached art cinema positioned between Hollywood and the avant-garde.",A blockbuster art film for the neoliberal age: blank style and 'smart' aesthetics in Maren Ade's screwball tragedy Toni Erdmann,Hester Baer,Screen,Vol 66 No 4,2025,https://doi.org/10.1093/screen/hjaf036,Reads Maren Ade's Toni Erdmann (2016) as a screwball tragedy whose blank style and smart aesthetics formally register neoliberal precarity and the global economy's reshaping of psychic and social life.,abstract-only
real abstraction,Alfred Sohn-Rethel,"Sohn-Rethel's real abstraction (Intellectual and Manual Labour) argues that abstract conceptual thought derives historically from the material abstraction performed in commodity exchange, not from pure cognition.",(Im)material abstractions: visions of cryptocurrency in Ivar Veermae's The Flood (2018),Toby Ashworth,Screen,Vol 67 No 1,2026,https://doi.org/10.1093/screen/hjag004,Reads Ivar Veermae's installation The Flood (on an Estonian oil-shale mine/power plant) through Marx and Sohn-Rethel's real abstraction to argue cryptocurrency forces a rethinking of the real via its simultaneous immateriality and material extractive localization.,abstract-only
extractivism,Macarena Gomez-Barris,"Gomez-Barris (The Extractive Zone) theorizes extractivism and the extractive view as a colonial-capitalist mode of perceiving land and peoples as exploitable resources, against which she posits Indigenous submerged perspectives.",Disorienting cinema: sensing beyond extractivism in the Peruvian Amazon,Martina Broner,Screen,Vol 66 No 3,2025,https://doi.org/10.1093/screen/hjaf033,"Reads Rio verde: el tiempo de los yakurunas (Sarmiento, 2017), set in an Indigenous Amazonian community, as a disorienting cinema that produces sensory modes of perception resisting extractivist logics.",abstract-only
visibility politics,Nicholas Mirzoeff,"Visibility politics (in Mirzoeff's right-to-look lineage) names how being rendered visible to representation and surveillance is simultaneously a claim to recognition and a vector of control, explaining why the demand for representation can trap marginalized groups in the apparatus that subjugates them.",Speculating in Latent Space: Visibility Politics and the Impasse of Representation in Generative AI,Gary Kafer,JCMS,Vol 64 No 2,2025,https://doi.org/10.1353/cj.2025.a951188,"Through close reading of text-to-image programs, argues that generative AI operates on a gap between human and machine perception that forecloses identity-based representational speculation, marking an impasse for marginalized visibility politics.",abstract-only
glitch,Legacy Russell,"Russell coined glitch feminism to reframe the digital error/malfunction as a refusal of the binary, normative body, a productive break that opens space for Black, queer and minoritarian self-fashioning beyond fixed representational categories.",Speculating in Latent Space: Visibility Politics and the Impasse of Representation in Generative AI,Gary Kafer,JCMS,Vol 64 No 2,2025,https://doi.org/10.1353/cj.2025.a951188,"Turns to glitch to show how generative AI might foster a revised speculation for a marginalized political imagination attentive to the nonvisual, minoritarian experience that subtends the digital image.",abstract-only
acousmatic voice,Michel Chion,"Chion theorized the acousmatic voice/acousmetre (building on Pierre Schaeffer) to explain how cinema mobilizes the gap between visible source and audible sound to produce power, mystery and the de-essentializing of who owns a voice.",FKA twigs and the Impossibly Sonorous Body,Yanie Fecu,JCMS,Vol 64 No 2,2025,https://doi.org/10.1353/cj.2025.a951185,"Analyzes FKA twigs's music videos, arguing her staging of Black masochistic desire transforms the acousmatic into an impossibly sonorous entanglement that challenges the visual and sonic color line.",abstract-only
acousmatic voice,Michel Chion,"Chion theorized the acousmatic voice/acousmetre (building on Pierre Schaeffer) to explain how the gap between visible body and audible voice can de-essentialize the link between sound, race and identity.",The Affordances of the Acousmatic: Questioning Argentineness in El futuro perfecto,Sam Carter,JCMS,Vol 63 No 4,2024,https://doi.org/10.1353/cj.2024.a934545,"Argues El futuro perfecto (Nele Wohlatz, 2016) makes nearly all Argentine characters acousmatic to undo the essentializing links between sound, race and nationality.",abstract-only
