Part,Major Category,Sub Category,Theory Title,Theorist
ART,I. Aesthetics & Philosophy of Art,A. Classical & Enlightenment Aesthetics,Theory of Mimesis (Art),"Plato, Aristotle"
ART,I. Aesthetics & Philosophy of Art,A. Classical & Enlightenment Aesthetics,Catharsis (Art),Aristotle
ART,I. Aesthetics & Philosophy of Art,A. Classical & Enlightenment Aesthetics,The Sublime (Art),"Immanuel Kant, Edmund Burke"
ART,I. Aesthetics & Philosophy of Art,A. Classical & Enlightenment Aesthetics,Disinterest (Aesthetic),Immanuel Kant
ART,I. Aesthetics & Philosophy of Art,B. 19th & 20th Century Aesthetics,Art for Art's Sake (L'art pour l'art),"Théophile Gautier, Oscar Wilde"
ART,I. Aesthetics & Philosophy of Art,B. 19th & 20th Century Aesthetics,Aura (Art),Walter Benjamin
ART,I. Aesthetics & Philosophy of Art,B. 19th & 20th Century Aesthetics,Formalism (Art Criticism),"Clive Bell, Clement Greenberg"
ART,I. Aesthetics & Philosophy of Art,B. 19th & 20th Century Aesthetics,Expression Theory of Art,"Leo Tolstoy, Benedetto Croce"
ART,II. Art History & Historiography of Art,A. Iconography & Iconology,Iconography (Art History),Erwin Panofsky
ART,II. Art History & A. Iconography & Iconology,Iconology (Art History),Iconology (Art History),Erwin Panofsky
ART,II. Art History & B. Social History of Art,Social History of Art,Social History of Art,"Arnold Hauser, T.J. Clark"
ART,II. Art History & B. Social History of Art,Art and Patronage Theory,Art and Patronage Theory,Martin Wackernagel
ART,II. Art History & C. Cultural History of Art,Cultural History of Art,Cultural History of Art,"John Burke, Peter Burke"
ART,II. Art History & C. Cultural History of Art,Material Culture (Art History),Material Culture (Art History),Jules Prown
ART,III. Performance Studies & Performing Arts,A. Performativity & Identity,Performativity (Performing Arts),"Judith Butler, J.L. Austin"
ART,III. Performance Studies & A. Performativity & Identity,Social Performance Theory,Social Performance Theory,Erving Goffman
ART,III. Performance Studies & B. Ritual & Theater,Ritual Theory (Performing Arts),Ritual Theory (Performing Arts),"Victor Turner, Richard Schechner"
ART,III. Performance Studies & B. Ritual & Theater,Brechtian Alienation Effect (Verfremdungseffekt),Brechtian Alienation Effect (Verfremdungseffekt),Bertolt Brecht
ART,III. Performance Studies & B. Ritual & Theater,Theatre of the Oppressed,Theatre of the Oppressed,Augusto Boal
ART,III. Performance Studies & C. Embodiment & Spectatorship,Embodiment Theory (Performance),Embodiment Theory (Performance),"Judith Butler, Susan Foster"
ART,III. Performance Studies & C. Embodiment & Spectatorship,Affect Theory (Performance),Affect Theory (Performance),Brian Massumi
ART,IV. Music & Society,A. Music & Social Identity,Music and Identity Theory,"Simon Frith, Tia DeNora"
ART,IV. Music & A. Music & Social Identity,Subcultural Theory (Music),Subcultural Theory (Music),Dick Hebdige (applied to music)
ART,IV. Music & B. Music & Politics,Political Economy of Music,Political Economy of Music,David Hesmondhalgh
ART,IV. Music & B. Music & Politics,Music and Power Theory,Music and Power Theory,Jacques Attali
ART,IV. Music & C. Music & Emotion/Cognition,Cognitive Musicology,Cognitive Musicology,"Diana Deutsch, Fred Lerdahl"
ART,IV. Music & C. Music & Emotion/Cognition,Theory of Musical Affect,Theory of Musical Affect,"Leonard B. Meyer, Stephen Davies"
ART,V. Literature & Society (Literary Theory),A. Social & Historical Context,New Historicism (Literature),Stephen Greenblatt
